Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
772	0.234456	98	0.020408	130	0.738462	3.620899	772	0.234456	0.279000	0.335879	
756	0.248677	90	0.000000	154	0.766234	3.620899	756	0.248677	0.306000	0.333389	
759	0.230567	117	0.000000	124	0.725806	3.620899	759	0.230567	0.265000	0.328129	
697	0.251076	119	0.000000	184	0.641304	3.620899	697	0.251076	0.293000	0.325620	
728	0.228022	100	0.000000	172	0.627907	3.620899	728	0.228022	0.274000	0.322179	
743	0.219381	102	0.000000	155	0.632258	3.620899	743	0.219381	0.261000	0.318355	
730	0.231507	113	0.000000	157	0.687898	3.620899	730	0.231507	0.277000	0.315923	
757	0.200793	101	0.000000	142	0.661972	3.620899	757	0.200793	0.246000	0.312038	
747	0.194110	95	0.031579	158	0.556962	3.620899	747	0.194110	0.236000	0.308036	
724	0.238950	130	0.000000	146	0.753425	2.606480	724	0.238950	0.283000	0.306785	
741	0.218623	107	0.018692	152	0.769737	2.606480	741	0.218623	0.281000	0.305557	
734	0.235695	143	0.000000	123	0.682927	2.606480	734	0.235695	0.257000	0.303350	
707	0.241867	133	0.015038	160	0.750000	2.606480	707	0.241867	0.293000	0.302900	
693	0.210678	147	0.006803	160	0.706250	2.606480	693	0.210678	0.260000	0.301112	
735	0.356463	105	0.038095	160	0.500000	2.606480	735	0.356463	0.346000	0.302908	
737	0.344640	117	0.000000	146	0.609589	2.606480	737	0.344640	0.343000	0.304450	
743	0.306864	103	0.000000	154	0.597403	2.606480	743	0.306864	0.320000	0.305026	
746	0.355228	111	0.000000	143	0.461538	2.606480	746	0.355228	0.331000	0.305953	
737	0.340570	117	0.017094	146	0.684932	2.606480	737	0.340570	0.353000	0.307576	
747	0.307898	121	0.016529	132	0.643939	2.606480	747	0.307898	0.317000	0.307890	
734	0.329700	131	0.022901	135	0.762963	2.606480	734	0.329700	0.348000	0.309184	
725	0.256552	122	0.000000	153	0.790850	2.606480	725	0.256552	0.307000	0.309115	
753	0.227092	108	0.000000	139	0.719424	2.606480	753	0.227092	0.271000	0.307960	
735	0.204082	118	0.016949	147	0.544218	2.606480	735	0.204082	0.232000	0.305726	
716	0.283520	145	0.000000	139	0.769784	2.606480	716	0.283520	0.310000	0.305848	
727	0.243466	137	0.000000	136	0.683824	2.606480	727	0.243466	0.270000	0.304853	
720	0.236111	137	0.014599	143	0.748252	2.606480	720	0.236111	0.279000	0.304154	
714	0.226891	133	0.000000	153	0.777778	2.606480	714	0.226891	0.281000	0.303545	
711	0.222222	133	0.022556	156	0.769231	2.606480	711	0.222222	0.281000	0.302967	
760	0.332895	95	0.000000	145	0.689655	2.606480	760	0.332895	0.353000	0.304217	
727	0.337001	100	0.000000	173	0.502890	2.606480	727	0.337001	0.332000	0.304895	
728	0.343407	125	0.000000	147	0.619048	2.606480	728	0.343407	0.341000	0.305755	
743	0.364738	110	0.000000	147	0.666667	2.606480	743	0.364738	0.369000	0.307225	
732	0.314208	110	0.000000	158	0.651899	2.606480	732	0.314208	0.333000	0.307811	
760	0.331579	109	0.018349	131	0.564885	2.606480	760	0.331579	0.328000	0.308260	
746	0.333780	87	0.000000	167	0.652695	2.606480	746	0.333780	0.358000	0.309341	
747	0.323963	113	0.000000	140	0.607143	2.606480	747	0.323963	0.327000	0.309717	
740	0.310811	126	0.000000	134	0.671642	2.606480	740	0.310811	0.320000	0.309931	
727	0.259972	129	0.023256	144	0.722222	2.606480	727	0.259972	0.296000	0.309647	
731	0.212038	124	0.016129	145	0.793103	2.606480	731	0.212038	0.272000	0.308894	
705	0.211348	122	0.016393	173	0.739884	2.606480	705	0.211348	0.279000	0.308308	
739	0.240866	121	0.000000	140	0.778571	2.606480	739	0.240866	0.287000	0.307898	
711	0.220816	120	0.000000	169	0.775148	2.606480	711	0.220816	0.288000	0.307522	
724	0.230663	136	0.000000	140	0.757143	2.606480	724	0.230663	0.273000	0.306883	
738	0.233062	119	0.000000	143	0.356643	2.606480	738	0.233062	0.223000	0.305358	
703	0.226174	135	0.000000	162	0.771605	2.606480	703	0.226174	0.284000	0.304977	
744	0.264785	121	0.016529	135	0.711111	2.606480	744	0.264785	0.295000	0.304802	
694	0.223343	140	0.000000	166	0.801205	2.606480	694	0.223343	0.288000	0.304512	
727	0.262724	127	0.000000	146	0.773973	2.606480	727	0.262724	0.304000	0.304503	
729	0.190672	141	0.000000	130	0.700000	2.606480	729	0.190672	0.230000	0.303262	
713	0.360449	131	0.000000	156	0.705128	1.918309	713	0.360449	0.367000	0.304306	
735	0.311565	130	0.000000	135	0.674074	1.918309	735	0.311565	0.320000	0.304560	
743	0.309556	114	0.000000	143	0.762238	1.918309	743	0.309556	0.339000	0.305106	
693	0.285714	127	0.023622	180	0.638889	1.918309	693	0.285714	0.316000	0.305276	
735	0.315646	124	0.008065	141	0.737589	1.918309	735	0.315646	0.337000	0.305765	
735	0.336054	121	0.000000	144	0.736111	1.918309	735	0.336054	0.353000	0.306480	
736	0.339674	126	0.000000	138	0.753623	1.918309	736	0.339674	0.354000	0.307189	
751	0.362184	119	0.000000	130	0.830769	1.918309	751	0.362184	0.380000	0.308260	
722	0.342105	126	0.000000	152	0.690789	1.918309	722	0.342105	0.352000	0.308894	
702	0.343305	130	0.000000	168	0.726190	1.918309	702	0.343305	0.363000	0.309667	
706	0.327195	126	0.015873	168	0.785714	1.918309	706	0.327195	0.365000	0.310446	
736	0.324728	124	0.000000	140	0.592857	1.918309	736	0.324728	0.322000	0.310607	
739	0.347767	129	0.015504	132	0.681818	1.918309	739	0.347767	0.349000	0.311133	
696	0.359195	142	0.014085	162	0.691358	1.918309	696	0.359195	0.364000	0.311847	
713	0.252454	134	0.014925	153	0.705882	1.918309	713	0.252454	0.290000	0.311556	
712	0.325843	143	0.000000	145	0.779310	1.918309	712	0.325843	0.345000	0.311996	
726	0.331956	122	0.000000	152	0.743421	1.918309	726	0.331956	0.354000	0.312541	
