Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
702	0.319088	120	0.025000	178	0.870787	2.569137	702	0.319088	0.382000	0.336606	
744	0.305108	105	0.066667	151	0.794702	2.569137	744	0.305108	0.354000	0.338055	
763	0.305374	97	0.051546	140	0.792857	2.569137	763	0.305374	0.349000	0.338897	
571	0.287215	148	0.040541	281	0.790036	2.569137	571	0.287215	0.392000	0.342690	
740	0.278378	127	0.015748	133	0.774436	2.569137	740	0.278378	0.311000	0.340577	
763	0.245085	107	0.065421	130	0.792308	2.569137	763	0.245085	0.297000	0.337854	
752	0.276596	103	0.106796	145	0.648276	2.569137	752	0.276596	0.313000	0.336392	
728	0.271978	134	0.029851	138	0.782609	2.569137	728	0.271978	0.310000	0.334926	
691	0.279305	125	0.064000	184	0.793478	2.569137	691	0.279305	0.347000	0.335561	
625	0.294400	127	0.031496	248	0.778226	2.569137	625	0.294400	0.381000	0.337833	
747	0.305221	116	0.068966	137	0.832117	2.569137	747	0.305221	0.350000	0.338412	
752	0.296543	105	0.028571	143	0.783217	2.569137	752	0.296543	0.338000	0.338394	
748	0.306150	124	0.072581	128	0.765625	2.569137	748	0.306150	0.336000	0.338290	
751	0.275632	107	0.112150	142	0.838028	2.569137	751	0.275632	0.338000	0.338278	
742	0.295148	123	0.146341	135	0.748148	2.569137	742	0.295148	0.338000	0.338266	
744	0.307796	101	0.079208	155	0.793548	2.569137	744	0.307796	0.360000	0.339102	
738	0.363144	120	0.008333	142	0.781690	2.569137	738	0.363144	0.380000	0.340617	
729	0.285322	127	0.102362	144	0.756944	2.569137	729	0.285322	0.330000	0.340238	
735	0.265306	137	0.058394	128	0.796875	2.569137	735	0.265306	0.305000	0.339023	
736	0.311141	118	0.067797	146	0.883562	2.569137	736	0.311141	0.366000	0.339922	
747	0.286479	100	0.060000	153	0.856209	2.569137	747	0.286479	0.351000	0.340279	
714	0.302521	132	0.015152	154	0.779221	2.569137	714	0.302521	0.338000	0.340208	
723	0.319502	122	0.032787	155	0.825806	2.569137	723	0.319502	0.363000	0.340899	
750	0.344000	97	0.000000	153	0.797386	2.569137	750	0.344000	0.380000	0.342049	
741	0.280702	104	0.038462	155	0.845161	2.569137	741	0.280702	0.343000	0.342076	
719	0.297636	112	0.089286	169	0.745562	2.569137	719	0.297636	0.350000	0.342296	
696	0.283046	133	0.045113	171	0.771930	2.569137	696	0.283046	0.335000	0.342099	
729	0.294925	118	0.067797	153	0.803922	2.569137	729	0.294925	0.346000	0.342202	
726	0.292011	120	0.116667	154	0.759740	2.569137	726	0.292011	0.343000	0.342222	
738	0.191057	101	0.009901	161	0.695652	2.569137	738	0.191057	0.254000	0.340016	
718	0.376045	108	0.092593	174	0.804598	1.340829	718	0.376045	0.420000	0.341967	
739	0.523681	113	0.123894	148	0.804054	1.340829	739	0.523681	0.520000	0.346206	
672	0.427083	139	0.079137	189	0.772487	1.721417	672	0.427083	0.444000	0.348480	
724	0.335635	129	0.116279	147	0.802721	2.301765	724	0.335635	0.376000	0.349106	
734	0.325613	106	0.113208	160	0.762500	2.301765	734	0.325613	0.373000	0.349637	
720	0.319444	110	0.063636	170	0.829412	2.301765	720	0.319444	0.378000	0.350253	
743	0.343203	111	0.054054	146	0.835616	2.301765	743	0.343203	0.383000	0.350950	
728	0.324176	120	0.033333	152	0.848684	2.301765	728	0.324176	0.369000	0.351326	
759	0.357049	104	0.038462	137	0.773723	2.301765	759	0.357049	0.381000	0.351932	
761	0.306176	109	0.091743	130	0.846154	2.301765	761	0.306176	0.353000	0.351953	
740	0.310811	113	0.061947	147	0.748299	2.301765	740	0.310811	0.347000	0.351856	
750	0.280000	119	0.042017	131	0.740458	2.301765	750	0.280000	0.312000	0.351089	
738	0.284553	119	0.050420	143	0.846154	2.301765	738	0.284553	0.337000	0.350824	
728	0.347527	99	0.040404	173	0.815029	2.301765	728	0.347527	0.398000	0.351697	
726	0.292011	129	0.108527	145	0.696552	2.301765	726	0.292011	0.327000	0.351248	
582	0.359107	141	0.007092	277	0.678700	2.301765	582	0.359107	0.398000	0.352083	
713	0.323983	123	0.056911	164	0.829268	2.301765	713	0.323983	0.374000	0.352468	
740	0.295946	120	0.091667	140	0.714286	2.301765	740	0.295946	0.330000	0.352080	
738	0.353659	126	0.055556	136	0.830882	2.301765	738	0.353659	0.381000	0.352570	
719	0.364395	129	0.062016	152	0.835526	2.301765	719	0.364395	0.397000	0.353311	
729	0.337449	114	0.105263	157	0.821656	2.301765	729	0.337449	0.387000	0.353863	
745	0.336913	128	0.078125	127	0.826772	2.301765	745	0.336913	0.366000	0.354059	
728	0.299451	135	0.074074	137	0.795620	2.301765	728	0.299451	0.337000	0.353788	
741	0.331984	105	0.114286	154	0.818182	2.301765	741	0.331984	0.384000	0.354260	
730	0.345205	127	0.070866	143	0.867133	2.301765	730	0.345205	0.385000	0.354733	
733	0.335607	95	0.031579	172	0.779070	2.301765	733	0.335607	0.383000	0.355161	
748	0.336898	128	0.101562	124	0.677419	2.301765	748	0.336898	0.349000	0.355069	
715	0.311888	126	0.087302	159	0.836478	2.301765	715	0.311888	0.367000	0.355245	
619	0.315024	140	0.085714	241	0.792531	2.301765	619	0.315024	0.398000	0.355864	
718	0.282730	142	0.091549	140	0.735714	2.301765	718	0.282730	0.319000	0.355338	
719	0.283727	134	0.059701	147	0.863946	2.301765	719	0.283727	0.339000	0.355108	
724	0.258287	142	0.035211	134	0.768657	2.301765	724	0.258287	0.295000	0.354273	
721	0.348128	118	0.050847	161	0.788820	2.301765	721	0.348128	0.384000	0.354680	
738	0.375339	121	0.066116	141	0.744681	2.301765	738	0.375339	0.390000	0.355157	
739	0.322057	125	0.048000	136	0.816176	2.301765	739	0.322057	0.355000	0.355155	
746	0.341823	117	0.042735	137	0.737226	2.301765	746	0.341823	0.361000	0.355232	
734	0.317439	130	0.069231	136	0.823529	2.301765	734	0.317439	0.354000	0.355216	
746	0.345845	112	0.017857	142	0.859155	2.301765	746	0.345845	0.382000	0.355560	
744	0.362903	115	0.017391	141	0.808511	2.301765	744	0.362903	0.386000	0.355945	
759	0.318841	104	0.125000	137	0.759124	2.301765	759	0.318841	0.359000	0.355983	
733	0.326057	126	0.095238	141	0.829787	2.301765	733	0.326057	0.368000	0.356131	
721	0.343967	126	0.103175	153	0.790850	2.301765	721	0.343967	0.382000	0.356447	
731	0.326949	124	0.048387	145	0.758621	2.301765	731	0.326949	0.355000	0.356429	
602	0.340532	139	0.007194	259	0.710425	2.301765	602	0.340532	0.390000	0.356829	
704	0.375000	116	0.077586	180	0.755556	2.301765	704	0.375000	0.409000	0.357443	
689	0.357039	146	0.034247	165	0.769697	2.301765	689	0.357039	0.378000	0.357682	
702	0.319088	123	0.040650	175	0.771429	2.301765	702	0.319088	0.364000	0.357755	
713	0.307153	121	0.066116	166	0.759036	2.301765	713	0.307153	0.353000	0.357700	
735	0.334694	122	0.081967	143	0.776224	2.301765	735	0.334694	0.367000	0.357805	
