Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
167	0.335329	172	0.000000	661	0.642965	2.337779	167	0.335329	0.481000	0.457049	
142	0.323944	159	0.000000	699	0.632332	2.337779	142	0.323944	0.488000	0.459628	
181	0.298343	150	0.000000	669	0.630792	2.337779	181	0.298343	0.476000	0.460888	
141	0.347518	160	0.000000	699	0.645207	2.337779	141	0.347518	0.500000	0.463681	
155	0.335484	165	0.000000	680	0.639706	2.337779	155	0.335484	0.487000	0.465236	
153	0.215686	133	0.007519	714	0.644258	2.337779	153	0.215686	0.494000	0.467033	
65	0.123077	110	0.000000	825	0.632727	2.337779	65	0.123077	0.530000	0.470737	
269	0.237918	53	0.056604	678	0.696165	1.395945	269	0.237918	0.539000	0.474529	
331	0.256798	46	0.021739	623	0.638844	1.395945	331	0.256798	0.484000	0.475028	
137	0.452555	148	0.006757	715	0.669930	1.395945	137	0.452555	0.542000	0.478376	
182	0.269231	147	0.000000	671	0.597615	2.244229	182	0.269231	0.450000	0.477025	
189	0.375661	149	0.000000	662	0.682779	2.244229	189	0.375661	0.523000	0.479115	
178	0.331461	138	0.000000	684	0.678363	2.244229	178	0.331461	0.523000	0.481023	
167	0.311377	145	0.000000	688	0.635174	2.244229	167	0.311377	0.489000	0.481355	
176	0.255682	139	0.000000	685	0.635036	2.244229	176	0.255682	0.480000	0.481301	
146	0.280822	141	0.007092	713	0.638149	2.244229	146	0.280822	0.497000	0.481905	
313	0.118211	53	0.018868	634	0.627760	2.244229	313	0.118211	0.436000	0.480204	
496	0.262097	5	0.000000	499	0.605210	1.426231	496	0.262097	0.432000	0.478483	
241	0.273859	84	0.047619	675	0.640000	1.426231	241	0.273859	0.502000	0.479294	
175	0.394286	156	0.000000	669	0.654709	1.426231	175	0.394286	0.507000	0.480217	
165	0.484848	144	0.000000	691	0.683068	1.426231	165	0.484848	0.552000	0.482533	
182	0.307692	142	0.000000	676	0.579882	2.171720	182	0.307692	0.448000	0.481454	
167	0.299401	134	0.000000	699	0.643777	2.171720	167	0.299401	0.500000	0.482016	
171	0.321637	139	0.000000	690	0.669565	2.171720	171	0.321637	0.517000	0.483045	
161	0.360248	163	0.000000	676	0.610947	2.171720	161	0.360248	0.471000	0.482700	
175	0.342857	163	0.000000	662	0.648036	2.171720	175	0.342857	0.489000	0.482875	
162	0.327160	155	0.000000	683	0.648609	2.171720	162	0.327160	0.496000	0.483230	
168	0.309524	148	0.000000	684	0.619883	2.171720	168	0.309524	0.476000	0.483040	
170	0.276471	147	0.000000	683	0.617862	2.171720	170	0.276471	0.469000	0.482680	
169	0.331361	158	0.000000	673	0.653789	2.171720	169	0.331361	0.496000	0.483013	
196	0.265306	165	0.000000	639	0.636933	2.171720	196	0.265306	0.459000	0.482427	
165	0.303030	169	0.000000	666	0.647147	2.171720	165	0.303030	0.481000	0.482393	
159	0.333333	154	0.000000	687	0.633188	2.171720	159	0.333333	0.488000	0.482524	
157	0.401274	149	0.000000	694	0.623919	2.171720	157	0.401274	0.496000	0.482830	
164	0.310976	145	0.000000	691	0.575977	2.540246	164	0.310976	0.449000	0.482078	
189	0.349206	150	0.000000	661	0.623298	2.540246	189	0.349206	0.478000	0.481990	
166	0.259036	174	0.000000	660	0.639394	2.540246	166	0.259036	0.465000	0.481628	
186	0.236559	146	0.000000	668	0.637725	2.540246	186	0.236559	0.470000	0.481386	
162	0.253086	149	0.000000	689	0.595065	2.540246	162	0.253086	0.451000	0.480766	
170	0.288235	163	0.012270	667	0.625187	2.540246	170	0.288235	0.468000	0.480510	
180	0.277778	142	0.000000	678	0.682891	2.540246	180	0.277778	0.513000	0.481147	
189	0.243386	159	0.000000	652	0.605828	2.540246	189	0.243386	0.441000	0.480375	
131	0.229008	132	0.007576	737	0.632293	2.540246	131	0.229008	0.497000	0.480689	
157	0.318471	162	0.006173	681	0.669604	2.540246	157	0.318471	0.507000	0.481176	
158	0.259494	159	0.000000	683	0.626647	2.540246	158	0.259494	0.469000	0.480955	
184	0.255435	141	0.000000	675	0.663704	2.540246	184	0.255435	0.495000	0.481206	
169	0.201183	132	0.060606	699	0.600858	2.540246	169	0.201183	0.462000	0.480869	
173	0.254335	128	0.000000	699	0.678112	2.540246	173	0.254335	0.518000	0.481509	
149	0.268456	140	0.000000	711	0.624473	2.540246	149	0.268456	0.484000	0.481551	
141	0.312057	143	0.013986	716	0.646648	2.540246	141	0.312057	0.509000	0.482009	
139	0.280576	136	0.007353	725	0.626207	2.540246	139	0.280576	0.494000	0.482205	
707	0.190948	123	0.008130	170	0.676471	2.540246	707	0.190948	0.251000	0.478476	
738	0.207317	130	0.046154	132	0.613636	2.448354	738	0.207317	0.240000	0.474691	
743	0.250336	123	0.048780	134	0.738806	2.448354	743	0.250336	0.291000	0.471821	
754	0.258621	104	0.038462	142	0.697183	2.448354	754	0.258621	0.298000	0.469147	
736	0.210598	103	0.019417	161	0.757764	2.448354	736	0.210598	0.279000	0.466266	
747	0.178046	118	0.000000	135	0.711111	2.448354	747	0.178046	0.229000	0.462724	
735	0.248980	129	0.000000	136	0.735294	2.103765	735	0.248980	0.283000	0.460081	
609	0.239737	119	0.033613	272	0.650735	2.103765	609	0.239737	0.327000	0.458153	
756	0.246032	110	0.018182	134	0.634328	2.103765	756	0.246032	0.273000	0.455508	
724	0.263812	119	0.016807	157	0.643312	2.103765	724	0.263812	0.294000	0.453233	
738	0.331978	103	0.058252	159	0.572327	2.103765	738	0.331978	0.342000	0.451688	
743	0.238223	117	0.017094	140	0.778571	2.103765	743	0.238223	0.288000	0.449446	
729	0.251029	130	0.030769	141	0.702128	2.103765	729	0.251029	0.286000	0.447237	
747	0.283802	111	0.036036	142	0.683099	2.103765	747	0.283802	0.313000	0.445447	
740	0.263514	125	0.016000	135	0.748148	2.103765	740	0.263514	0.298000	0.443507	
741	0.321188	102	0.000000	157	0.681529	2.103765	741	0.321188	0.345000	0.442228	
727	0.342503	135	0.014815	138	0.644928	2.103765	727	0.342503	0.340000	0.440917	
744	0.295699	108	0.027778	148	0.722973	2.103765	744	0.295699	0.330000	0.439513	
738	0.273713	127	0.055118	135	0.703704	2.103765	738	0.273713	0.304000	0.437820	
742	0.247978	114	0.035088	144	0.680556	2.103765	742	0.247978	0.286000	0.435945	
726	0.247934	125	0.000000	149	0.744966	2.103765	726	0.247934	0.291000	0.434178	
700	0.240000	124	0.064516	176	0.636364	2.103765	700	0.240000	0.288000	0.432416	
729	0.222222	135	0.007407	136	0.632353	2.103765	729	0.222222	0.249000	0.430233	
725	0.300690	128	0.039062	147	0.646259	2.103765	725	0.300690	0.318000	0.428913	
731	0.270862	126	0.015873	143	0.636364	2.103765	731	0.270862	0.291000	0.427309	
742	0.270889	118	0.042373	140	0.735714	2.103765	742	0.270889	0.309000	0.425949	
738	0.260163	117	0.042735	145	0.689655	2.103765	738	0.260163	0.297000	0.424484	
724	0.324586	138	0.014493	138	0.717391	2.103765	724	0.324586	0.336000	0.423490	
719	0.294854	131	0.030534	150	0.706667	2.103765	719	0.294854	0.322000	0.422362	
722	0.270083	123	0.048780	155	0.683871	2.103765	722	0.270083	0.307000	0.421094	
725	0.299310	134	0.014925	141	0.567376	2.103765	725	0.299310	0.299000	0.419767	
724	0.306630	114	0.078947	162	0.709877	2.103765	724	0.306630	0.346000	0.418974	
367	0.316076	138	0.050725	495	0.660606	2.103765	367	0.316076	0.450000	0.419304	
174	0.304598	164	0.000000	662	0.604230	2.103765	174	0.304598	0.453000	0.419659	
164	0.335366	149	0.000000	687	0.604076	2.103765	164	0.335366	0.470000	0.420183	
394	0.246193	112	0.017857	494	0.659919	2.103765	394	0.246193	0.425000	0.420233	
735	0.257143	128	0.015625	137	0.700730	2.103765	735	0.257143	0.287000	0.418873	
437	0.331808	144	0.027778	419	0.646778	2.103765	437	0.331808	0.420000	0.418885	
138	0.369565	165	0.006061	697	0.625538	2.103765	138	0.369565	0.488000	0.419576	
80	0.050000	141	0.000000	779	0.672657	2.103765	80	0.050000	0.528000	0.420649	
80	0.237500	127	0.000000	793	0.680958	1.509413	80	0.237500	0.559000	0.422006	
411	0.201946	33	0.030303	556	0.613309	1.509413	411	0.201946	0.425000	0.422035	
505	0.231683	6	0.000000	489	0.640082	1.509413	505	0.231683	0.430000	0.422111	
185	0.389189	115	0.017391	700	0.605714	1.509413	185	0.389189	0.498000	0.422834	
163	0.386503	167	0.000000	670	0.619403	1.509413	163	0.386503	0.478000	0.423354	
166	0.475904	132	0.000000	702	0.641026	1.509413	166	0.475904	0.529000	0.424342	
167	0.269461	148	0.000000	685	0.652555	2.568295	167	0.269461	0.492000	0.424968	
158	0.284810	148	0.000000	694	0.651297	2.568295	158	0.284810	0.497000	0.425629	
178	0.247191	164	0.000000	658	0.623100	2.568295	178	0.247191	0.454000	0.425887	
169	0.195266	146	0.000000	685	0.633577	2.568295	169	0.195266	0.467000	0.426257	
178	0.292135	149	0.006711	673	0.606241	2.451504	178	0.292135	0.461000	0.426568	
90	0.144444	115	0.000000	795	0.696855	2.451504	90	0.144444	0.567000	0.427810	
133	0.406015	143	0.006993	724	0.617403	1.903710	133	0.406015	0.502000	0.428461	
147	0.224490	156	0.000000	697	0.638451	2.913780	147	0.224490	0.478000	0.428892	
173	0.260116	169	0.000000	658	0.621581	2.913780	173	0.260116	0.454000	0.429108	
171	0.181287	146	0.000000	683	0.638360	2.913780	171	0.181287	0.467000	0.429432	
154	0.409091	140	0.000000	706	0.630312	1.793189	154	0.409091	0.508000	0.430098	
152	0.223684	145	0.000000	703	0.634424	2.864543	152	0.223684	0.480000	0.430517	
165	0.327273	142	0.000000	693	0.632035	2.864543	165	0.327273	0.492000	0.431030	
186	0.252688	171	0.000000	643	0.637636	2.864543	186	0.252688	0.457000	0.431244	
186	0.252688	138	0.000000	676	0.568047	2.864543	186	0.252688	0.431000	0.431242	
159	0.201258	153	0.000000	688	0.623547	2.864543	159	0.201258	0.461000	0.431484	
170	0.223529	137	0.000000	693	0.607504	2.864543	170	0.223529	0.459000	0.431706	
163	0.214724	168	0.000000	669	0.615845	2.864543	163	0.214724	0.447000	0.431829	
159	0.295597	143	0.000000	698	0.648997	2.864543	159	0.295597	0.500000	0.432370	
143	0.272727	157	0.000000	700	0.682857	2.864543	143	0.272727	0.517000	0.433036	
163	0.202454	140	0.000000	697	0.619799	2.864543	163	0.202454	0.465000	0.433286	
174	0.235632	137	0.000000	689	0.648766	2.864543	174	0.235632	0.488000	0.433710	
173	0.283237	160	0.000000	667	0.634183	2.864543	173	0.283237	0.472000	0.434004	
155	0.245161	141	0.000000	704	0.642045	2.864543	155	0.245161	0.490000	0.434432	
153	0.294118	164	0.000000	683	0.639824	2.864543	153	0.294118	0.482000	0.434792	
156	0.237179	148	0.000000	696	0.632184	2.864543	156	0.237179	0.477000	0.435110	
187	0.235294	136	0.000000	677	0.646972	2.864543	187	0.235294	0.482000	0.435459	
161	0.242236	146	0.000000	693	0.634921	2.864543	161	0.242236	0.479000	0.435782	
169	0.242604	152	0.000000	679	0.594993	2.864543	169	0.242604	0.445000	0.435850	
171	0.216374	153	0.000000	676	0.622781	2.864543	171	0.216374	0.458000	0.436011	
174	0.241379	166	0.000000	660	0.601515	2.864543	174	0.241379	0.439000	0.436033	
168	0.202381	165	0.000000	667	0.644678	2.864543	168	0.202381	0.464000	0.436234	
