Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.369213	-2.369213
1	0.950747	750	-2.332695	-4.701908
2	0.926679	750	-2.292982	-6.994890
3	0.902980	750	-2.263821	-9.258710
4	0.879648	750	-2.227843	-11.486554
5	0.856682	750	-2.190229	-13.676782
6	0.834079	750	-2.160699	-15.837481
7	0.811838	750	-2.124954	-17.962436
8	0.789957	750	-2.088526	-20.050962
9	0.768433	750	-2.109745	-22.160706
10	0.747266	750	-2.035379	-24.196085
11	0.726452	750	-1.987453	-26.183538
12	0.705989	750	-1.976674	-28.160212
13	0.685877	750	-1.948249	-30.108461
14	0.666112	750	-1.892902	-32.001363
15	0.646693	750	-1.859752	-33.861115
16	0.627618	750	-1.822740	-35.683855
17	0.608884	750	-1.798067	-37.481923
18	0.590490	750	-1.847277	-39.329200
19	0.572433	750	-1.733464	-41.062663
20	0.554712	750	-1.718162	-42.780825
21	0.537324	750	-1.666952	-44.447777
22	0.520268	750	-1.692752	-46.140529
23	0.503540	750	-1.602752	-47.743281
24	0.487139	750	-1.608253	-49.351534
25	0.471063	750	-1.613387	-50.964921
26	0.455310	750	-1.582877	-52.547798
27	0.439877	750	-1.517920	-54.065718
28	0.424762	750	-1.584970	-55.650688
29	0.409963	750	-1.528982	-57.179670
30	0.395478	750	-1.484673	-58.664342
31	0.381305	750	-1.479792	-60.144134
32	0.367440	750	-1.351028	-61.495162
33	0.353883	750	-1.394410	-62.889572
34	0.340630	750	-1.407436	-64.297008
35	0.327680	750	-1.307497	-65.604505
36	0.315030	750	-1.271107	-66.875612
37	0.302677	750	-1.299655	-68.175267
38	0.290619	750	-1.221901	-69.397168
39	0.278855	750	-1.249277	-70.646446
40	0.267381	750	-1.191085	-71.837531
41	0.256195	750	-1.153465	-72.990995
42	0.245294	750	-1.180011	-74.171006
43	0.234677	750	-1.129694	-75.300700
44	0.224340	750	-1.118150	-76.418851
45	0.214281	750	-1.088194	-77.507045
46	0.204498	750	-1.059914	-78.566958
47	0.194988	750	-1.034383	-79.601341
48	0.185749	750	-1.011272	-80.612613
49	0.176777	750	-0.977220	-81.589833
50	0.168070	750	-0.952375	-82.542208
51	0.159626	750	-0.923167	-83.465375
52	0.151441	750	-0.897604	-84.362980
53	0.143514	750	-0.872234	-85.235214
54	0.135841	750	-0.845605	-86.080819
55	0.128420	750	-0.812691	-86.893509
56	0.121247	750	-0.792394	-87.685904
57	0.114320	750	-0.764884	-88.450788
58	0.107637	750	-0.743274	-89.194062
59	0.101193	750	-0.711348	-89.905410
60	0.094986	750	-0.681935	-90.587346
61	0.089014	750	-0.658647	-91.245992
62	0.083273	750	-0.641975	-91.887968
63	0.077760	750	-0.610939	-92.498907
64	0.072472	750	-0.588938	-93.087845
65	0.067406	750	-0.560239	-93.648084
66	0.062558	750	-0.544801	-94.192884
67	0.057926	750	-0.518407	-94.711291
68	0.053506	750	-0.493363	-95.204654
69	0.049295	750	-0.472021	-95.676675
70	0.045289	750	-0.448573	-96.125248
71	0.041485	750	-0.427009	-96.552257
72	0.037880	750	-0.405406	-96.957663
73	0.034469	750	-0.384434	-97.342096
74	0.031250	750	-0.367358	-97.709454
75	0.028218	750	-0.340232	-98.049687
76	0.025370	750	-0.318542	-98.368229
77	0.022702	750	-0.302143	-98.670371
78	0.020209	750	-0.284852	-98.955223
79	0.017889	750	-0.261584	-99.216807
80	0.015736	750	-0.247467	-99.464274
81	0.013746	750	-0.230202	-99.694476
82	0.011916	750	-0.207612	-99.902088
83	0.010240	750	-0.191155	-100.093243
84	0.008714	750	-0.174361	-100.267605
85	0.007334	750	-0.156006	-100.423611
86	0.006093	750	-0.141709	-100.565320
87	0.004988	750	-0.124657	-100.689977
88	0.004013	750	-0.111530	-100.801507
89	0.003162	750	-0.096513	-100.898019
90	0.002430	750	-0.082356	-100.980376
91	0.001810	750	-0.070696	-101.051071
92	0.001296	750	-0.059450	-101.110521
93	0.000882	750	-0.051133	-101.161654
94	0.000559	750	-0.036831	-101.198485
95	0.000320	750	-0.027850	-101.226334
96	0.000156	750	-0.019358	-101.245692
97	0.000057	750	-0.011563	-101.257255
98	0.000010	750	-0.005325	-101.262580
99	0.000000	750	-0.001159	-101.263740
Log marginal likelihood:	-101.263740
