Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
773	0.366106	107	0.112150	120	0.816667	2.410206	773	0.366106	0.393000	0.345241	
760	0.359211	114	0.157895	126	0.730159	2.410206	760	0.359211	0.383000	0.348388	
729	0.344307	147	0.149660	124	0.790323	2.410206	729	0.344307	0.371000	0.350127	
718	0.331476	136	0.110294	146	0.787671	2.410206	718	0.331476	0.368000	0.351403	
734	0.348774	120	0.100000	146	0.828767	2.410206	734	0.348774	0.389000	0.353910	
760	0.375000	112	0.133929	128	0.812500	2.410206	760	0.375000	0.404000	0.357040	
735	0.318367	132	0.204545	133	0.789474	2.410206	735	0.318367	0.366000	0.357567	
750	0.340000	92	0.010870	158	0.734177	2.410206	750	0.340000	0.372000	0.358369	
755	0.354967	97	0.072165	148	0.702703	2.410206	755	0.354967	0.379000	0.359455	
737	0.367707	121	0.107438	142	0.816901	2.410206	737	0.367707	0.400000	0.361482	
742	0.328841	111	0.117117	147	0.775510	2.410206	742	0.328841	0.371000	0.361935	
745	0.297987	143	0.055944	112	0.883929	2.410206	745	0.297987	0.329000	0.360438	
705	0.266667	142	0.105634	153	0.823529	2.410206	705	0.266667	0.329000	0.359071	
710	0.239437	130	0.084615	160	0.818750	2.410206	710	0.239437	0.312000	0.357110	
723	0.366528	133	0.120301	144	0.680556	2.410206	723	0.366528	0.379000	0.357986	
739	0.347767	121	0.148760	140	0.807143	2.410206	739	0.347767	0.388000	0.359140	
724	0.363260	139	0.151079	137	0.678832	2.410206	724	0.363260	0.377000	0.359801	
753	0.355910	119	0.109244	128	0.804688	2.410206	753	0.355910	0.384000	0.360666	
719	0.368567	123	0.138211	158	0.759494	2.410206	719	0.368567	0.402000	0.362091	
735	0.352381	123	0.235772	142	0.859155	2.410206	735	0.352381	0.410000	0.363688	
716	0.349162	107	0.158879	177	0.757062	2.410206	716	0.349162	0.401000	0.364891	
729	0.393690	118	0.118644	153	0.751634	2.410206	729	0.393690	0.416000	0.366489	
728	0.368132	125	0.040000	147	0.748299	2.410206	728	0.368132	0.383000	0.366989	
728	0.362637	112	0.133929	160	0.718750	2.410206	728	0.362637	0.394000	0.367783	
750	0.340000	121	0.157025	129	0.798450	2.410206	750	0.340000	0.377000	0.368047	
715	0.393007	126	0.087302	159	0.685535	2.410206	715	0.393007	0.401000	0.368962	
680	0.333824	134	0.119403	186	0.849462	2.410206	680	0.333824	0.401000	0.369828	
748	0.375668	134	0.179104	118	0.872881	2.410206	748	0.375668	0.408000	0.370832	
765	0.363399	113	0.141593	122	0.770492	2.410206	765	0.363399	0.388000	0.371273	
725	0.348966	126	0.182540	149	0.765101	2.410206	725	0.348966	0.390000	0.371741	
736	0.370924	121	0.107438	143	0.776224	2.410206	736	0.370924	0.397000	0.372357	
741	0.353576	108	0.111111	151	0.801325	2.410206	741	0.353576	0.395000	0.372896	
767	0.391134	97	0.082474	136	0.823529	2.410206	767	0.391134	0.420000	0.373991	
740	0.354054	111	0.171171	149	0.778523	2.410206	740	0.354054	0.397000	0.374514	
709	0.375176	134	0.156716	157	0.796178	2.410206	709	0.375176	0.412000	0.375347	
734	0.377384	117	0.196581	149	0.758389	2.410206	734	0.377384	0.413000	0.376166	
744	0.337366	133	0.082707	123	0.861789	2.410206	744	0.337366	0.368000	0.375992	
729	0.349794	110	0.081818	161	0.782609	2.410206	729	0.349794	0.390000	0.376284	
757	0.365918	113	0.132743	130	0.792308	2.410206	757	0.365918	0.395000	0.376666	
731	0.378933	131	0.167939	138	0.840580	2.410206	731	0.378933	0.415000	0.377432	
753	0.298805	115	0.104348	132	0.742424	2.410206	753	0.298805	0.335000	0.376600	
726	0.271350	118	0.135593	156	0.743590	2.410206	726	0.271350	0.329000	0.375685	
750	0.373333	111	0.135135	139	0.776978	2.410206	750	0.373333	0.403000	0.376200	
746	0.324397	123	0.081301	131	0.839695	2.410206	746	0.324397	0.362000	0.375937	
734	0.326975	120	0.108333	146	0.821918	2.410206	734	0.326975	0.373000	0.375884	
756	0.376984	113	0.150442	131	0.793893	2.410206	756	0.376984	0.406000	0.376422	
763	0.389253	107	0.093458	130	0.807692	2.410206	763	0.389253	0.412000	0.377046	
766	0.345953	112	0.098214	122	0.811475	2.410206	766	0.345953	0.375000	0.377011	
764	0.328534	108	0.083333	128	0.820312	2.410206	764	0.328534	0.365000	0.376807	
746	0.351206	128	0.117188	126	0.698413	2.410206	746	0.351206	0.365000	0.376610	
730	0.335616	115	0.130435	155	0.793548	2.410206	730	0.335616	0.383000	0.376715	
737	0.383989	129	0.139535	134	0.723881	2.410206	737	0.383989	0.398000	0.377058	
745	0.343624	108	0.166667	147	0.775510	2.410206	745	0.343624	0.388000	0.377232	
744	0.336022	105	0.133333	151	0.814570	2.410206	744	0.336022	0.387000	0.377385	
731	0.350205	100	0.110000	169	0.857988	2.410206	731	0.350205	0.412000	0.377917	
748	0.303476	122	0.131148	130	0.846154	2.410206	748	0.303476	0.353000	0.377540	
722	0.324100	126	0.063492	152	0.835526	2.410206	722	0.324100	0.369000	0.377412	
713	0.269285	135	0.014815	152	0.809211	2.410206	713	0.269285	0.317000	0.376524	
736	0.243207	134	0.044776	130	0.784615	2.410206	736	0.243207	0.287000	0.375226	
749	0.226969	131	0.106870	120	0.850000	2.410206	749	0.226969	0.286000	0.373952	
724	0.321823	133	0.187970	143	0.748252	2.410206	724	0.321823	0.365000	0.373826	
744	0.356183	115	0.173913	141	0.787234	2.410206	744	0.356183	0.396000	0.374134	
730	0.327397	126	0.087302	144	0.833333	2.410206	730	0.327397	0.370000	0.374077	
734	0.359673	122	0.122951	144	0.791667	2.410206	734	0.359673	0.393000	0.374333	
742	0.369272	124	0.145161	134	0.776119	2.410206	742	0.369272	0.396000	0.374622	
772	0.404145	118	0.144068	110	0.845455	2.410206	772	0.404145	0.422000	0.375245	
761	0.385020	119	0.142857	120	0.825000	2.526911	761	0.385020	0.409000	0.375683	
740	0.354054	128	0.140625	132	0.810606	2.526911	740	0.354054	0.387000	0.375829	
736	0.357337	116	0.146552	148	0.831081	2.526911	736	0.357337	0.403000	0.376172	
720	0.315278	126	0.111111	154	0.785714	2.526911	720	0.315278	0.362000	0.375995	
744	0.334677	114	0.096491	142	0.838028	2.526911	744	0.334677	0.379000	0.376032	
749	0.364486	110	0.145455	141	0.843972	2.526911	749	0.364486	0.408000	0.376422	
764	0.367801	119	0.168067	117	0.871795	2.526911	764	0.367801	0.403000	0.376742	
715	0.353846	147	0.136054	138	0.760870	2.526911	715	0.353846	0.378000	0.376757	
714	0.362745	139	0.086331	147	0.761905	2.526911	714	0.362745	0.383000	0.376831	
723	0.355463	128	0.203125	149	0.738255	2.526911	723	0.355463	0.393000	0.377019	
745	0.359732	125	0.144000	130	0.784615	2.526911	745	0.359732	0.388000	0.377145	
739	0.349120	129	0.147287	132	0.810606	2.526911	739	0.349120	0.384000	0.377223	
762	0.359580	106	0.150943	132	0.780303	2.526911	762	0.359580	0.393000	0.377400	
743	0.355316	114	0.105263	143	0.776224	2.526911	743	0.355316	0.387000	0.377507	
709	0.354020	133	0.172932	158	0.784810	2.526911	709	0.354020	0.398000	0.377732	
735	0.342857	128	0.148438	137	0.781022	2.526911	735	0.342857	0.378000	0.377735	
720	0.297222	130	0.176923	150	0.726667	2.526911	720	0.297222	0.346000	0.377394	
750	0.326667	116	0.120690	134	0.835821	2.526911	750	0.326667	0.371000	0.377326	
734	0.279292	117	0.179487	149	0.758389	2.526911	734	0.279292	0.339000	0.376922	
760	0.203947	102	0.078431	138	0.826087	2.526911	760	0.203947	0.277000	0.375882	
737	0.267300	118	0.084746	145	0.800000	2.526911	737	0.267300	0.323000	0.375336	
758	0.200528	116	0.129310	126	0.849206	2.526911	758	0.200528	0.274000	0.374302	
746	0.184987	98	0.122449	156	0.737179	2.526911	746	0.184987	0.265000	0.373198	
721	0.223301	125	0.112000	154	0.811688	2.400794	721	0.223301	0.300000	0.372466	
730	0.252055	124	0.056452	146	0.815068	2.400794	730	0.252055	0.310000	0.371848	
