Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/austronesian-iroquois-matri.anvunclocalresidence.bttrees
Data File Name:                  ./data/austronesian-iroquois-matri.anvunclocalresidence.btdata
Log File Name:                   ./output/austronesian-iroquois-matri.anvunclocalresidence-indep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3695507724
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-iroquois-matri.anvunclocalresidence-indep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.595238,0.238095,0.142857,0.023810)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000085
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       84
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-82.051580	878	1	0	'0 0 0 0 	1.568737	1.568737	1.568737	1.568737	0.938139	0.044336	0.017186	0.000338	
12000	-81.250730	507	1	0	'0 0 0 0 	1.392842	1.392842	1.392842	1.392842	0.964563	0.024363	0.010959	0.000115	
13000	-81.136741	899	1	0	'0 0 0 0 	1.194198	1.194198	1.194198	1.194198	0.984225	0.011068	0.004685	0.000022	
14000	-82.977831	215	1	0	'0 0 0 0 	0.932481	0.932481	0.932481	0.932481	0.992585	0.006731	0.000682	0.000002	
15000	-82.576432	51	1	0	'0 0 0 0 	1.671665	1.671665	1.671665	1.671665	0.977905	0.017141	0.004919	0.000036	
16000	-81.424690	783	1	0	'0 0 0 0 	1.257113	1.257113	1.257113	1.257113	0.985979	0.011911	0.002100	0.000011	
17000	-82.464449	112	1	0	'0 0 0 0 	1.453903	1.453903	1.453903	1.453903	0.983252	0.013750	0.002981	0.000017	
18000	-79.486824	202	2	0	'1 0 1 0 	1.714320	8.255233	1.714320	8.255233	0.475937	0.333902	0.147146	0.043014	
19000	-81.587067	947	1	0	'0 0 0 0 	1.215935	1.215935	1.215935	1.215935	0.987488	0.009364	0.003135	0.000012	
20000	-83.487731	896	1	0	'0 0 0 0 	1.777958	1.777958	1.777958	1.777958	0.975257	0.019645	0.005056	0.000042	
