Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.permitted.bttrees
Data File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.permitted.btdata
Log File Name:                   ./output/bantu-iroquois-cross.cousinmarriage.permitted-indep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2289368175
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-iroquois-cross.cousinmarriage.permitted-indep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.348485,0.015152,0.500000,0.136364)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       66
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-72.875260	438	1	0	'0 0 0 0 	1.665006	1.665006	1.665006	1.665006	0.440851	0.006258	0.507683	0.045208	
12000	-72.184924	780	1	0	'0 0 0 0 	1.029372	1.029372	1.029372	1.029372	0.640267	0.003450	0.344637	0.011647	
13000	-74.377094	402	1	0	'0 0 0 0 	2.298841	2.298841	2.298841	2.298841	0.364011	0.008781	0.544778	0.082430	
14000	-73.312547	432	1	0	'0 0 0 0 	1.248982	1.248982	1.248982	1.248982	0.455928	0.005089	0.503712	0.035270	
15000	-71.557538	773	1	0	'0 0 0 0 	1.591637	1.591637	1.591637	1.591637	0.480760	0.005660	0.478264	0.035317	
16000	-74.676155	544	1	0	'0 0 0 0 	1.571691	1.571691	1.571691	1.571691	0.466741	0.006893	0.481738	0.044628	
17000	-71.338287	499	1	0	'0 0 0 0 	1.532305	1.532305	1.532305	1.532305	0.464270	0.006255	0.488216	0.041259	
18000	-70.961576	403	1	0	'0 0 0 0 	1.103457	1.103457	1.103457	1.103457	0.622522	0.004746	0.355721	0.017011	
19000	-73.107473	855	1	0	'0 0 0 0 	1.520062	1.520062	1.520062	1.520062	0.422490	0.004850	0.534197	0.038464	
20000	-72.087964	478	1	0	'0 0 0 0 	1.864688	1.864688	1.864688	1.864688	0.398697	0.006367	0.540765	0.054171	
