Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
747	0.310576	107	0.000000	146	0.650685	3.183445	747	0.310576	0.327000	0.285701	
750	0.273333	126	0.000000	124	0.637097	3.183445	750	0.273333	0.284000	0.285560	
737	0.244233	117	0.000000	146	0.726027	3.183445	737	0.244233	0.286000	0.285593	
737	0.302578	111	0.018018	152	0.631579	3.183445	737	0.302578	0.321000	0.288122	
768	0.225260	95	0.021053	137	0.583942	3.183445	768	0.225260	0.255000	0.285914	
739	0.271989	105	0.000000	156	0.666667	3.183445	739	0.271989	0.305000	0.287107	
753	0.278884	105	0.000000	142	0.647887	3.183445	753	0.278884	0.302000	0.287983	
730	0.194521	116	0.008621	154	0.733766	3.183445	730	0.194521	0.256000	0.286206	
742	0.380054	107	0.009346	151	0.596026	2.180207	742	0.380054	0.373000	0.290774	
730	0.352055	108	0.018519	162	0.567901	2.180207	730	0.352055	0.351000	0.293785	
746	0.379357	106	0.000000	148	0.702703	2.180207	746	0.379357	0.387000	0.298224	
738	0.349593	109	0.000000	153	0.627451	2.180207	738	0.349593	0.354000	0.300759	
759	0.361001	97	0.000000	144	0.527778	2.180207	759	0.361001	0.350000	0.302900	
727	0.356259	119	0.016807	154	0.655844	2.180207	727	0.356259	0.362000	0.305362	
744	0.369624	106	0.000000	150	0.620000	2.180207	744	0.369624	0.368000	0.307868	
739	0.397835	111	0.000000	150	0.720000	2.180207	739	0.397835	0.402000	0.311488	
726	0.344353	109	0.000000	165	0.733333	2.180207	726	0.344353	0.371000	0.313692	
752	0.394947	113	0.017699	135	0.674074	2.180207	752	0.394947	0.390000	0.316417	
743	0.356662	105	0.000000	152	0.631579	2.180207	743	0.356662	0.361000	0.317955	
769	0.386216	96	0.000000	135	0.711111	2.180207	769	0.386216	0.393000	0.320456	
742	0.363881	127	0.000000	131	0.717557	2.180207	742	0.363881	0.364000	0.321861	
729	0.384088	111	0.018018	160	0.693750	2.180207	729	0.384088	0.393000	0.324084	
758	0.332454	96	0.000000	146	0.657534	2.180207	758	0.332454	0.348000	0.324808	
760	0.390789	100	0.000000	140	0.578571	2.180207	760	0.390789	0.378000	0.326373	
744	0.375000	104	0.000000	152	0.671053	2.180207	744	0.375000	0.381000	0.327933	
722	0.346260	113	0.000000	165	0.630303	2.180207	722	0.346260	0.354000	0.328658	
730	0.384932	116	0.000000	154	0.616883	2.180207	730	0.384932	0.376000	0.329937	
744	0.389785	109	0.000000	147	0.687075	2.180207	744	0.389785	0.391000	0.331544	
762	0.408136	114	0.017544	124	0.685484	2.180207	762	0.408136	0.398000	0.333248	
736	0.309783	108	0.000000	156	0.653846	2.719072	736	0.309783	0.330000	0.333167	
727	0.313618	120	0.000000	153	0.594771	2.719072	727	0.313618	0.319000	0.332821	
726	0.314050	118	0.016949	156	0.705128	2.719072	726	0.314050	0.340000	0.332992	
720	0.320833	123	0.016260	157	0.675159	2.719072	720	0.320833	0.339000	0.333132	
733	0.287858	134	0.014925	133	0.699248	2.719072	733	0.287858	0.306000	0.332515	
735	0.307483	128	0.031250	137	0.693431	2.719072	735	0.307483	0.325000	0.332348	
744	0.302419	107	0.018692	149	0.738255	2.719072	744	0.302419	0.337000	0.332449	
711	0.295359	119	0.000000	170	0.623529	2.719072	711	0.295359	0.316000	0.332099	
733	0.291951	103	0.000000	164	0.658537	2.719072	733	0.291951	0.322000	0.331889	
719	0.333797	109	0.000000	172	0.511628	2.719072	719	0.333797	0.328000	0.331810	
666	0.286787	131	0.045802	203	0.650246	2.719072	666	0.286787	0.329000	0.331753	
