Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.814270	-0.814270
1	0.950747	750	-0.772673	-1.586943
2	0.926679	750	-0.768130	-2.355073
3	0.902980	750	-0.770987	-3.126060
4	0.879648	750	-0.763956	-3.890016
5	0.856682	750	-0.761882	-4.651899
6	0.834079	750	-0.756297	-5.408196
7	0.811838	750	-0.717528	-6.125724
8	0.789957	750	-0.718170	-6.843894
9	0.768433	750	-0.693621	-7.537515
10	0.747266	750	-0.719065	-8.256580
11	0.726452	750	-0.690958	-8.947538
12	0.705989	750	-0.675172	-9.622710
13	0.685877	750	-0.660421	-10.283131
14	0.666112	750	-0.649518	-10.932649
15	0.646693	750	-0.655256	-11.587905
16	0.627618	750	-0.627348	-12.215253
17	0.608884	750	-0.618241	-12.833494
18	0.590490	750	-0.621373	-13.454867
19	0.572433	750	-0.621522	-14.076389
20	0.554712	750	-0.600526	-14.676915
21	0.537324	750	-0.597911	-15.274826
22	0.520268	750	-0.581943	-15.856769
23	0.503540	750	-0.575986	-16.432755
24	0.487139	750	-0.561380	-16.994135
25	0.471063	750	-0.548126	-17.542261
26	0.455310	750	-0.536202	-18.078463
27	0.439877	750	-0.528586	-18.607049
28	0.424762	750	-0.528743	-19.135792
29	0.409963	750	-0.528341	-19.664133
30	0.395478	750	-0.512828	-20.176961
31	0.381305	750	-0.506252	-20.683213
32	0.367440	750	-0.494874	-21.178087
33	0.353883	750	-0.466773	-21.644860
34	0.340630	750	-0.467349	-22.112209
35	0.327680	750	-0.460523	-22.572732
36	0.315030	750	-0.445674	-23.018406
37	0.302677	750	-0.425969	-23.444374
38	0.290619	750	-0.433721	-23.878095
39	0.278855	750	-0.432727	-24.310822
40	0.267381	750	-0.429332	-24.740154
41	0.256195	750	-0.415807	-25.155961
42	0.245294	750	-0.403689	-25.559650
43	0.234677	750	-0.408583	-25.968234
44	0.224340	750	-0.389252	-26.357486
45	0.214281	750	-0.372659	-26.730145
46	0.204498	750	-0.365291	-27.095436
47	0.194988	750	-0.352155	-27.447590
48	0.185749	750	-0.360952	-27.808543
49	0.176777	750	-0.340483	-28.149026
50	0.168070	750	-0.325716	-28.474743
51	0.159626	750	-0.346009	-28.820751
52	0.151441	750	-0.328296	-29.149047
53	0.143514	750	-0.304911	-29.453958
54	0.135841	750	-0.299368	-29.753326
55	0.128420	750	-0.308201	-30.061527
56	0.121247	750	-0.278400	-30.339927
57	0.114320	750	-0.287692	-30.627619
58	0.107637	750	-0.270443	-30.898062
59	0.101193	750	-0.262528	-31.160591
60	0.094986	750	-0.251145	-31.411735
61	0.089014	750	-0.259608	-31.671344
62	0.083273	750	-0.243803	-31.915147
63	0.077760	750	-0.232977	-32.148123
64	0.072472	750	-0.224363	-32.372486
65	0.067406	750	-0.225466	-32.597951
66	0.062558	750	-0.202987	-32.800939
67	0.057926	750	-0.196413	-32.997351
68	0.053506	750	-0.184737	-33.182088
69	0.049295	750	-0.188095	-33.370183
70	0.045289	750	-0.176362	-33.546545
71	0.041485	750	-0.176492	-33.723036
72	0.037880	750	-0.159439	-33.882475
73	0.034469	750	-0.147366	-34.029841
74	0.031250	750	-0.145343	-34.175184
75	0.028218	750	-0.144434	-34.319618
76	0.025370	750	-0.127725	-34.447343
77	0.022702	750	-0.119724	-34.567067
78	0.020209	750	-0.109895	-34.676962
79	0.017889	750	-0.101321	-34.778284
80	0.015736	750	-0.102207	-34.880490
81	0.013746	750	-0.092459	-34.972949
82	0.011916	750	-0.085128	-35.058077
83	0.010240	750	-0.071246	-35.129323
84	0.008714	750	-0.072715	-35.202038
85	0.007334	750	-0.064303	-35.266341
86	0.006093	750	-0.061947	-35.328288
87	0.004988	750	-0.054126	-35.382414
88	0.004013	750	-0.049824	-35.432238
89	0.003162	750	-0.037236	-35.469474
90	0.002430	750	-0.037402	-35.506876
91	0.001810	750	-0.030356	-35.537232
92	0.001296	750	-0.026560	-35.563792
93	0.000882	750	-0.020800	-35.584592
94	0.000559	750	-0.016018	-35.600609
95	0.000320	750	-0.011809	-35.612418
96	0.000156	750	-0.007669	-35.620087
97	0.000057	750	-0.004903	-35.624990
98	0.000010	750	-0.002272	-35.627262
99	0.000000	750	-0.000478	-35.627741
Log marginal likelihood:	-35.627741
