Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/uto-hawaiian-bi.linealdescent.bttrees
Data File Name:                  ./data/uto-hawaiian-bi.linealdescent.btdata
Log File Name:                   ./output/uto-hawaiian-bi.linealdescent-indep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2854257340
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/uto-hawaiian-bi.linealdescent-indep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.304348,0.000000,0.652174,0.043478)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.127349
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       23
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-14.000474	674	1	0	'0 0 0 0 	15.344634	15.344634	15.344634	15.344634	0.015802	0.000000	0.984176	0.000022	
12000	-13.946809	360	1	0	'0 0 0 0 	16.680837	16.680837	16.680837	16.680837	0.003688	0.000000	0.996287	0.000025	
13000	-13.880985	109	1	0	'0 0 0 0 	23.956700	23.956700	23.956700	23.956700	0.015462	0.000000	0.984477	0.000061	
14000	-13.806117	813	1	0	'0 0 0 0 	46.662027	46.662027	46.662027	46.662027	0.064133	0.000000	0.935501	0.000367	
15000	-14.016388	996	1	0	'0 0 0 0 	17.817770	17.817770	17.817770	17.817770	0.012267	0.000000	0.987713	0.000019	
16000	-14.828489	918	1	0	'0 0 0 0 	15.028095	15.028095	15.028095	15.028095	0.031782	0.000000	0.968171	0.000047	
17000	-13.813609	878	1	0	'0 0 0 0 	14.730031	14.730031	14.730031	14.730031	0.000253	0.000000	0.999726	0.000021	
18000	-13.641246	192	1	0	'0 0 0 0 	24.246202	24.246202	24.246202	24.246202	0.016241	0.000000	0.983717	0.000041	
19000	-13.350322	43	1	0	'0 0 0 0 	18.972066	18.972066	18.972066	18.972066	0.014826	0.000000	0.985122	0.000051	
20000	-13.723989	554	1	0	'0 0 0 0 	18.969885	18.969885	18.969885	18.969885	0.028943	0.000000	0.971045	0.000011	
21000	-13.931965	180	1	0	'0 0 0 0 	21.963681	21.963681	21.963681	21.963681	0.005560	0.000000	0.994382	0.000058	
22000	-14.310165	791	1	0	'0 0 0 0 	15.531422	15.531422	15.531422	15.531422	0.009259	0.000000	0.990727	0.000014	
23000	-13.617753	689	1	0	'0 0 0 0 	26.260335	26.260335	26.260335	26.260335	0.001688	0.000000	0.998298	0.000015	
24000	-12.988513	945	1	0	'0 0 0 0 	27.716094	27.716094	27.716094	27.716094	0.000511	0.000000	0.999425	0.000064	
25000	-13.485382	761	1	0	'0 0 0 0 	34.324047	34.324047	34.324047	34.324047	0.051065	0.000000	0.948859	0.000076	
26000	-13.694903	834	1	0	'0 0 0 0 	25.485674	25.485674	25.485674	25.485674	0.045727	0.000000	0.954201	0.000071	
27000	-13.057133	423	1	0	'0 0 0 0 	21.924252	21.924252	21.924252	21.924252	0.035090	0.000000	0.964861	0.000049	
28000	-13.863556	702	1	0	'0 0 0 0 	22.791250	22.791250	22.791250	22.791250	0.027022	0.000000	0.972926	0.000052	
29000	-14.814120	26	1	0	'0 0 0 0 	9.032327	9.032327	9.032327	9.032327	0.007779	0.000000	0.992202	0.000019	
30000	-15.077201	53	1	0	'0 0 0 0 	14.041502	14.041502	14.041502	14.041502	0.016998	0.000000	0.982958	0.000044	
31000	-13.748855	676	1	0	'0 0 0 0 	14.988789	14.988789	14.988789	14.988789	0.039175	0.000000	0.960781	0.000043	
32000	-14.575222	838	1	0	'0 0 0 0 	17.945702	17.945702	17.945702	17.945702	0.007016	0.000000	0.992807	0.000177	
33000	-13.646246	276	1	0	'0 0 0 0 	27.592601	27.592601	27.592601	27.592601	0.016397	0.000000	0.983388	0.000215	
34000	-13.961967	949	1	0	'0 0 0 0 	15.882919	15.882919	15.882919	15.882919	0.006343	0.000000	0.993633	0.000024	
35000	-13.463467	84	1	0	'0 0 0 0 	31.144965	31.144965	31.144965	31.144965	0.008388	0.000000	0.991438	0.000174	
36000	-14.305792	493	1	0	'0 0 0 0 	11.648193	11.648193	11.648193	11.648193	0.009601	0.000000	0.990377	0.000023	
37000	-15.069062	516	1	0	'0 0 0 0 	10.338954	10.338954	10.338954	10.338954	0.004846	0.000000	0.995143	0.000011	
38000	-14.850188	971	2	0	'1 0 0 1 	13.234669	13.589640	13.589640	13.234669	0.023351	0.000000	0.976624	0.000026	
39000	-14.000913	792	1	0	'0 0 0 0 	33.350689	33.350689	33.350689	33.350689	0.028101	0.000000	0.971699	0.000200	
40000	-12.739693	362	2	0	'1 0 0 1 	0.993153	25.075751	25.075751	0.993153	0.000012	0.000000	0.999988	0.000000	
41000	-14.836319	324	1	0	'0 0 0 0 	11.238612	11.238612	11.238612	11.238612	0.005562	0.000000	0.994429	0.000009	
42000	-15.690736	901	1	0	'0 0 0 0 	6.994860	6.994860	6.994860	6.994860	0.008594	0.000000	0.991391	0.000015	
43000	-13.162621	14	1	0	'0 0 0 0 	24.047141	24.047141	24.047141	24.047141	0.030363	0.000000	0.969546	0.000090	
