Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/uto-hawaiian-bi.localextendedfamily.bttrees
Data File Name:                  ./data/uto-hawaiian-bi.localextendedfamily.btdata
Log File Name:                   ./output/uto-hawaiian-bi.localextendedfamily-indep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1306395389
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/uto-hawaiian-bi.localextendedfamily-indep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.181818,0.136364,0.454545,0.227273)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.121603
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-29.097328	448	1	0	'0 0 0 0 	65.716912	65.716912	65.716912	65.716912	0.044039	0.015807	0.758629	0.181525	
12000	-30.302074	827	1	0	'0 0 0 0 	44.858624	44.858624	44.858624	44.858624	0.005088	0.002870	0.720967	0.271075	
13000	-27.610678	861	1	0	'0 0 0 0 	79.321206	79.321206	79.321206	79.321206	0.015054	0.010384	0.667582	0.306980	
14000	-30.054133	546	1	0	'0 0 0 0 	46.718205	46.718205	46.718205	46.718205	0.020889	0.007725	0.779275	0.192111	
15000	-28.762101	529	1	0	'0 0 0 0 	58.865942	58.865942	58.865942	58.865942	0.009417	0.005658	0.703235	0.281690	
16000	-27.532924	510	1	0	'0 0 0 0 	60.270373	60.270373	60.270373	60.270373	0.058351	0.014462	0.795716	0.131471	
17000	-31.654878	748	1	0	'0 0 0 0 	30.828993	30.828993	30.828993	30.828993	0.056375	0.011956	0.816265	0.115405	
18000	-27.591061	117	1	0	'0 0 0 0 	79.008916	79.008916	79.008916	79.008916	0.028112	0.014148	0.717123	0.240617	
19000	-27.534350	28	1	0	'0 0 0 0 	58.666926	58.666926	58.666926	58.666926	0.040274	0.020138	0.704687	0.234901	
20000	-30.851357	213	1	0	'0 0 0 0 	33.880766	33.880766	33.880766	33.880766	0.025460	0.007368	0.810747	0.156425	
21000	-29.168107	913	1	0	'0 0 0 0 	50.863939	50.863939	50.863939	50.863939	0.023421	0.004727	0.856589	0.115262	
22000	-29.767855	218	1	0	'0 0 0 0 	38.267717	38.267717	38.267717	38.267717	0.023175	0.003733	0.878737	0.094356	
23000	-26.358382	134	1	0	'0 0 0 0 	59.605544	59.605544	59.605544	59.605544	0.045820	0.008840	0.837604	0.107736	
24000	-28.722318	964	1	0	'0 0 0 0 	50.894785	50.894785	50.894785	50.894785	0.039246	0.011503	0.794086	0.155164	
25000	-28.650393	655	1	0	'0 0 0 0 	63.529749	63.529749	63.529749	63.529749	0.019191	0.009227	0.735743	0.235839	
26000	-31.664428	45	1	0	'0 0 0 0 	31.998408	31.998408	31.998408	31.998408	0.006656	0.002109	0.818400	0.172835	
27000	-28.218366	59	1	0	'0 0 0 0 	73.122301	73.122301	73.122301	73.122301	0.022059	0.005180	0.841085	0.131676	
28000	-27.885468	110	1	0	'0 0 0 0 	59.003786	59.003786	59.003786	59.003786	0.051780	0.017721	0.757643	0.172857	
29000	-27.693328	311	1	0	'0 0 0 0 	56.384273	56.384273	56.384273	56.384273	0.033507	0.035180	0.547850	0.383463	
30000	-27.916578	850	1	0	'0 0 0 0 	58.004420	58.004420	58.004420	58.004420	0.075330	0.044322	0.632321	0.248027	
