Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
827	0.274486	173	0.734104	1.444073	827	0.274486	0.354000	0.367998	
820	0.271951	180	0.838889	1.444073	820	0.271951	0.374000	0.367998	
845	0.294675	155	0.819355	1.444073	845	0.294675	0.376000	0.367998	
836	0.295455	164	0.786585	1.444073	836	0.295455	0.376000	0.367998	
842	0.304038	158	0.816456	1.444073	842	0.304038	0.385000	0.367998	
824	0.293689	176	0.727273	1.444073	824	0.293689	0.370000	0.367998	
816	0.311275	184	0.782609	1.444073	816	0.311275	0.398000	0.367999	
818	0.320293	182	0.769231	1.444073	818	0.320293	0.402000	0.367999	
827	0.264813	173	0.780347	1.444073	827	0.264813	0.354000	0.367999	
844	0.280806	156	0.743590	1.444073	844	0.280806	0.353000	0.367999	
845	0.279290	155	0.780645	1.444073	845	0.279290	0.357000	0.367999	
830	0.293976	170	0.747059	1.444073	830	0.293976	0.371000	0.367999	
828	0.315217	172	0.767442	1.444073	828	0.315217	0.393000	0.367999	
828	0.309179	172	0.726744	1.444073	828	0.309179	0.381000	0.368000	
834	0.305755	166	0.771084	1.444073	834	0.305755	0.383000	0.368000	
806	0.248139	194	0.809278	1.444073	806	0.248139	0.357000	0.368000	
808	0.273515	192	0.786458	1.444073	808	0.273515	0.372000	0.368000	
805	0.250932	195	0.815385	1.444073	805	0.250932	0.361000	0.368000	
823	0.300122	177	0.807910	1.444073	823	0.300122	0.390000	0.368000	
822	0.251825	178	0.814607	1.444073	822	0.251825	0.352000	0.368000	
844	0.311611	156	0.788462	1.444073	844	0.311611	0.386000	0.368000	
818	0.293399	182	0.780220	1.444073	818	0.293399	0.382000	0.368000	
829	0.296743	171	0.836257	1.444073	829	0.296743	0.389000	0.368001	
821	0.266748	179	0.843575	1.444073	821	0.266748	0.370000	0.368001	
828	0.282609	172	0.802326	1.444073	828	0.282609	0.372000	0.368001	
819	0.264957	181	0.762431	1.444073	819	0.264957	0.355000	0.368000	
819	0.296703	181	0.790055	1.444073	819	0.296703	0.386000	0.368001	
826	0.292978	174	0.798851	1.444073	826	0.292978	0.381000	0.368001	
812	0.284483	188	0.744681	1.444073	812	0.284483	0.371000	0.368001	
830	0.309639	170	0.835294	1.444073	830	0.309639	0.399000	0.368002	
842	0.275534	158	0.835443	1.444073	842	0.275534	0.364000	0.368002	
830	0.290361	170	0.817647	1.444073	830	0.290361	0.380000	0.368002	
800	0.287500	200	0.735000	1.444073	800	0.287500	0.377000	0.368002	
820	0.281707	180	0.827778	1.444073	820	0.281707	0.380000	0.368002	
824	0.297330	176	0.755682	1.444073	824	0.297330	0.378000	0.368002	
843	0.287070	157	0.834395	1.444073	843	0.287070	0.373000	0.368002	
834	0.305755	166	0.789157	1.444073	834	0.305755	0.386000	0.368003	
839	0.301549	161	0.732919	1.444073	839	0.301549	0.371000	0.368003	
843	0.309609	157	0.859873	1.444073	843	0.309609	0.396000	0.368003	
845	0.318343	155	0.670968	1.444073	845	0.318343	0.373000	0.368003	
839	0.270560	161	0.813665	1.444073	839	0.270560	0.358000	0.368003	
823	0.283111	177	0.768362	1.444073	823	0.283111	0.369000	0.368003	
832	0.287260	168	0.767857	1.444073	832	0.287260	0.368000	0.368003	
820	0.304878	180	0.672222	1.444073	820	0.304878	0.371000	0.368003	
818	0.323961	182	0.802198	1.444073	818	0.323961	0.411000	0.368004	
811	0.271270	189	0.830688	1.444073	811	0.271270	0.377000	0.368004	
819	0.311355	181	0.696133	1.444073	819	0.311355	0.381000	0.368004	
815	0.292025	185	0.735135	1.444073	815	0.292025	0.374000	0.368005	
836	0.305024	164	0.792683	1.444073	836	0.305024	0.385000	0.368005	
831	0.314079	169	0.828402	1.444073	831	0.314079	0.401000	0.368006	
