Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.099042	-2.099042
1	0.950747	750	-2.057513	-4.156555
2	0.926679	750	-2.036313	-6.192868
3	0.902980	750	-2.086195	-8.279063
4	0.879648	750	-1.987309	-10.266373
5	0.856682	750	-2.011714	-12.278087
6	0.834079	750	-1.977031	-14.255118
7	0.811838	750	-1.924812	-16.179930
8	0.789957	750	-1.890521	-18.070451
9	0.768433	750	-1.863323	-19.933774
10	0.747266	750	-1.881423	-21.815198
11	0.726452	750	-1.805642	-23.620840
12	0.705989	750	-1.831761	-25.452601
13	0.685877	750	-1.787216	-27.239817
14	0.666112	750	-1.722647	-28.962465
15	0.646693	750	-1.724742	-30.687207
16	0.627618	750	-1.676812	-32.364019
17	0.608884	750	-1.663935	-34.027954
18	0.590490	750	-1.626742	-35.654696
19	0.572433	750	-1.583617	-37.238313
20	0.554712	750	-1.559928	-38.798241
21	0.537324	750	-1.551347	-40.349588
22	0.520268	750	-1.499703	-41.849291
23	0.503540	750	-1.495713	-43.345004
24	0.487139	750	-1.485148	-44.830152
25	0.471063	750	-1.430858	-46.261010
26	0.455310	750	-1.388089	-47.649100
27	0.439877	750	-1.401202	-49.050302
28	0.424762	750	-1.362891	-50.413193
29	0.409963	750	-1.340093	-51.753286
30	0.395478	750	-1.309942	-53.063227
31	0.381305	750	-1.295481	-54.358708
32	0.367440	750	-1.272402	-55.631110
33	0.353883	750	-1.234872	-56.865982
34	0.340630	750	-1.216054	-58.082036
35	0.327680	750	-1.184811	-59.266847
36	0.315030	750	-1.189037	-60.455884
37	0.302677	750	-1.124087	-61.579972
38	0.290619	750	-1.106355	-62.686327
39	0.278855	750	-1.077128	-63.763455
40	0.267381	750	-1.058435	-64.821890
41	0.256195	750	-1.046540	-65.868430
42	0.245294	750	-0.995051	-66.863481
43	0.234677	750	-1.004744	-67.868225
44	0.224340	750	-0.971322	-68.839547
45	0.214281	750	-0.955316	-69.794863
46	0.204498	750	-0.946634	-70.741496
47	0.194988	750	-0.915635	-71.657131
48	0.185749	750	-0.874070	-72.531201
49	0.176777	750	-0.834269	-73.365470
50	0.168070	750	-0.841154	-74.206625
51	0.159626	750	-0.821446	-75.028070
52	0.151441	750	-0.792368	-75.820439
53	0.143514	750	-0.794056	-76.614495
54	0.135841	750	-0.750276	-77.364771
55	0.128420	750	-0.730561	-78.095332
56	0.121247	750	-0.716135	-78.811467
57	0.114320	750	-0.694862	-79.506329
58	0.107637	750	-0.647785	-80.154114
59	0.101193	750	-0.646242	-80.800356
60	0.094986	750	-0.637936	-81.438292
61	0.089014	750	-0.596563	-82.034855
62	0.083273	750	-0.575658	-82.610513
63	0.077760	750	-0.553915	-83.164428
64	0.072472	750	-0.548702	-83.713131
65	0.067406	750	-0.522116	-84.235247
66	0.062558	750	-0.522247	-84.757494
67	0.057926	750	-0.494312	-85.251806
68	0.053506	750	-0.465844	-85.717649
69	0.049295	750	-0.472009	-86.189658
70	0.045289	750	-0.458318	-86.647976
71	0.041485	750	-0.417112	-87.065088
72	0.037880	750	-0.409742	-87.474830
73	0.034469	750	-0.386363	-87.861193
74	0.031250	750	-0.353646	-88.214839
75	0.028218	750	-0.355387	-88.570226
76	0.025370	750	-0.352873	-88.923099
77	0.022702	750	-0.320091	-89.243190
78	0.020209	750	-0.300619	-89.543809
79	0.017889	750	-0.271055	-89.814863
80	0.015736	750	-0.281983	-90.096847
81	0.013746	750	-0.240917	-90.337764
82	0.011916	750	-0.206482	-90.544246
83	0.010240	750	-0.205821	-90.750067
84	0.008714	750	-0.184676	-90.934742
85	0.007334	750	-0.175421	-91.110163
86	0.006093	750	-0.154890	-91.265053
87	0.004988	750	-0.149144	-91.414197
88	0.004013	750	-0.124329	-91.538526
89	0.003162	750	-0.115091	-91.653617
90	0.002430	750	-0.092738	-91.746355
91	0.001810	750	-0.075059	-91.821414
92	0.001296	750	-0.070365	-91.891780
93	0.000882	750	-0.054868	-91.946648
94	0.000559	750	-0.041129	-91.987777
95	0.000320	750	-0.033424	-92.021201
96	0.000156	750	-0.020171	-92.041372
97	0.000057	750	-0.013686	-92.055058
98	0.000010	750	-0.005898	-92.060955
99	0.000000	750	-0.001320	-92.062275
Log marginal likelihood:	-92.062275
