Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
821	0.269184	179	0.849162	1.602990	821	0.269184	0.373000	0.341484	
830	0.302410	170	0.735294	1.602990	830	0.302410	0.376000	0.342147	
850	0.329412	150	0.813333	1.602990	850	0.329412	0.402000	0.343277	
842	0.304038	158	0.784810	1.602990	842	0.304038	0.380000	0.343957	
810	0.283951	190	0.763158	1.602990	810	0.283951	0.375000	0.344521	
811	0.267571	189	0.814815	1.602990	811	0.267571	0.371000	0.344994	
810	0.287654	190	0.710526	1.602990	810	0.287654	0.368000	0.345397	
831	0.255114	169	0.804734	1.602990	831	0.255114	0.348000	0.345442	
835	0.292216	165	0.757576	1.602990	835	0.292216	0.369000	0.345842	
809	0.301607	191	0.769634	1.602990	809	0.301607	0.391000	0.346594	
808	0.300743	192	0.734375	1.602990	808	0.300743	0.384000	0.347207	
810	0.300000	190	0.836842	1.602990	810	0.300000	0.402000	0.348091	
832	0.253606	168	0.809524	1.602990	832	0.253606	0.347000	0.348074	
799	0.276596	201	0.830846	1.602990	799	0.276596	0.388000	0.348698	
814	0.293612	186	0.774194	1.602990	814	0.293612	0.383000	0.349225	
843	0.297746	157	0.694268	1.602990	843	0.297746	0.360000	0.349389	
827	0.276904	173	0.757225	1.602990	827	0.276904	0.360000	0.349547	
844	0.274882	156	0.679487	1.602990	844	0.274882	0.338000	0.349377	
805	0.264596	195	0.800000	1.602990	805	0.264596	0.369000	0.349662	
825	0.272727	175	0.822857	1.602990	825	0.272727	0.369000	0.349938	
816	0.294118	184	0.788043	1.602990	816	0.294118	0.385000	0.350432	
832	0.265625	168	0.750000	1.602990	832	0.265625	0.347000	0.350384	
831	0.264741	169	0.786982	1.602990	831	0.264741	0.353000	0.350420	
830	0.261446	170	0.776471	1.602990	830	0.261446	0.349000	0.350401	
838	0.297136	162	0.796296	1.602990	838	0.297136	0.378000	0.350769	
839	0.261025	161	0.770186	1.602990	839	0.261025	0.343000	0.350666	
846	0.296690	154	0.772727	1.602990	846	0.296690	0.370000	0.350918	
831	0.256318	169	0.698225	1.602990	831	0.256318	0.331000	0.350662	
808	0.288366	192	0.708333	1.602990	808	0.288366	0.369000	0.350894	
832	0.314904	168	0.767857	1.602990	832	0.314904	0.391000	0.351396	
843	0.315540	157	0.777070	1.602990	843	0.315540	0.388000	0.351848	
810	0.277778	190	0.789474	1.602990	810	0.277778	0.375000	0.352130	
846	0.269504	154	0.727273	1.602990	846	0.269504	0.340000	0.351984	
832	0.301683	168	0.720238	1.602990	832	0.301683	0.372000	0.352222	
805	0.275776	195	0.825641	1.602990	805	0.275776	0.383000	0.352584	
834	0.286571	166	0.801205	1.602990	834	0.286571	0.372000	0.352810	
827	0.264813	173	0.710983	1.602990	827	0.264813	0.342000	0.352686	
834	0.286571	166	0.825301	1.602990	834	0.286571	0.376000	0.352951	
820	0.262195	180	0.772222	1.602990	820	0.262195	0.354000	0.352962	
827	0.274486	173	0.791908	1.602990	827	0.274486	0.364000	0.353085	
827	0.276904	173	0.710983	1.602990	827	0.276904	0.352000	0.353073	
805	0.289441	195	0.764103	1.602990	805	0.289441	0.382000	0.353387	
827	0.311971	173	0.624277	1.602990	827	0.311971	0.366000	0.353523	
834	0.274580	166	0.728916	1.602990	834	0.274580	0.350000	0.353486	
816	0.267157	184	0.826087	1.602990	816	0.267157	0.370000	0.353659	
847	0.275089	153	0.653595	1.602990	847	0.275089	0.333000	0.353444	
841	0.297265	159	0.830189	1.602990	841	0.297265	0.382000	0.353739	
830	0.315663	170	0.782353	1.602990	830	0.315663	0.395000	0.354160	
845	0.288757	155	0.825806	1.602990	845	0.288757	0.372000	0.354340	
817	0.243574	183	0.836066	1.602990	817	0.243574	0.352000	0.354316	
823	0.311057	177	0.813559	1.602990	823	0.311057	0.400000	0.354769	
816	0.278186	184	0.771739	1.602990	816	0.278186	0.369000	0.354908	
847	0.273908	153	0.816993	1.602990	847	0.273908	0.357000	0.354929	
828	0.307971	172	0.779070	1.602990	828	0.307971	0.389000	0.355256	
821	0.297199	179	0.715084	1.602990	821	0.297199	0.372000	0.355416	
834	0.300959	166	0.728916	1.602990	834	0.300959	0.372000	0.355572	
848	0.313679	152	0.815789	1.602990	848	0.313679	0.390000	0.355894	
823	0.287971	177	0.768362	1.602990	823	0.287971	0.373000	0.356052	
820	0.309756	180	0.805556	1.602990	820	0.309756	0.399000	0.356446	
832	0.280048	168	0.773810	1.602990	832	0.280048	0.363000	0.356506	
832	0.266827	168	0.851190	1.602990	832	0.266827	0.365000	0.356582	
811	0.304562	189	0.777778	1.602990	811	0.304562	0.394000	0.356916	
805	0.290683	195	0.728205	1.602990	805	0.290683	0.376000	0.357085	
841	0.306778	159	0.723270	1.602990	841	0.306778	0.373000	0.357225	
833	0.306122	167	0.808383	1.602990	833	0.306122	0.390000	0.357510	
848	0.265330	152	0.769737	1.602990	848	0.265330	0.342000	0.357376	
831	0.296029	169	0.757396	1.602990	831	0.296029	0.374000	0.357518	
849	0.305065	151	0.741722	1.602990	849	0.305065	0.371000	0.357633	
822	0.285888	178	0.735955	1.602990	822	0.285888	0.366000	0.357703	
828	0.282609	172	0.796512	1.602990	828	0.282609	0.371000	0.357814	
824	0.274272	176	0.761364	1.602990	824	0.274272	0.360000	0.357832	
828	0.307971	172	0.808140	1.602990	828	0.307971	0.394000	0.358128	
828	0.305556	172	0.825581	1.602990	828	0.305556	0.395000	0.358428	
828	0.288647	172	0.843023	1.602990	828	0.288647	0.384000	0.358634	
818	0.301956	182	0.791209	1.602990	818	0.301956	0.391000	0.358893	
850	0.308235	150	0.726667	1.602990	850	0.308235	0.371000	0.358989	
