Steppingstone sampler:
        No Stones:                  100
        Start It:                   10050001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.635825	-1.635825
1	0.950747	750	-1.604337	-3.240162
2	0.926679	750	-1.565692	-4.805854
3	0.902980	750	-1.558564	-6.364419
4	0.879648	750	-1.561746	-7.926165
5	0.856682	750	-1.544185	-9.470350
6	0.834079	750	-1.506635	-10.976984
7	0.811838	750	-1.483806	-12.460791
8	0.789957	750	-1.449485	-13.910275
9	0.768433	750	-1.449381	-15.359656
10	0.747266	750	-1.411032	-16.770688
11	0.726452	750	-1.375129	-18.145817
12	0.705989	750	-1.374572	-19.520389
13	0.685877	750	-1.362633	-20.883022
14	0.666112	750	-1.335769	-22.218791
15	0.646693	750	-1.293737	-23.512528
16	0.627618	750	-1.296187	-24.808715
17	0.608884	750	-1.264550	-26.073265
18	0.590490	750	-1.271350	-27.344615
19	0.572433	750	-1.227619	-28.572234
20	0.554712	750	-1.185522	-29.757757
21	0.537324	750	-1.180813	-30.938569
22	0.520268	750	-1.146374	-32.084943
23	0.503540	750	-1.138647	-33.223590
24	0.487139	750	-1.134585	-34.358175
25	0.471063	750	-1.109579	-35.467755
26	0.455310	750	-1.078060	-36.545815
27	0.439877	750	-1.060800	-37.606615
28	0.424762	750	-1.043088	-38.649703
29	0.409963	750	-1.021063	-39.670765
30	0.395478	750	-1.014565	-40.685331
31	0.381305	750	-0.978517	-41.663848
32	0.367440	750	-0.963483	-42.627331
33	0.353883	750	-0.942146	-43.569477
34	0.340630	750	-0.921231	-44.490709
35	0.327680	750	-0.908262	-45.398971
36	0.315030	750	-0.891322	-46.290293
37	0.302677	750	-0.862149	-47.152442
38	0.290619	750	-0.855964	-48.008406
39	0.278855	750	-0.848238	-48.856644
40	0.267381	750	-0.817885	-49.674529
41	0.256195	750	-0.811847	-50.486376
42	0.245294	750	-0.778970	-51.265346
43	0.234677	750	-0.760630	-52.025976
44	0.224340	750	-0.749419	-52.775395
45	0.214281	750	-0.727949	-53.503344
46	0.204498	750	-0.714326	-54.217670
47	0.194988	750	-0.707685	-54.925355
48	0.185749	750	-0.660110	-55.585465
49	0.176777	750	-0.652318	-56.237783
50	0.168070	750	-0.644235	-56.882018
51	0.159626	750	-0.637101	-57.519120
52	0.151441	750	-0.598161	-58.117280
53	0.143514	750	-0.605845	-58.723125
54	0.135841	750	-0.575053	-59.298178
55	0.128420	750	-0.561495	-59.859673
56	0.121247	750	-0.553268	-60.412941
57	0.114320	750	-0.545022	-60.957963
58	0.107637	750	-0.517783	-61.475746
59	0.101193	750	-0.503217	-61.978963
60	0.094986	750	-0.480298	-62.459262
61	0.089014	750	-0.476231	-62.935492
62	0.083273	750	-0.451403	-63.386896
63	0.077760	750	-0.448371	-63.835267
64	0.072472	750	-0.423990	-64.259257
65	0.067406	750	-0.412259	-64.671516
66	0.062558	750	-0.398518	-65.070034
67	0.057926	750	-0.385341	-65.455375
68	0.053506	750	-0.363608	-65.818983
69	0.049295	750	-0.350415	-66.169398
70	0.045289	750	-0.354366	-66.523764
71	0.041485	750	-0.329382	-66.853146
72	0.037880	750	-0.327984	-67.181130
73	0.034469	750	-0.312651	-67.493780
74	0.031250	750	-0.292084	-67.785864
75	0.028218	750	-0.265592	-68.051457
76	0.025370	750	-0.264957	-68.316413
77	0.022702	750	-0.257936	-68.574350
78	0.020209	750	-0.250286	-68.824636
79	0.017889	750	-0.217757	-69.042393
80	0.015736	750	-0.223392	-69.265784
81	0.013746	750	-0.213211	-69.478995
82	0.011916	750	-0.198797	-69.677792
83	0.010240	750	-0.177527	-69.855319
84	0.008714	750	-0.155550	-70.010869
85	0.007334	750	-0.151462	-70.162331
86	0.006093	750	-0.148256	-70.310587
87	0.004988	750	-0.119463	-70.430050
88	0.004013	750	-0.113967	-70.544017
89	0.003162	750	-0.099878	-70.643895
90	0.002430	750	-0.079937	-70.723832
91	0.001810	750	-0.077718	-70.801550
92	0.001296	750	-0.056224	-70.857775
93	0.000882	750	-0.046334	-70.904109
94	0.000559	750	-0.037725	-70.941833
95	0.000320	750	-0.030185	-70.972018
96	0.000156	750	-0.020584	-70.992602
97	0.000057	750	-0.011467	-71.004070
98	0.000010	750	-0.005861	-71.009931
99	0.000000	750	-0.001077	-71.011007
Log marginal likelihood:	-71.011007
