Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
844	0.327014	156	0.717949	1.063979	844	0.327014	0.388000	0.285792	
861	0.333333	139	0.712230	1.063979	861	0.333333	0.386000	0.294142	
842	0.361045	158	0.727848	1.063979	842	0.361045	0.419000	0.303746	
840	0.338095	160	0.737500	1.063979	840	0.338095	0.402000	0.310764	
829	0.318456	171	0.725146	1.063979	829	0.318456	0.388000	0.315912	
834	0.329736	166	0.765060	1.063979	834	0.329736	0.402000	0.321292	
842	0.365796	158	0.746835	1.063979	842	0.365796	0.426000	0.327451	
826	0.357143	174	0.758621	1.063979	826	0.357143	0.427000	0.332982	
826	0.343826	174	0.724138	1.063979	826	0.343826	0.410000	0.337035	
807	0.320942	193	0.746114	1.063979	807	0.320942	0.403000	0.340333	
797	0.335006	203	0.665025	1.063979	797	0.335006	0.402000	0.343269	
819	0.343101	181	0.762431	1.063979	819	0.343101	0.419000	0.346712	
819	0.319902	181	0.651934	1.063979	819	0.319902	0.380000	0.348159	
827	0.316808	173	0.768786	1.063979	827	0.316808	0.395000	0.350110	
846	0.365248	154	0.701299	1.063979	846	0.365248	0.417000	0.352786	
796	0.353015	204	0.794118	1.063979	796	0.353015	0.443000	0.356256	
822	0.345499	178	0.792135	1.063979	822	0.345499	0.425000	0.358802	
819	0.312576	181	0.723757	1.063979	819	0.312576	0.387000	0.359809	
827	0.326481	173	0.791908	1.063979	827	0.326481	0.407000	0.361436	
834	0.345324	166	0.777108	1.063979	834	0.345324	0.417000	0.363288	
842	0.301663	158	0.873418	1.063979	842	0.301663	0.392000	0.364214	
821	0.352010	179	0.776536	1.063979	821	0.352010	0.428000	0.366207	
824	0.367718	176	0.687500	1.063979	824	0.367718	0.424000	0.367959	
841	0.340071	159	0.716981	1.063979	841	0.340071	0.400000	0.368901	
834	0.324940	166	0.825301	1.063979	834	0.324940	0.408000	0.370018	
818	0.367971	182	0.719780	1.063979	818	0.367971	0.432000	0.371740	
826	0.328087	174	0.775862	1.063979	826	0.328087	0.406000	0.372666	
852	0.322770	148	0.810811	1.063979	852	0.322770	0.395000	0.373253	
831	0.363418	169	0.739645	1.063979	831	0.363418	0.427000	0.374631	
825	0.312727	175	0.765714	1.063979	825	0.312727	0.392000	0.375066	
839	0.315852	161	0.751553	1.063979	839	0.315852	0.386000	0.375332	
859	0.334109	141	0.808511	1.063979	859	0.334109	0.401000	0.375943	
827	0.357920	173	0.705202	1.063979	827	0.357920	0.418000	0.376921	
822	0.335766	178	0.730337	1.063979	822	0.335766	0.406000	0.377582	
804	0.371891	196	0.806122	1.063979	804	0.371891	0.457000	0.379347	
816	0.330882	184	0.728261	1.063979	816	0.330882	0.404000	0.379883	
825	0.328485	175	0.605714	1.063979	825	0.328485	0.377000	0.379822	
822	0.369830	178	0.662921	1.063979	822	0.369830	0.422000	0.380700	
827	0.350665	173	0.768786	1.063979	827	0.350665	0.423000	0.381564	
831	0.359807	169	0.810651	1.063979	831	0.359807	0.436000	0.382652	
819	0.354090	181	0.685083	1.063979	819	0.354090	0.414000	0.383267	
838	0.373508	162	0.734568	1.063979	838	0.373508	0.432000	0.384204	
815	0.309202	185	0.762162	1.063979	815	0.309202	0.393000	0.384370	
829	0.346200	171	0.754386	1.063979	829	0.346200	0.416000	0.384956	
831	0.336943	169	0.710059	1.063979	831	0.336943	0.400000	0.385229	
843	0.348754	157	0.707006	1.063979	843	0.348754	0.405000	0.385582	
842	0.343230	158	0.784810	1.063979	842	0.343230	0.413000	0.386063	
837	0.309438	163	0.852761	1.063979	837	0.309438	0.398000	0.386269	
840	0.330952	160	0.800000	1.063979	840	0.330952	0.406000	0.386604	
835	0.338922	165	0.830303	1.063979	835	0.338922	0.420000	0.387160	
819	0.356532	181	0.767956	1.063979	819	0.356532	0.431000	0.387879	
808	0.327970	192	0.760417	1.063979	808	0.327970	0.411000	0.388252	
863	0.331402	137	0.722628	1.063979	863	0.331402	0.385000	0.388200	
837	0.335723	163	0.736196	1.063979	837	0.335723	0.401000	0.388400	
