Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
838	0.237470	162	0.802469	1.301946	838	0.237470	0.329000	0.255159	
817	0.208078	183	0.655738	1.301946	817	0.208078	0.290000	0.258062	
822	0.210462	178	0.803371	1.301946	822	0.210462	0.316000	0.262518	
787	0.202033	213	0.769953	1.301946	787	0.202033	0.323000	0.266838	
809	0.218789	191	0.821990	1.301946	809	0.218789	0.334000	0.271315	
808	0.207921	192	0.796875	1.301946	808	0.207921	0.321000	0.274420	
828	0.221014	172	0.750000	1.301946	828	0.221014	0.312000	0.276631	
782	0.216113	218	0.729358	1.301946	782	0.216113	0.328000	0.279484	
819	0.257631	181	0.779006	1.301946	819	0.257631	0.352000	0.283301	
817	0.222766	183	0.797814	1.301946	817	0.222766	0.328000	0.285536	
816	0.218137	184	0.820652	1.301946	816	0.218137	0.329000	0.287605	
809	0.222497	191	0.811518	1.301946	809	0.222497	0.335000	0.289760	
815	0.240491	185	0.827027	1.301946	815	0.240491	0.349000	0.292335	
841	0.210464	159	0.786164	1.301946	841	0.210464	0.302000	0.292738	
831	0.240674	169	0.739645	1.301946	831	0.240674	0.325000	0.294028	
829	0.255730	171	0.801170	1.301946	829	0.255730	0.349000	0.296142	
811	0.235512	189	0.798942	1.301946	811	0.235512	0.342000	0.297841	
814	0.226044	186	0.811828	1.301946	814	0.226044	0.335000	0.299168	
818	0.220049	182	0.824176	1.301946	818	0.220049	0.330000	0.300231	
797	0.207026	203	0.807882	1.301946	797	0.207026	0.329000	0.301190	
827	0.239420	173	0.803468	1.301946	827	0.239420	0.337000	0.302345	
839	0.246722	161	0.763975	1.301946	839	0.246722	0.330000	0.303209	
813	0.221402	187	0.759358	1.301946	813	0.221402	0.322000	0.303779	
828	0.219807	172	0.837209	1.301946	828	0.219807	0.326000	0.304432	
786	0.215013	214	0.831776	1.301946	786	0.215013	0.347000	0.305648	
803	0.221669	197	0.771574	1.301946	803	0.221669	0.330000	0.306325	
811	0.226880	189	0.814815	1.301946	811	0.226880	0.338000	0.307181	
800	0.247500	200	0.800000	1.301946	800	0.247500	0.358000	0.308518	
826	0.232446	174	0.804598	1.301946	826	0.232446	0.332000	0.309120	
811	0.219482	189	0.851852	1.301946	811	0.219482	0.339000	0.309867	
810	0.202469	190	0.863158	1.301946	810	0.202469	0.328000	0.310310	
819	0.228327	181	0.767956	1.301946	819	0.228327	0.326000	0.310683	
835	0.211976	165	0.769697	1.301946	835	0.211976	0.304000	0.310528	
805	0.249689	195	0.825641	1.301946	805	0.249689	0.362000	0.311697	
814	0.259214	186	0.854839	1.301946	814	0.259214	0.370000	0.312993	
826	0.217918	174	0.798851	1.301946	826	0.217918	0.319000	0.313124	
817	0.219094	183	0.759563	1.301946	817	0.219094	0.318000	0.313227	
840	0.290476	160	0.731250	1.301946	840	0.290476	0.361000	0.314223	
796	0.231156	204	0.784314	1.301946	796	0.231156	0.344000	0.314830	
818	0.234719	182	0.763736	1.301946	818	0.234719	0.331000	0.315154	
798	0.209273	202	0.732673	1.301946	798	0.209273	0.315000	0.315151	
805	0.218634	195	0.784615	1.301946	805	0.218634	0.329000	0.315417	
819	0.249084	181	0.823204	1.301946	819	0.249084	0.353000	0.316126	
831	0.233454	169	0.739645	1.301946	831	0.233454	0.319000	0.316179	
816	0.248775	184	0.820652	1.301946	816	0.248775	0.354000	0.316867	
814	0.208845	186	0.817204	1.301946	814	0.208845	0.322000	0.316959	
808	0.225248	192	0.812500	1.301946	808	0.225248	0.338000	0.317328	
809	0.273177	191	0.795812	1.301946	809	0.273177	0.373000	0.318288	
817	0.226438	183	0.830601	1.301946	817	0.226438	0.337000	0.318605	
819	0.218559	181	0.839779	1.301946	819	0.218559	0.331000	0.318811	
830	0.232530	170	0.770588	1.301946	830	0.232530	0.324000	0.318896	
821	0.214373	179	0.837989	1.301946	821	0.214373	0.326000	0.319011	
816	0.232843	184	0.793478	1.301946	816	0.232843	0.336000	0.319281	
807	0.213135	193	0.870466	1.301946	807	0.213135	0.340000	0.319604	
830	0.215663	170	0.823529	1.301946	830	0.215663	0.319000	0.319595	
813	0.237392	187	0.737968	1.301946	813	0.237392	0.331000	0.319768	
822	0.233577	178	0.786517	1.301946	822	0.233577	0.332000	0.319950	
810	0.232099	190	0.736842	1.301946	810	0.232099	0.328000	0.320069	
826	0.214286	174	0.816092	1.301946	826	0.214286	0.319000	0.320053	
814	0.228501	186	0.811828	1.301946	814	0.228501	0.337000	0.320295	
804	0.238806	196	0.816327	1.301946	804	0.238806	0.352000	0.320742	
830	0.237349	170	0.841176	1.301946	830	0.237349	0.340000	0.321009	
819	0.229548	181	0.806630	1.301946	819	0.229548	0.334000	0.321187	
798	0.197995	202	0.841584	1.301946	798	0.197995	0.328000	0.321279	
822	0.518248	178	0.814607	0.652520	822	0.518248	0.571000	0.324609	
833	0.336134	167	0.808383	0.999457	833	0.336134	0.415000	0.325798	
820	0.378049	180	0.822222	0.999457	820	0.378049	0.458000	0.327515	
824	0.324029	176	0.897727	0.999457	824	0.324029	0.425000	0.328765	
797	0.326223	203	0.793103	0.999457	797	0.326223	0.421000	0.329933	
807	0.324659	193	0.860104	0.999457	807	0.324659	0.428000	0.331158	
816	0.357843	184	0.755435	0.999457	816	0.357843	0.431000	0.332391	
841	0.334126	159	0.836478	0.999457	841	0.334126	0.414000	0.333386	
842	0.328979	158	0.759494	0.999457	842	0.328979	0.397000	0.334153	
828	0.332126	172	0.779070	0.999457	828	0.332126	0.409000	0.335044	
810	0.339506	190	0.794737	0.999457	810	0.339506	0.426000	0.336114	
800	0.328750	200	0.790000	0.999457	800	0.328750	0.421000	0.337101	
820	0.328049	180	0.794444	0.999457	820	0.328049	0.412000	0.337962	
814	0.326781	186	0.811828	0.999457	814	0.326781	0.417000	0.338860	
806	0.339950	194	0.819588	0.999457	806	0.339950	0.433000	0.339918	
817	0.332925	183	0.825137	0.999457	817	0.332925	0.423000	0.340841	
816	0.349265	184	0.804348	0.999457	816	0.349265	0.433000	0.341853	
