Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/austronesian-hawaiian-bi.localresidence.bttrees
Data File Name:                  ./data/austronesian-hawaiian-bi.localresidence.btdata
Log File Name:                   ./output/austronesian-hawaiian-bi.localresidence-indep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2935904195
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10050000
Burn in:                         50000
MCMC ML Start:                   False
Schedule File:                   ./output/austronesian-hawaiian-bi.localresidence-indep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.357143,0.071429,0.452381,0.119048)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.084799
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       84
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
51000	-98.467090	418	4.422110	4.602677	4.220271	15.748253	0.356273	0.071160	0.453408	0.119159	
52000	-100.658426	360	27.171371	13.383273	7.447175	28.000377	0.357143	0.071429	0.452381	0.119048	
53000	-99.229459	24	15.103176	12.504522	4.059635	19.609480	0.357126	0.071441	0.452364	0.119070	
54000	-98.498772	460	5.906447	4.107337	7.878160	28.343096	0.413834	0.082767	0.398525	0.104875	
55000	-99.170798	575	4.459104	5.484161	3.729291	23.734475	0.336769	0.067361	0.471720	0.124151	
56000	-98.233485	660	5.845496	4.736221	9.280585	33.951096	0.380112	0.076022	0.430561	0.113305	
57000	-99.391815	570	9.695447	6.344737	2.781903	13.766049	0.359745	0.072065	0.449665	0.118524	
58000	-102.188029	548	25.917286	15.096458	7.628520	17.479223	0.357182	0.071395	0.452431	0.118992	
59000	-99.830068	314	3.529369	2.813067	2.735913	15.129462	0.482398	0.096839	0.332846	0.087917	
60000	-99.993894	197	2.457088	3.689413	2.596123	12.235352	0.187992	0.037463	0.613643	0.160902	
61000	-98.670879	44	8.103990	5.475149	7.464240	32.553937	0.371916	0.074383	0.438346	0.115354	
62000	-97.452923	387	16.713287	10.102604	9.131235	36.998690	0.357327	0.071465	0.452206	0.119002	
63000	-99.725359	918	4.479394	3.272738	5.680902	16.003164	0.483358	0.096421	0.332855	0.087366	
64000	-99.563574	188	9.705092	5.741303	3.125540	15.697801	0.362493	0.072592	0.447105	0.117810	
65000	-98.297469	870	5.356889	4.713110	9.338314	30.673116	0.375946	0.075189	0.434518	0.114347	
66000	-101.361948	244	5.078848	8.391352	8.263350	32.756256	0.337323	0.067465	0.471210	0.124003	
67000	-98.662857	448	7.539491	5.734843	3.987623	17.320797	0.365710	0.073132	0.444262	0.116896	
68000	-98.676611	444	12.621566	10.196013	10.927959	38.300576	0.357166	0.071433	0.452359	0.119042	
69000	-98.706436	595	3.823637	3.003448	3.535140	14.992481	0.484123	0.096647	0.332018	0.087213	
70000	-98.347890	766	10.028050	7.246522	5.186067	34.007248	0.360090	0.072018	0.449580	0.118311	
71000	-99.461093	290	4.483792	5.753983	4.485506	26.224412	0.329087	0.065820	0.479029	0.126065	
72000	-98.686292	806	7.559871	4.912460	4.851860	16.651316	0.374248	0.074788	0.436255	0.114709	
