Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
819	0.219780	181	0.867403	1.281939	819	0.219780	0.337000	0.350817	
850	0.211765	150	0.820000	1.281939	850	0.211765	0.303000	0.349897	
873	0.237113	127	0.803150	1.281939	873	0.237113	0.309000	0.349125	
826	0.244552	174	0.862069	1.281939	826	0.244552	0.352000	0.349179	
826	0.221550	174	0.873563	1.281939	826	0.221550	0.335000	0.348921	
844	0.225118	156	0.814103	1.281939	844	0.225118	0.317000	0.348351	
839	0.253874	161	0.844720	1.281939	839	0.253874	0.349000	0.348362	
838	0.237470	162	0.734568	1.281939	838	0.237470	0.318000	0.347839	
823	0.244228	177	0.790960	1.281939	823	0.244228	0.341000	0.347723	
831	0.210590	169	0.875740	1.281939	831	0.210590	0.323000	0.347311	
836	0.246411	164	0.853659	1.281939	836	0.246411	0.346000	0.347289	
819	0.257631	181	0.806630	1.281939	819	0.257631	0.357000	0.347446	
862	0.216937	138	0.891304	1.281939	862	0.216937	0.310000	0.346852	
832	0.259615	168	0.845238	1.281939	832	0.259615	0.358000	0.347026	
855	0.202339	145	0.896552	1.281939	855	0.202339	0.303000	0.346349	
836	0.253589	164	0.890244	1.281939	836	0.253589	0.358000	0.346525	
844	0.235782	156	0.846154	1.281939	844	0.235782	0.331000	0.346293	
837	0.224612	163	0.865031	1.281939	837	0.224612	0.329000	0.346039	
856	0.207944	144	0.847222	1.281939	856	0.207944	0.300000	0.345372	
822	0.237226	178	0.831461	1.281939	822	0.237226	0.343000	0.345338	
851	0.240893	149	0.818792	1.281939	851	0.240893	0.327000	0.345080	
849	0.262662	151	0.854305	1.281939	849	0.262662	0.352000	0.345176	
839	0.261025	161	0.894410	1.281939	839	0.261025	0.363000	0.345420	
843	0.237248	157	0.878981	1.281939	843	0.237248	0.338000	0.345320	
832	0.229567	168	0.869048	1.281939	832	0.229567	0.337000	0.345209	
837	0.253286	163	0.883436	1.281939	837	0.253286	0.356000	0.345351	
821	0.244823	179	0.826816	1.281939	821	0.244823	0.349000	0.345398	
815	0.211043	185	0.886486	1.281939	815	0.211043	0.336000	0.345278	
841	0.209275	159	0.880503	1.281939	841	0.209275	0.316000	0.344907	
818	0.232274	182	0.895604	1.281939	818	0.232274	0.353000	0.345008	
848	0.234670	152	0.815789	1.281939	848	0.234670	0.323000	0.344736	
