Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
839	0.282479	161	0.869565	1.217087	839	0.282479	0.377000	0.375420	
837	0.266428	163	0.846626	1.217087	837	0.266428	0.361000	0.374219	
831	0.299639	169	0.804734	1.217087	831	0.299639	0.385000	0.375048	
824	0.277913	176	0.857955	1.217087	824	0.277913	0.380000	0.375402	
826	0.312349	174	0.793103	1.217087	826	0.312349	0.396000	0.376775	
823	0.311057	177	0.824859	1.217087	823	0.311057	0.402000	0.378351	
843	0.297746	157	0.802548	1.217087	843	0.297746	0.377000	0.378272	
817	0.282742	183	0.836066	1.217087	817	0.282742	0.384000	0.378590	
827	0.285369	173	0.826590	1.217087	827	0.285369	0.379000	0.378612	
836	0.316986	164	0.878049	1.217087	836	0.316986	0.409000	0.380131	
820	0.329268	180	0.827778	1.217087	820	0.329268	0.419000	0.381982	
817	0.282742	183	0.808743	1.217087	817	0.282742	0.379000	0.381846	
797	0.345044	203	0.802956	1.217087	797	0.345044	0.438000	0.384288	
851	0.277321	149	0.812081	1.217087	851	0.277321	0.357000	0.383151	
842	0.300475	158	0.746835	1.217087	842	0.300475	0.371000	0.382665	
836	0.299043	164	0.756098	1.217087	836	0.299043	0.374000	0.382331	
825	0.313939	175	0.914286	1.217087	825	0.313939	0.419000	0.383689	
795	0.345912	205	0.746341	1.217087	795	0.345912	0.428000	0.385272	
828	0.310386	172	0.825581	1.217087	828	0.310386	0.399000	0.385745	
829	0.312425	171	0.842105	1.217087	829	0.312425	0.403000	0.386320	
826	0.311138	174	0.833333	1.217087	826	0.311138	0.402000	0.386826	
835	0.286228	165	0.787879	1.217087	835	0.286228	0.369000	0.386269	
836	0.332536	164	0.859756	1.217087	836	0.332536	0.419000	0.387261	
842	0.331354	158	0.746835	1.217087	842	0.331354	0.397000	0.387547	
823	0.283111	177	0.881356	1.217087	823	0.283111	0.389000	0.387589	
849	0.315665	151	0.834437	1.217087	849	0.315665	0.394000	0.387767	
816	0.362745	184	0.804348	1.217087	816	0.362745	0.444000	0.389287	
837	0.295102	163	0.723926	1.217087	837	0.295102	0.365000	0.388648	
822	0.304136	178	0.859551	1.217087	822	0.304136	0.403000	0.389016	
824	0.293689	176	0.829545	1.217087	824	0.293689	0.388000	0.388990	
839	0.293206	161	0.795031	1.217087	839	0.293206	0.374000	0.388625	
816	0.272059	184	0.793478	1.217087	816	0.272059	0.368000	0.388134	
831	0.308063	169	0.792899	1.217087	831	0.308063	0.390000	0.388177	
837	0.330944	163	0.852761	1.217087	837	0.330944	0.416000	0.388809	
814	0.300983	186	0.817204	1.217087	814	0.300983	0.397000	0.388991	
849	0.286219	151	0.920530	1.217087	849	0.286219	0.382000	0.388839	
837	0.293907	163	0.742331	1.217087	837	0.293907	0.367000	0.388375	
839	0.350417	161	0.795031	1.217087	839	0.350417	0.422000	0.389075	
839	0.313468	161	0.826087	1.217087	839	0.313468	0.396000	0.389217	
823	0.340219	177	0.847458	1.217087	823	0.340219	0.430000	0.390032	
834	0.278177	166	0.807229	1.217087	834	0.278177	0.366000	0.389561	
828	0.311594	172	0.860465	1.217087	828	0.311594	0.406000	0.389877	
852	0.327465	148	0.871622	1.217087	852	0.327465	0.408000	0.390219	
824	0.307039	176	0.840909	1.217087	824	0.307039	0.401000	0.390419	
827	0.278114	173	0.890173	1.217087	827	0.278114	0.384000	0.390302	
856	0.317757	144	0.805556	1.217087	856	0.317757	0.388000	0.390261	
832	0.311298	168	0.803571	1.217087	832	0.311298	0.394000	0.390326	
845	0.297041	155	0.870968	1.217087	845	0.297041	0.386000	0.390252	
833	0.292917	167	0.832335	1.217087	833	0.292917	0.383000	0.390129	
816	0.281863	184	0.777174	1.217087	816	0.281863	0.373000	0.389844	
825	0.318788	175	0.908571	1.217087	825	0.318788	0.422000	0.390371	
821	0.314251	179	0.759777	1.217087	821	0.314251	0.394000	0.390429	
811	0.303329	189	0.820106	1.217087	811	0.303329	0.401000	0.390597	
812	0.282020	188	0.851064	1.217087	812	0.282020	0.389000	0.390572	
816	0.283088	184	0.853261	1.217087	816	0.283088	0.388000	0.390532	
816	0.329657	184	0.777174	1.217087	816	0.329657	0.412000	0.390858	
836	0.332536	164	0.762195	1.217087	836	0.332536	0.403000	0.391039	
850	0.397647	150	0.793333	1.217087	850	0.397647	0.457000	0.392009	
825	0.277576	175	0.811429	1.217087	825	0.277576	0.371000	0.391704	
801	0.304619	199	0.864322	1.217087	801	0.304619	0.416000	0.392052	
844	0.316351	156	0.775641	1.217087	844	0.316351	0.388000	0.391994	
824	0.327670	176	0.835227	1.217087	824	0.327670	0.417000	0.392342	
824	0.286408	176	0.875000	1.217087	824	0.286408	0.390000	0.392310	
813	0.330873	187	0.877005	1.217087	813	0.330873	0.433000	0.392860	
831	0.312876	169	0.846154	1.217087	831	0.312876	0.403000	0.392995	
852	0.291080	148	0.905405	1.217087	852	0.291080	0.382000	0.392850	
828	0.297101	172	0.784884	1.217087	828	0.297101	0.381000	0.392696	
829	0.324487	171	0.859649	1.217087	829	0.324487	0.416000	0.392995	
831	0.308063	169	0.875740	1.217087	831	0.308063	0.404000	0.393134	
839	0.312277	161	0.863354	1.217087	839	0.312277	0.401000	0.393233	
820	0.293902	180	0.816667	1.217087	820	0.293902	0.388000	0.393168	
823	0.330498	177	0.807910	1.217087	823	0.330498	0.415000	0.393434	
817	0.337821	183	0.830601	1.217087	817	0.337821	0.428000	0.393851	
815	0.312883	185	0.886486	1.217087	815	0.312883	0.419000	0.394150	
854	0.325527	146	0.821918	1.217087	854	0.325527	0.398000	0.394195	
812	0.318966	188	0.840426	1.217087	812	0.318966	0.417000	0.394461	
827	0.326481	173	0.809249	1.217087	827	0.326481	0.410000	0.394639	
815	0.289571	185	0.805405	1.217087	815	0.289571	0.385000	0.394530	
817	0.301102	183	0.879781	1.217087	817	0.301102	0.407000	0.394670	
804	0.278607	196	0.729592	1.217087	804	0.278607	0.367000	0.394362	
828	0.351449	172	0.750000	1.217087	828	0.351449	0.420000	0.394644	
837	0.298686	163	0.889571	1.217087	837	0.298686	0.395000	0.394648	
829	0.300362	171	0.865497	1.217087	829	0.300362	0.397000	0.394673	
819	0.269841	181	0.784530	1.217087	819	0.269841	0.363000	0.394336	
810	0.345679	190	0.831579	1.217087	810	0.345679	0.438000	0.394796	
834	0.278177	166	0.831325	1.217087	834	0.278177	0.370000	0.394538	
830	0.293976	170	0.882353	1.217087	830	0.293976	0.394000	0.394532	
823	0.332928	177	0.785311	1.217087	823	0.332928	0.413000	0.394720	
856	0.328271	144	0.840278	1.217087	856	0.328271	0.402000	0.394794	
797	0.335006	203	0.857143	1.217087	797	0.335006	0.441000	0.395256	
802	0.306733	198	0.717172	1.217087	802	0.306733	0.388000	0.395184	
825	0.311515	175	0.817143	1.217087	825	0.311515	0.400000	0.395231	
817	0.307222	183	0.754098	1.217087	817	0.307222	0.389000	0.395171	
813	0.292743	187	0.802139	1.217087	813	0.292743	0.388000	0.395102	
826	0.320823	174	0.879310	1.217087	826	0.320823	0.418000	0.395320	
818	0.257946	182	0.829670	1.217087	818	0.257946	0.362000	0.395006	
826	0.291768	174	0.758621	1.217087	826	0.291768	0.373000	0.394800	
831	0.291215	169	0.875740	1.217087	831	0.291215	0.390000	0.394756	
813	0.286593	187	0.850267	1.217087	813	0.286593	0.392000	0.394730	
837	0.311828	163	0.852761	1.217087	837	0.311828	0.400000	0.394778	
822	0.299270	178	0.820225	1.217087	822	0.299270	0.392000	0.394753	
839	0.328963	161	0.850932	1.217087	839	0.328963	0.413000	0.394916	
826	0.294189	174	0.844828	1.217087	826	0.294189	0.390000	0.394873	
852	0.284038	148	0.871622	1.217087	852	0.284038	0.371000	0.394663	
836	0.308612	164	0.841463	1.217087	836	0.308612	0.396000	0.394675	
818	0.314181	182	0.890110	1.217087	818	0.314181	0.419000	0.394885	
