Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.840875	-1.840875
1	0.950747	750	-1.812283	-3.653158
2	0.926679	750	-1.770069	-5.423227
3	0.902980	750	-1.765036	-7.188262
4	0.879648	750	-1.730878	-8.919140
5	0.856682	750	-1.699615	-10.618755
6	0.834079	750	-1.679312	-12.298066
7	0.811838	750	-1.637582	-13.935649
8	0.789957	750	-1.622326	-15.557974
9	0.768433	750	-1.592022	-17.149997
10	0.747266	750	-1.576023	-18.726020
11	0.726452	750	-1.536748	-20.262768
12	0.705989	750	-1.514075	-21.776843
13	0.685877	750	-1.495174	-23.272017
14	0.666112	750	-1.480516	-24.752533
15	0.646693	750	-1.447030	-26.199563
16	0.627618	750	-1.426702	-27.626265
17	0.608884	750	-1.405944	-29.032208
18	0.590490	750	-1.399775	-30.431983
19	0.572433	750	-1.353082	-31.785065
20	0.554712	750	-1.319577	-33.104642
21	0.537324	750	-1.301653	-34.406296
22	0.520268	750	-1.308869	-35.715165
23	0.503540	750	-1.253064	-36.968229
24	0.487139	750	-1.251118	-38.219347
25	0.471063	750	-1.216200	-39.435547
26	0.455310	750	-1.191326	-40.626872
27	0.439877	750	-1.163023	-41.789896
28	0.424762	750	-1.141967	-42.931862
29	0.409963	750	-1.124217	-44.056080
30	0.395478	750	-1.106439	-45.162519
31	0.381305	750	-1.088631	-46.251151
32	0.367440	750	-1.057133	-47.308283
33	0.353883	750	-1.048331	-48.356614
34	0.340630	750	-1.004710	-49.361324
35	0.327680	750	-0.992529	-50.353854
36	0.315030	750	-0.962882	-51.316735
37	0.302677	750	-0.944943	-52.261678
38	0.290619	750	-0.946735	-53.208414
39	0.278855	750	-0.919514	-54.127928
40	0.267381	750	-0.893976	-55.021904
41	0.256195	750	-0.873783	-55.895686
42	0.245294	750	-0.841454	-56.737140
43	0.234677	750	-0.825717	-57.562857
44	0.224340	750	-0.804358	-58.367216
45	0.214281	750	-0.789221	-59.156436
46	0.204498	750	-0.769729	-59.926165
47	0.194988	750	-0.745815	-60.671980
48	0.185749	750	-0.722036	-61.394016
49	0.176777	750	-0.722604	-62.116620
50	0.168070	750	-0.693514	-62.810134
51	0.159626	750	-0.669829	-63.479963
52	0.151441	750	-0.662717	-64.142680
53	0.143514	750	-0.640560	-64.783240
54	0.135841	750	-0.619438	-65.402678
55	0.128420	750	-0.605765	-66.008443
56	0.121247	750	-0.579390	-66.587834
57	0.114320	750	-0.558053	-67.145886
58	0.107637	750	-0.553254	-67.699141
59	0.101193	750	-0.534284	-68.233425
60	0.094986	750	-0.515234	-68.748659
61	0.089014	750	-0.488227	-69.236886
62	0.083273	750	-0.491498	-69.728383
63	0.077760	750	-0.458687	-70.187071
64	0.072472	750	-0.451942	-70.639013
65	0.067406	750	-0.432961	-71.071974
66	0.062558	750	-0.425987	-71.497961
67	0.057926	750	-0.412677	-71.910638
68	0.053506	750	-0.390004	-72.300642
69	0.049295	750	-0.377425	-72.678066
70	0.045289	750	-0.366402	-73.044469
71	0.041485	750	-0.354577	-73.399046
72	0.037880	750	-0.321920	-73.720966
73	0.034469	750	-0.313221	-74.034187
74	0.031250	750	-0.303290	-74.337477
75	0.028218	750	-0.283804	-74.621281
76	0.025370	750	-0.277839	-74.899120
77	0.022702	750	-0.272750	-75.171870
78	0.020209	750	-0.242993	-75.414862
79	0.017889	750	-0.242619	-75.657481
80	0.015736	750	-0.220765	-75.878246
81	0.013746	750	-0.209758	-76.088004
82	0.011916	750	-0.193900	-76.281904
83	0.010240	750	-0.181846	-76.463750
84	0.008714	750	-0.163147	-76.626897
85	0.007334	750	-0.151675	-76.778572
86	0.006093	750	-0.141664	-76.920237
87	0.004988	750	-0.128699	-77.048936
88	0.004013	750	-0.118260	-77.167196
89	0.003162	750	-0.108883	-77.276078
90	0.002430	750	-0.089788	-77.365867
91	0.001810	750	-0.077579	-77.443446
92	0.001296	750	-0.067490	-77.510935
93	0.000882	750	-0.048912	-77.559847
94	0.000559	750	-0.043884	-77.603731
95	0.000320	750	-0.029885	-77.633617
96	0.000156	750	-0.020797	-77.654413
97	0.000057	750	-0.011907	-77.666320
98	0.000010	750	-0.005828	-77.672148
99	0.000000	750	-0.001262	-77.673410
Log marginal likelihood:	-77.673410
