Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
832	0.330529	168	0.779762	1.340552	832	0.330529	0.406000	0.394424	
842	0.355107	158	0.784810	1.340552	842	0.355107	0.423000	0.394973	
861	0.332172	139	0.776978	1.340552	861	0.332172	0.394000	0.394955	
819	0.334554	181	0.779006	1.340552	819	0.334554	0.415000	0.395326	
834	0.314149	166	0.686747	1.340552	834	0.314149	0.376000	0.394975	
820	0.342683	180	0.766667	1.340552	820	0.342683	0.419000	0.395404	
840	0.344048	160	0.768750	1.340552	840	0.344048	0.412000	0.395695	
835	0.349701	165	0.721212	1.340552	835	0.349701	0.411000	0.395959	
811	0.335388	189	0.698413	1.340552	811	0.335388	0.404000	0.396095	
852	0.339202	148	0.722973	1.340552	852	0.339202	0.396000	0.396093	
834	0.328537	166	0.614458	1.340552	834	0.328537	0.376000	0.395764	
832	0.355769	168	0.761905	1.340552	832	0.355769	0.424000	0.396219	
809	0.353523	191	0.759162	1.340552	809	0.353523	0.431000	0.396771	
826	0.317191	174	0.626437	1.340552	826	0.317191	0.371000	0.396369	
858	0.333333	142	0.739437	1.340552	858	0.333333	0.391000	0.396286	
831	0.329723	169	0.781065	1.340552	831	0.329723	0.406000	0.396433	
824	0.326456	176	0.778409	1.340552	824	0.326456	0.406000	0.396576	
844	0.364929	156	0.750000	1.340552	844	0.364929	0.425000	0.396994	
842	0.315914	158	0.765823	1.340552	842	0.315914	0.387000	0.396849	
845	0.338462	155	0.722581	1.340552	845	0.338462	0.398000	0.396866	
800	0.371250	200	0.780000	1.340552	800	0.371250	0.453000	0.397656	
820	0.345122	180	0.772222	1.340552	820	0.345122	0.422000	0.397994	
850	0.334118	150	0.640000	1.340552	850	0.334118	0.380000	0.397748	
831	0.324910	169	0.852071	1.340552	831	0.324910	0.414000	0.397968	
817	0.337821	183	0.743169	1.340552	817	0.337821	0.412000	0.398155	
835	0.361677	165	0.612121	1.340552	835	0.361677	0.403000	0.398218	
816	0.325980	184	0.673913	1.340552	816	0.325980	0.390000	0.398112	
845	0.337278	155	0.696774	1.340552	845	0.337278	0.393000	0.398046	
829	0.341375	171	0.707602	1.340552	829	0.341375	0.404000	0.398122	
851	0.333725	149	0.711409	1.340552	851	0.333725	0.390000	0.398020	
848	0.356132	152	0.342105	1.340552	848	0.356132	0.354000	0.397477	
836	0.332536	164	0.548780	1.340552	836	0.332536	0.368000	0.397117	
840	0.369048	160	0.800000	1.340552	840	0.369048	0.438000	0.397610	
836	0.300239	164	0.737805	1.340552	836	0.300239	0.372000	0.397305	
825	0.333333	175	0.702857	1.340552	825	0.333333	0.398000	0.397313	
839	0.342074	161	0.751553	1.340552	839	0.342074	0.408000	0.397437	
828	0.347826	172	0.703488	1.340552	828	0.347826	0.409000	0.397570	
844	0.318720	156	0.634615	1.340552	844	0.318720	0.368000	0.397234	
834	0.333333	166	0.807229	1.340552	834	0.333333	0.412000	0.397400	
846	0.307329	154	0.590909	1.340552	846	0.307329	0.351000	0.396884	
834	0.329736	166	0.807229	1.340552	834	0.329736	0.409000	0.397018	
848	0.344340	152	0.677632	1.340552	848	0.344340	0.395000	0.396996	
837	0.344086	163	0.687117	1.340552	837	0.344086	0.400000	0.397028	
847	0.316411	153	0.372549	1.340552	847	0.316411	0.325000	0.396262	
833	0.354142	167	0.766467	1.340552	833	0.354142	0.423000	0.396543	
803	0.334994	197	0.695431	1.340552	803	0.334994	0.406000	0.396642	
839	0.340882	161	0.801242	1.340552	839	0.340882	0.415000	0.396831	
843	0.338078	157	0.751592	1.340552	843	0.338078	0.403000	0.396894	
844	0.334123	156	0.807692	1.340552	844	0.334123	0.408000	0.397006	
832	0.349760	168	0.696429	1.340552	832	0.349760	0.408000	0.397116	
847	0.318772	153	0.647059	1.340552	847	0.318772	0.369000	0.396838	
842	0.330166	158	0.721519	1.340552	842	0.330166	0.392000	0.396790	
829	0.360676	171	0.801170	1.340552	829	0.360676	0.436000	0.397171	
813	0.318573	187	0.770053	1.340552	813	0.318573	0.403000	0.397227	
821	0.304507	179	0.731844	1.340552	821	0.304507	0.381000	0.397072	
837	0.324970	163	0.613497	1.340552	837	0.324970	0.372000	0.396836	
840	0.336905	160	0.756250	1.340552	840	0.336905	0.404000	0.396903	
839	0.338498	161	0.782609	1.340552	839	0.338498	0.410000	0.397024	
838	0.352029	162	0.697531	1.340552	838	0.352029	0.408000	0.397125	
837	0.375149	163	0.607362	1.340552	837	0.375149	0.413000	0.397269	
841	0.338882	159	0.666667	1.340552	841	0.338882	0.391000	0.397213	
830	0.318072	170	0.717647	1.340552	830	0.318072	0.386000	0.397113	
857	0.347725	143	0.321678	1.340552	857	0.347725	0.344000	0.396643	
841	0.331748	159	0.622642	1.340552	841	0.331748	0.378000	0.396479	
809	0.323857	191	0.382199	1.340552	809	0.323857	0.335000	0.395944	
796	0.307789	204	0.602941	1.340552	796	0.307789	0.368000	0.395703	
833	0.337335	167	0.658683	1.340552	833	0.337335	0.391000	0.395663	
840	0.332143	160	0.681250	1.340552	840	0.332143	0.388000	0.395598	
826	0.318402	174	0.787356	1.340552	826	0.318402	0.400000	0.395635	
822	0.313869	178	0.629213	1.340552	822	0.313869	0.370000	0.395422	
854	0.325527	146	0.691781	1.340552	854	0.325527	0.379000	0.395286	
832	0.282452	168	0.761905	1.340552	832	0.282452	0.363000	0.395021	
829	0.324487	171	0.701754	1.340552	829	0.324487	0.389000	0.394972	
833	0.355342	167	0.676647	1.340552	833	0.355342	0.409000	0.395086	
843	0.351127	157	0.757962	1.340552	843	0.351127	0.415000	0.395245	
829	0.343788	171	0.707602	1.340552	829	0.343788	0.406000	0.395330	
801	0.322097	199	0.693467	1.340552	801	0.322097	0.396000	0.395335	
833	0.309724	167	0.748503	1.340552	833	0.309724	0.383000	0.395239	
830	0.348193	170	0.647059	1.340552	830	0.348193	0.399000	0.395268	
843	0.329775	157	0.719745	1.340552	843	0.329775	0.391000	0.395235	
819	0.335775	181	0.696133	1.340552	819	0.335775	0.401000	0.395279	
858	0.296037	142	0.161972	1.340552	858	0.296037	0.277000	0.394383	
812	0.355911	188	0.696809	1.340552	812	0.355911	0.420000	0.394576	
817	0.317013	183	0.693989	1.340552	817	0.317013	0.386000	0.394512	
842	0.309976	158	0.740506	1.340552	842	0.309976	0.378000	0.394390	
863	0.374276	137	0.759124	1.340552	863	0.374276	0.427000	0.394629	
837	0.371565	163	0.748466	1.340552	837	0.371565	0.433000	0.394910	
812	0.336207	188	0.622340	1.340552	812	0.336207	0.390000	0.394874	
816	0.344363	184	0.619565	1.340552	816	0.344363	0.395000	0.394875	
853	0.362251	147	0.734694	1.340552	853	0.362251	0.417000	0.395033	
813	0.323493	187	0.754011	1.340552	813	0.323493	0.404000	0.395096	
837	0.328554	163	0.644172	1.340552	837	0.328554	0.380000	0.394990	
828	0.359903	172	0.726744	1.340552	828	0.359903	0.423000	0.395186	
809	0.317676	191	0.785340	1.340552	809	0.317676	0.407000	0.395268	
818	0.345966	182	0.681319	1.340552	818	0.345966	0.407000	0.395349	
817	0.337821	183	0.661202	1.340552	817	0.337821	0.397000	0.395360	
818	0.311736	182	0.703297	1.340552	818	0.311736	0.383000	0.395276	
813	0.298893	187	0.743316	1.340552	813	0.298893	0.382000	0.395187	
846	0.373522	154	0.681818	1.340552	846	0.373522	0.421000	0.395360	
826	0.313559	174	0.609195	1.340552	826	0.313559	0.365000	0.395157	
853	0.366940	147	0.714286	1.340552	853	0.366940	0.418000	0.395309	
843	0.347568	157	0.611465	1.340552	843	0.347568	0.389000	0.395267	
834	0.366906	166	0.710843	1.340552	834	0.366906	0.424000	0.395455	
830	0.336145	170	0.611765	1.340552	830	0.336145	0.383000	0.395374	
842	0.311164	158	0.531646	1.340552	842	0.311164	0.346000	0.395056	
842	0.339667	158	0.746835	1.340552	842	0.339667	0.404000	0.395113	
851	0.330200	149	0.302013	1.340552	851	0.330200	0.326000	0.394673	
823	0.342649	177	0.525424	1.340552	823	0.342649	0.375000	0.394548	
834	0.312950	166	0.746988	1.340552	834	0.312950	0.385000	0.394488	
824	0.343447	176	0.693182	1.340552	824	0.343447	0.405000	0.394554	
837	0.351254	163	0.705521	1.340552	837	0.351254	0.409000	0.394644	
829	0.346200	171	0.754386	1.340552	829	0.346200	0.416000	0.394775	
812	0.320197	188	0.728723	1.340552	812	0.320197	0.397000	0.394789	
844	0.299763	156	0.705128	1.340552	844	0.299763	0.363000	0.394595	
838	0.337709	162	0.709877	1.340552	838	0.337709	0.398000	0.394616	
861	0.363531	139	0.719424	1.340552	861	0.363531	0.413000	0.394727	
844	0.329384	156	0.602564	1.340552	844	0.329384	0.372000	0.394590	
848	0.347877	152	0.769737	1.340552	848	0.347877	0.412000	0.394694	
848	0.349057	152	0.815789	1.340552	848	0.349057	0.420000	0.394844	
846	0.334515	154	0.759740	1.340552	846	0.334515	0.400000	0.394874	
843	0.327402	157	0.700637	1.340552	843	0.327402	0.386000	0.394822	
837	0.339307	163	0.748466	1.340552	837	0.339307	0.406000	0.394887	
844	0.338863	156	0.794872	1.340552	844	0.338863	0.410000	0.394975	
835	0.306587	165	0.703030	1.340552	835	0.306587	0.372000	0.394843	
843	0.361803	157	0.439490	1.340552	843	0.361803	0.374000	0.394723	
846	0.335697	154	0.772727	1.340552	846	0.335697	0.403000	0.394770	
816	0.341912	184	0.706522	1.340552	816	0.341912	0.409000	0.394851	
829	0.332931	171	0.730994	1.340552	829	0.332931	0.401000	0.394885	
848	0.317217	152	0.730263	1.340552	848	0.317217	0.380000	0.394802	
847	0.335301	153	0.705882	1.340552	847	0.335301	0.392000	0.394787	
844	0.356635	156	0.685897	1.340552	844	0.356635	0.408000	0.394860	
831	0.317690	169	0.698225	1.340552	831	0.317690	0.382000	0.394789	
837	0.307049	163	0.779141	1.340552	837	0.307049	0.384000	0.394730	
848	0.359670	152	0.763158	1.340552	848	0.359670	0.421000	0.394873	
835	0.368862	165	0.630303	1.340552	835	0.368862	0.412000	0.394965	
836	0.345694	164	0.768293	1.340552	836	0.345694	0.415000	0.395073	
838	0.319809	162	0.765432	1.340552	838	0.319809	0.392000	0.395057	
824	0.347087	176	0.710227	1.340552	824	0.347087	0.411000	0.395142	
819	0.319902	181	0.723757	1.340552	819	0.319902	0.393000	0.395130	
838	0.323389	162	0.697531	1.340552	838	0.323389	0.384000	0.395072	
834	0.353717	166	0.765060	1.340552	834	0.353717	0.422000	0.395213	
844	0.324645	156	0.365385	1.340552	844	0.324645	0.331000	0.394878	
830	0.356627	170	0.723529	1.340552	830	0.356627	0.419000	0.395003	
831	0.341757	169	0.650888	1.340552	831	0.341757	0.394000	0.394998	
