Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-crow-uni.localresidence.bttrees
Data File Name:                  ./data/bantu-crow-uni.localresidence.btdata
Log File Name:                   ./output/bantu-crow-uni.localresidence-indep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3721288551
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-crow-uni.localresidence-indep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.188406,0.753623,0.014493,0.043478)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.100855
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-52.512580	243	0.820650	10.381396	23.446758	3.162478	0.188421	0.753685	0.014473	0.043420	
12000	-52.413908	38	1.323235	9.745769	18.861858	5.767756	0.188487	0.753947	0.014391	0.043174	
13000	-50.580545	863	1.989833	36.452552	13.624728	4.349606	0.188398	0.753631	0.014492	0.043479	
14000	-50.483696	197	2.519063	36.432986	49.928273	10.054590	0.188406	0.753623	0.014493	0.043478	
15000	-52.801095	496	1.725855	32.978224	13.255589	1.747996	0.189026	0.752992	0.014540	0.043442	
16000	-53.458311	864	0.312720	10.658663	12.760409	5.604234	0.188334	0.753349	0.014579	0.043738	
17000	-52.449295	239	0.341398	7.276880	8.215439	1.906478	0.188110	0.751740	0.015048	0.045102	
18000	-51.284090	461	1.233147	16.300307	16.444197	3.903329	0.188409	0.753630	0.014490	0.043470	
19000	-55.584121	68	1.257285	7.159589	6.209728	3.272582	0.185969	0.757482	0.013946	0.042603	
20000	-50.491199	87	1.347564	15.063207	20.883211	4.913543	0.188408	0.753632	0.014490	0.043470	
21000	-51.376471	54	2.027348	18.186362	37.698629	8.003294	0.188406	0.753624	0.014493	0.043478	
22000	-52.483515	826	2.290383	16.593792	28.626702	5.500525	0.188406	0.753625	0.014492	0.043476	
23000	-53.835902	113	2.836017	18.076997	8.218358	2.828499	0.187787	0.754253	0.014445	0.043514	
24000	-50.741815	107	3.083806	38.352046	24.712307	5.506445	0.188406	0.753623	0.014493	0.043478	
25000	-50.989254	437	2.119271	24.658453	13.261937	3.825373	0.188387	0.753642	0.014491	0.043479	
26000	-52.015606	280	2.245852	21.488661	23.949543	9.330334	0.188406	0.753623	0.014493	0.043478	
27000	-51.044639	196	1.593308	22.545893	16.733013	5.115773	0.188405	0.753624	0.014493	0.043478	
28000	-51.477093	656	1.526744	10.872443	26.182474	6.880527	0.188433	0.753732	0.014459	0.043377	
29000	-50.683937	9	2.086437	22.201258	33.851237	10.201086	0.188406	0.753623	0.014493	0.043478	
30000	-54.804041	549	1.216153	9.475965	20.223211	10.257586	0.188461	0.753846	0.014423	0.043270	
31000	-51.358055	563	1.368772	13.734501	24.427565	8.708222	0.188408	0.753632	0.014490	0.043470	
32000	-55.274201	286	0.616780	17.632301	3.979720	1.586244	0.156716	0.785872	0.012059	0.045353	
33000	-54.135120	74	1.326842	12.111934	48.558431	25.161037	0.188413	0.753652	0.014484	0.043451	
34000	-53.480251	496	3.334552	20.913962	22.500765	3.774667	0.188406	0.753623	0.014493	0.043478	
35000	-51.194012	266	0.705962	17.739370	24.462710	5.885502	0.188403	0.753612	0.014496	0.043489	
36000	-52.100219	462	0.452030	2.984845	20.272140	3.850052	0.193170	0.772678	0.008538	0.025614	
37000	-50.930075	272	0.352906	4.771011	23.820983	6.457172	0.189071	0.756285	0.013661	0.040983	
38000	-51.660016	790	1.349370	24.500959	18.368361	3.127825	0.188410	0.753619	0.014493	0.043478	
39000	-51.822725	328	0.769285	18.316826	25.298398	10.038630	0.188405	0.753621	0.014493	0.043480	
