Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
818	0.259169	182	0.697802	1.727572	818	0.259169	0.339000	0.294973	
814	0.265356	186	0.655914	1.727572	814	0.265356	0.338000	0.298558	
824	0.240291	176	0.795455	1.727572	824	0.240291	0.338000	0.301592	
838	0.251790	162	0.703704	1.727572	838	0.251790	0.325000	0.303264	
807	0.256506	193	0.689119	1.727572	807	0.256506	0.340000	0.305713	
834	0.224221	166	0.734940	1.727572	834	0.224221	0.309000	0.305918	
824	0.292476	176	0.732955	1.727572	824	0.292476	0.370000	0.309688	
822	0.253041	178	0.741573	1.727572	822	0.253041	0.340000	0.311372	
833	0.248499	167	0.718563	1.727572	833	0.248499	0.327000	0.312194	
832	0.264423	168	0.601190	1.727572	832	0.264423	0.321000	0.312634	
807	0.244114	193	0.735751	1.727572	807	0.244114	0.339000	0.313890	
843	0.277580	157	0.694268	1.727572	843	0.277580	0.343000	0.315213	
837	0.216249	163	0.674847	1.727572	837	0.216249	0.291000	0.314160	
833	0.250900	167	0.718563	1.727572	833	0.250900	0.329000	0.314779	
825	0.235152	175	0.777143	1.727572	825	0.235152	0.330000	0.315387	
809	0.247219	191	0.649215	1.727572	809	0.247219	0.324000	0.315719	
809	0.250927	191	0.675393	1.727572	809	0.250927	0.332000	0.316322	
821	0.261876	179	0.664804	1.727572	821	0.261876	0.334000	0.316953	
808	0.259901	192	0.744792	1.727572	808	0.259901	0.353000	0.318196	
820	0.254878	180	0.800000	1.727572	820	0.254878	0.353000	0.319356	
842	0.256532	158	0.727848	1.727572	842	0.256532	0.331000	0.319732	
856	0.254673	144	0.701389	1.727572	856	0.254673	0.319000	0.319709	
816	0.253676	184	0.722826	1.727572	816	0.253676	0.340000	0.320324	
811	0.273736	189	0.682540	1.727572	811	0.273736	0.351000	0.321226	
803	0.261519	197	0.710660	1.727572	803	0.261519	0.350000	0.322048	
808	0.248762	192	0.703125	1.727572	808	0.248762	0.336000	0.322435	
830	0.216867	170	0.817647	1.727572	830	0.216867	0.319000	0.322343	
800	0.283750	200	0.645000	1.727572	800	0.283750	0.356000	0.323228	
816	0.235294	184	0.668478	1.727572	816	0.235294	0.315000	0.323017	
823	0.232078	177	0.768362	1.727572	823	0.232078	0.327000	0.323117	
829	0.232811	171	0.742690	1.727572	829	0.232811	0.320000	0.323041	
821	0.221681	179	0.759777	1.727572	821	0.221681	0.318000	0.322921	
840	0.273810	160	0.725000	1.727572	840	0.273810	0.346000	0.323458	
851	0.276146	149	0.751678	1.727572	851	0.276146	0.347000	0.323993	
831	0.250301	169	0.639053	1.727572	831	0.250301	0.316000	0.323815	
814	0.227273	186	0.790323	1.727572	814	0.227273	0.332000	0.323993	
815	0.250307	185	0.686486	1.727572	815	0.250307	0.331000	0.324142	
833	0.222089	167	0.742515	1.727572	833	0.222089	0.309000	0.323827	
817	0.259486	183	0.748634	1.727572	817	0.259486	0.349000	0.324340	
836	0.224880	164	0.804878	1.727572	836	0.224880	0.320000	0.324254	
809	0.279357	191	0.727749	1.727572	809	0.279357	0.365000	0.325052	
827	0.246675	173	0.699422	1.727572	827	0.246675	0.325000	0.325051	
834	0.220624	166	0.783133	1.727572	834	0.220624	0.314000	0.324843	
820	0.252439	180	0.761111	1.727572	820	0.252439	0.344000	0.325198	
833	0.262905	167	0.712575	1.727572	833	0.262905	0.338000	0.325430	
812	0.259852	188	0.707447	1.727572	812	0.259852	0.344000	0.325762	
828	0.192029	172	0.796512	1.727572	828	0.192029	0.296000	0.325240	
824	0.276699	176	0.801136	1.574348	824	0.276699	0.369000	0.325994	
828	0.289855	172	0.703488	1.574348	828	0.289855	0.361000	0.326588	
855	0.291228	145	0.765517	1.574348	855	0.291228	0.360000	0.327145	
819	0.290598	181	0.696133	1.574348	819	0.290598	0.364000	0.327749	
823	0.306197	177	0.768362	1.574348	823	0.306197	0.388000	0.328721	
843	0.317912	157	0.694268	1.574348	843	0.317912	0.377000	0.329487	
834	0.255396	166	0.740964	1.574348	834	0.255396	0.336000	0.329589	
837	0.309438	163	0.687117	1.574348	837	0.309438	0.371000	0.330226	
822	0.334550	178	0.685393	1.574348	822	0.334550	0.397000	0.331237	
842	0.276722	158	0.759494	1.574348	842	0.276722	0.353000	0.331562	
830	0.289157	170	0.794118	1.574348	830	0.289157	0.375000	0.332201	
825	0.243636	175	0.777143	1.574348	825	0.243636	0.337000	0.332271	
801	0.302122	199	0.643216	1.574348	801	0.302122	0.370000	0.332810	
821	0.306943	179	0.726257	1.574348	821	0.306943	0.382000	0.333502	
818	0.266504	182	0.785714	1.574348	818	0.266504	0.361000	0.333884	
818	0.288509	182	0.714286	1.574348	818	0.288509	0.366000	0.334324	
817	0.321909	183	0.704918	1.574348	817	0.321909	0.392000	0.335104	
855	0.279532	145	0.696552	1.574348	855	0.279532	0.340000	0.335169	
818	0.286064	182	0.741758	1.574348	818	0.286064	0.369000	0.335614	
828	0.306763	172	0.709302	1.574348	828	0.306763	0.376000	0.336138	
829	0.300362	171	0.807018	1.574348	829	0.300362	0.387000	0.336791	
839	0.313468	161	0.726708	1.574348	839	0.313468	0.380000	0.337338	
806	0.300248	194	0.716495	1.574348	806	0.300248	0.381000	0.337883	
821	0.295981	179	0.726257	1.574348	821	0.295981	0.373000	0.338317	
838	0.307876	162	0.728395	1.574348	838	0.307876	0.376000	0.338776	
809	0.292954	191	0.769634	1.574348	809	0.292954	0.384000	0.339321	
829	0.297949	171	0.678363	1.574348	829	0.297949	0.363000	0.339603	
830	0.281928	170	0.729412	1.574348	830	0.281928	0.358000	0.339820	
812	0.312808	188	0.617021	1.574348	812	0.312808	0.370000	0.340170	
833	0.294118	167	0.676647	1.574348	833	0.294118	0.358000	0.340375	
847	0.286895	153	0.692810	1.574348	847	0.286895	0.349000	0.340473	
818	0.275061	182	0.736264	1.574348	818	0.275061	0.359000	0.340682	
820	0.273171	180	0.700000	1.574348	820	0.273171	0.350000	0.340785	
817	0.294982	183	0.726776	1.574348	817	0.294982	0.374000	0.341150	
833	0.264106	167	0.682635	1.574348	833	0.264106	0.334000	0.341072	
827	0.324063	173	0.687861	1.574348	827	0.324063	0.387000	0.341566	
820	0.315854	180	0.705556	1.574348	820	0.315854	0.386000	0.342039	
834	0.294964	166	0.759036	1.574348	834	0.294964	0.372000	0.342354	
