Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
825	0.204848	175	0.634286	1.751594	825	0.204848	0.280000	0.247977	
827	0.210399	173	0.734104	1.751594	827	0.210399	0.301000	0.252396	
824	0.175971	176	0.727273	1.751594	824	0.175971	0.273000	0.253980	
828	0.243961	172	0.662791	1.529907	828	0.243961	0.316000	0.258410	
837	0.265233	163	0.564417	1.529907	837	0.265233	0.314000	0.262116	
814	0.256757	186	0.596774	1.529907	814	0.256757	0.320000	0.265733	
839	0.263409	161	0.534161	1.529907	839	0.263409	0.307000	0.268161	
829	0.262967	171	0.713450	1.529907	829	0.262967	0.340000	0.272152	
811	0.281134	189	0.661376	1.529907	811	0.281134	0.353000	0.276407	
825	0.256970	175	0.577143	1.529907	825	0.256970	0.313000	0.278236	
833	0.240096	167	0.742515	1.529907	833	0.240096	0.324000	0.280415	
836	0.254785	164	0.652439	1.529907	836	0.254785	0.320000	0.282214	
810	0.253086	190	0.589474	1.529907	810	0.253086	0.317000	0.283727	
841	0.236623	159	0.597484	1.529907	841	0.236623	0.294000	0.284155	
813	0.263223	187	0.673797	1.529907	813	0.263223	0.340000	0.286389	
833	0.230492	167	0.640719	1.529907	833	0.230492	0.299000	0.286874	
826	0.255448	174	0.545977	1.529907	826	0.255448	0.306000	0.287582	
835	0.259880	165	0.612121	1.529907	835	0.259880	0.318000	0.288668	
838	0.274463	162	0.530864	1.529907	838	0.274463	0.316000	0.289611	
831	0.274368	169	0.556213	1.529907	831	0.274368	0.322000	0.290690	
844	0.238152	156	0.647436	1.529907	844	0.238152	0.302000	0.291055	
832	0.268029	168	0.708333	1.529907	832	0.268029	0.342000	0.292647	
825	0.269091	175	0.531429	1.529907	825	0.269091	0.315000	0.293324	
825	0.224242	175	0.634286	1.529907	825	0.224242	0.296000	0.293403	
850	0.235294	150	0.606667	1.529907	850	0.235294	0.291000	0.293334	
819	0.247863	181	0.635359	1.529907	819	0.247863	0.318000	0.294020	
810	0.256790	190	0.505263	1.529907	810	0.256790	0.304000	0.294289	
840	0.236905	160	0.493750	1.529907	840	0.236905	0.278000	0.293861	
818	0.239609	182	0.571429	1.529907	818	0.239609	0.300000	0.294018	
816	0.251225	184	0.701087	1.529907	816	0.251225	0.334000	0.295018	
839	0.261025	161	0.571429	1.529907	839	0.261025	0.311000	0.295407	
821	0.221681	179	0.480447	1.529907	821	0.221681	0.268000	0.294755	
816	0.248775	184	0.581522	1.529907	816	0.248775	0.310000	0.295109	
837	0.264038	163	0.558282	1.529907	837	0.264038	0.312000	0.295493	
821	0.252132	179	0.614525	1.529907	821	0.252132	0.317000	0.295971	
823	0.253949	177	0.677966	1.529907	823	0.253949	0.329000	0.296689	
846	0.230496	154	0.610390	1.529907	846	0.230496	0.289000	0.296526	
820	0.268293	180	0.494444	1.529907	820	0.268293	0.309000	0.296785	
832	0.239183	168	0.559524	1.529907	832	0.239183	0.293000	0.296708	
826	0.255448	174	0.655172	1.529907	826	0.255448	0.325000	0.297274	
847	0.242031	153	0.575163	1.529907	847	0.242031	0.293000	0.297190	
808	0.271040	192	0.645833	1.529907	808	0.271040	0.343000	0.298071	
836	0.255981	164	0.695122	1.529907	836	0.255981	0.328000	0.298636	
826	0.271186	174	0.551724	1.529907	826	0.271186	0.320000	0.299031	
815	0.238037	185	0.654054	1.529907	815	0.238037	0.315000	0.299322	
823	0.302552	177	0.587571	1.529907	823	0.302552	0.353000	0.300280	
836	0.269139	164	0.597561	1.529907	836	0.269139	0.323000	0.300679	
814	0.296069	186	0.596774	1.529907	814	0.296069	0.352000	0.301564	
827	0.278114	173	0.578035	1.529907	827	0.278114	0.330000	0.302046	
814	0.285012	186	0.591398	1.529907	814	0.285012	0.342000	0.302712	
830	0.251807	170	0.594118	1.529907	830	0.251807	0.310000	0.302831	
834	0.268585	166	0.542169	1.529907	834	0.268585	0.314000	0.303011	
815	0.244172	185	0.637838	1.529907	815	0.244172	0.317000	0.303233	
813	0.211562	187	0.620321	1.529907	813	0.211562	0.288000	0.302995	
817	0.250918	183	0.677596	1.529907	817	0.250918	0.329000	0.303395	
824	0.242718	176	0.704545	1.529907	824	0.242718	0.324000	0.303708	
826	0.278450	174	0.706897	1.529907	826	0.278450	0.353000	0.304443	
834	0.257794	166	0.632530	1.529907	834	0.257794	0.320000	0.304672	
828	0.223430	172	0.598837	1.529907	828	0.223430	0.288000	0.304430	
788	0.251269	212	0.495283	1.529907	788	0.251269	0.303000	0.304410	
840	0.209524	160	0.556250	1.529907	840	0.209524	0.265000	0.303855	
823	0.255164	177	0.672316	1.529907	823	0.255164	0.329000	0.304204	
826	0.262712	174	0.614943	1.529907	826	0.262712	0.324000	0.304475	
834	0.267386	166	0.638554	1.529907	834	0.267386	0.329000	0.304807	
833	0.259304	167	0.640719	1.529907	833	0.259304	0.323000	0.305049	
839	0.216925	161	0.627329	1.529907	839	0.216925	0.283000	0.304759	
842	0.274347	158	0.620253	1.529907	842	0.274347	0.329000	0.305074	
836	0.234450	164	0.658537	1.529907	836	0.234450	0.304000	0.305060	
822	0.283455	178	0.634831	1.529907	822	0.283455	0.346000	0.305578	
826	0.249395	174	0.580460	1.529907	826	0.249395	0.307000	0.305596	
833	0.318127	167	0.664671	1.529907	833	0.318127	0.376000	0.306465	
812	0.306650	188	0.515957	1.529907	812	0.306650	0.346000	0.306947	
802	0.254364	198	0.616162	1.529907	802	0.254364	0.326000	0.307177	
848	0.283019	152	0.414474	1.529907	848	0.283019	0.303000	0.307127	
846	0.242317	154	0.551948	1.529907	846	0.242317	0.290000	0.306926	
821	0.277710	179	0.636872	1.529907	821	0.277710	0.342000	0.307334	
820	0.243902	180	0.522222	1.529907	820	0.243902	0.294000	0.307180	
829	0.259349	171	0.684211	1.529907	829	0.259349	0.332000	0.307462	
836	0.270335	164	0.591463	1.529907	836	0.270335	0.323000	0.307637	
847	0.264463	153	0.620915	1.529907	847	0.264463	0.319000	0.307763	
842	0.258907	158	0.556962	1.529907	842	0.258907	0.306000	0.307744	
824	0.235437	176	0.579545	1.529907	824	0.235437	0.296000	0.307616	
807	0.263941	193	0.621762	1.529907	807	0.263941	0.333000	0.307889	
795	0.198742	205	0.570732	1.529907	795	0.198742	0.275000	0.307539	
821	0.473812	179	0.659218	0.897245	821	0.473812	0.507000	0.309639	
838	0.229117	162	0.691358	1.669222	838	0.229117	0.304000	0.309580	
845	0.209467	155	0.735484	1.669222	845	0.209467	0.291000	0.309389	
833	0.200480	167	0.646707	1.669222	833	0.200480	0.275000	0.309038	
803	0.230386	197	0.593909	1.669222	803	0.230386	0.302000	0.308967	
806	0.166253	194	0.592784	1.669222	806	0.166253	0.249000	0.308367	
838	0.451074	162	0.660494	1.025987	838	0.451074	0.485000	0.310116	
838	0.435561	162	0.561728	1.027701	838	0.435561	0.456000	0.311546	
830	0.377108	170	0.552941	1.146079	830	0.377108	0.407000	0.312473	
844	0.390995	156	0.589744	1.146079	844	0.390995	0.422000	0.313526	
810	0.372840	190	0.668421	1.146079	810	0.372840	0.429000	0.314626	
826	0.349879	174	0.672414	1.146079	826	0.349879	0.406000	0.315488	
838	0.361575	162	0.666667	1.146079	838	0.361575	0.411000	0.316380	
814	0.380835	186	0.607527	1.146079	814	0.380835	0.423000	0.317367	
863	0.363847	137	0.605839	1.146079	863	0.363847	0.397000	0.318098	
831	0.347774	169	0.621302	1.146079	831	0.347774	0.394000	0.318788	
842	0.385986	158	0.702532	1.146079	842	0.385986	0.436000	0.319844	
835	0.373653	165	0.703030	1.146079	835	0.373653	0.428000	0.320810	
842	0.395487	158	0.594937	1.146079	842	0.395487	0.427000	0.321749	
838	0.371122	162	0.611111	1.146079	838	0.371122	0.410000	0.322523	
825	0.396364	175	0.577143	1.146079	825	0.396364	0.428000	0.323441	
827	0.360339	173	0.647399	1.146079	827	0.360339	0.410000	0.324187	
818	0.369193	182	0.598901	1.146079	818	0.369193	0.411000	0.324929	
814	0.398034	186	0.580645	1.146079	814	0.398034	0.432000	0.325836	
805	0.392547	195	0.543590	1.146079	805	0.392547	0.422000	0.326644	
824	0.375000	176	0.642045	1.146079	824	0.375000	0.422000	0.327439	
823	0.360875	177	0.621469	1.146079	823	0.360875	0.407000	0.328096	
