Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
825	0.403636	175	0.742857	1.195548	825	0.403636	0.463000	0.470230	
796	0.227387	204	0.671569	1.607644	796	0.227387	0.318000	0.457545	
835	0.257485	165	0.618182	1.607644	835	0.257485	0.317000	0.446735	
822	0.255474	178	0.584270	1.607644	822	0.255474	0.314000	0.437254	
822	0.229927	178	0.730337	1.607644	822	0.229927	0.319000	0.429371	
824	0.264563	176	0.664773	1.607644	824	0.264563	0.335000	0.423474	
825	0.231515	175	0.720000	1.607644	825	0.231515	0.317000	0.417211	
837	0.234170	163	0.754601	1.607644	837	0.234170	0.319000	0.411755	
821	0.230207	179	0.608939	1.607644	821	0.230207	0.298000	0.405768	
833	0.264106	167	0.706587	1.607644	833	0.264106	0.338000	0.402380	
818	0.268949	182	0.675824	1.607644	818	0.268949	0.343000	0.399552	
810	0.260494	190	0.752632	1.607644	810	0.260494	0.354000	0.397482	
812	0.250000	188	0.659574	1.607644	812	0.250000	0.327000	0.394418	
855	0.257310	145	0.800000	1.607644	855	0.257310	0.336000	0.391984	
826	0.219128	174	0.706897	1.607644	826	0.219128	0.304000	0.388464	
832	0.251202	168	0.714286	1.607644	832	0.251202	0.329000	0.386177	
803	0.226650	197	0.705584	1.607644	803	0.226650	0.321000	0.383764	
815	0.251534	185	0.670270	1.607644	815	0.251534	0.329000	0.381808	
825	0.223030	175	0.668571	1.607644	825	0.223030	0.301000	0.379021	
823	0.232078	177	0.751412	1.607644	823	0.232078	0.324000	0.377187	
828	0.227053	172	0.703488	1.607644	828	0.227053	0.309000	0.374988	
798	0.226817	202	0.673267	1.607644	798	0.226817	0.317000	0.373176	
823	0.235723	177	0.745763	1.607644	823	0.235723	0.326000	0.371746	
824	0.217233	176	0.687500	1.607644	824	0.217233	0.300000	0.369636	
805	0.260870	195	0.589744	1.607644	805	0.260870	0.325000	0.368361	
783	0.249042	217	0.705069	1.607644	783	0.249042	0.348000	0.367795	
803	0.249066	197	0.629442	1.607644	803	0.249066	0.324000	0.366612	
827	0.247884	173	0.583815	1.607644	827	0.247884	0.306000	0.365017	
841	0.271106	159	0.773585	1.607644	841	0.271106	0.351000	0.364657	
817	0.248470	183	0.710383	1.607644	817	0.248470	0.333000	0.363866	
814	0.250614	186	0.817204	1.607644	814	0.250614	0.356000	0.363674	
797	0.243413	203	0.778325	1.607644	797	0.243413	0.352000	0.363396	
832	0.222356	168	0.803571	1.607644	832	0.222356	0.320000	0.362387	
817	0.214198	183	0.628415	1.607644	817	0.214198	0.290000	0.360742	
823	0.266100	177	0.672316	1.607644	823	0.266100	0.338000	0.360236	
810	0.245679	190	0.657895	1.607644	810	0.245679	0.324000	0.359449	
813	0.247232	187	0.679144	1.607644	813	0.247232	0.328000	0.358780	
804	0.220149	196	0.714286	1.607644	804	0.220149	0.317000	0.357909	
