Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.977973	-1.977973
1	0.950747	750	-1.928305	-3.906278
2	0.926679	750	-1.902073	-5.808351
3	0.902980	750	-1.882590	-7.690941
4	0.879648	750	-1.877606	-9.568547
5	0.856682	750	-1.842251	-11.410797
6	0.834079	750	-1.803650	-13.214447
7	0.811838	750	-1.783806	-14.998253
8	0.789957	750	-1.757616	-16.755869
9	0.768433	750	-1.725659	-18.481528
10	0.747266	750	-1.691366	-20.172894
11	0.726452	750	-1.671794	-21.844688
12	0.705989	750	-1.632909	-23.477597
13	0.685877	750	-1.597953	-25.075550
14	0.666112	750	-1.589898	-26.665448
15	0.646693	750	-1.569669	-28.235117
16	0.627618	750	-1.528430	-29.763547
17	0.608884	750	-1.507352	-31.270899
18	0.590490	750	-1.495762	-32.766661
19	0.572433	750	-1.462141	-34.228803
20	0.554712	750	-1.433763	-35.662565
21	0.537324	750	-1.394194	-37.056759
22	0.520268	750	-1.389562	-38.446321
23	0.503540	750	-1.357730	-39.804051
24	0.487139	750	-1.331934	-41.135985
25	0.471063	750	-1.292338	-42.428324
26	0.455310	750	-1.288543	-43.716867
27	0.439877	750	-1.252239	-44.969106
28	0.424762	750	-1.228866	-46.197972
29	0.409963	750	-1.203807	-47.401779
30	0.395478	750	-1.182786	-48.584565
31	0.381305	750	-1.152913	-49.737479
32	0.367440	750	-1.135410	-50.872888
33	0.353883	750	-1.106773	-51.979661
34	0.340630	750	-1.099966	-53.079627
35	0.327680	750	-1.063521	-54.143149
36	0.315030	750	-1.045077	-55.188225
37	0.302677	750	-1.014251	-56.202476
38	0.290619	750	-1.002158	-57.204634
39	0.278855	750	-0.978336	-58.182970
40	0.267381	750	-0.963785	-59.146755
41	0.256195	750	-0.931734	-60.078489
42	0.245294	750	-0.910015	-60.988505
43	0.234677	750	-0.885705	-61.874210
44	0.224340	750	-0.860304	-62.734514
45	0.214281	750	-0.845625	-63.580139
46	0.204498	750	-0.822190	-64.402329
47	0.194988	750	-0.805119	-65.207448
48	0.185749	750	-0.776117	-65.983565
49	0.176777	750	-0.769536	-66.753101
50	0.168070	750	-0.745890	-67.498991
51	0.159626	750	-0.710583	-68.209574
52	0.151441	750	-0.700523	-68.910097
53	0.143514	750	-0.678950	-69.589047
54	0.135841	750	-0.658952	-70.247999
55	0.128420	750	-0.640438	-70.888437
56	0.121247	750	-0.614165	-71.502601
57	0.114320	750	-0.593016	-72.095617
58	0.107637	750	-0.592197	-72.687814
59	0.101193	750	-0.566437	-73.254251
60	0.094986	750	-0.552540	-73.806791
61	0.089014	750	-0.521309	-74.328100
62	0.083273	750	-0.508904	-74.837004
63	0.077760	750	-0.503187	-75.340191
64	0.072472	750	-0.486082	-75.826273
65	0.067406	750	-0.455910	-76.282183
66	0.062558	750	-0.435077	-76.717259
67	0.057926	750	-0.427169	-77.144428
68	0.053506	750	-0.410018	-77.554446
69	0.049295	750	-0.384459	-77.938905
70	0.045289	750	-0.389051	-78.327956
71	0.041485	750	-0.360342	-78.688298
72	0.037880	750	-0.347564	-79.035862
73	0.034469	750	-0.349601	-79.385463
74	0.031250	750	-0.312126	-79.697589
75	0.028218	750	-0.309832	-80.007421
76	0.025370	750	-0.286000	-80.293421
77	0.022702	750	-0.261451	-80.554872
78	0.020209	750	-0.258287	-80.813159
79	0.017889	750	-0.231734	-81.044893
80	0.015736	750	-0.216690	-81.261583
81	0.013746	750	-0.204132	-81.465715
82	0.011916	750	-0.204611	-81.670326
83	0.010240	750	-0.176511	-81.846837
84	0.008714	750	-0.161190	-82.008027
85	0.007334	750	-0.157114	-82.165141
86	0.006093	750	-0.136328	-82.301469
87	0.004988	750	-0.122647	-82.424116
88	0.004013	750	-0.112025	-82.536141
89	0.003162	750	-0.099094	-82.635235
90	0.002430	750	-0.085516	-82.720752
91	0.001810	750	-0.068298	-82.789050
92	0.001296	750	-0.066382	-82.855432
93	0.000882	750	-0.047948	-82.903381
94	0.000559	750	-0.036140	-82.939521
95	0.000320	750	-0.030079	-82.969600
96	0.000156	750	-0.020167	-82.989767
97	0.000057	750	-0.011972	-83.001739
98	0.000010	750	-0.005289	-83.007028
99	0.000000	750	-0.001158	-83.008186
Log marginal likelihood:	-83.008186
