Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.627298	-1.627298
1	0.950747	750	-1.604213	-3.231511
2	0.926679	750	-1.578554	-4.810065
3	0.902980	750	-1.555095	-6.365160
4	0.879648	750	-1.529388	-7.894548
5	0.856682	750	-1.503354	-9.397902
6	0.834079	750	-1.489543	-10.887444
7	0.811838	750	-1.463967	-12.351411
8	0.789957	750	-1.445820	-13.797231
9	0.768433	750	-1.419156	-15.216387
10	0.747266	750	-1.400724	-16.617111
11	0.726452	750	-1.372738	-17.989849
12	0.705989	750	-1.357788	-19.347637
13	0.685877	750	-1.324368	-20.672005
14	0.666112	750	-1.312984	-21.984989
15	0.646693	750	-1.281830	-23.266819
16	0.627618	750	-1.257222	-24.524041
17	0.608884	750	-1.234883	-25.758925
18	0.590490	750	-1.213886	-26.972811
19	0.572433	750	-1.194522	-28.167333
20	0.554712	750	-1.174130	-29.341463
21	0.537324	750	-1.156646	-30.498109
22	0.520268	750	-1.132315	-31.630424
23	0.503540	750	-1.115379	-32.745803
24	0.487139	750	-1.105788	-33.851591
25	0.471063	750	-1.075952	-34.927544
26	0.455310	750	-1.065622	-35.993166
27	0.439877	750	-1.032282	-37.025448
28	0.424762	750	-1.010333	-38.035781
29	0.409963	750	-0.996635	-39.032416
30	0.395478	750	-0.977901	-40.010317
31	0.381305	750	-0.952707	-40.963025
32	0.367440	750	-0.943487	-41.906511
33	0.353883	750	-0.913730	-42.820242
34	0.340630	750	-0.897354	-43.717596
35	0.327680	750	-0.885196	-44.602792
36	0.315030	750	-0.866516	-45.469308
37	0.302677	750	-0.848377	-46.317685
38	0.290619	750	-0.818660	-47.136345
39	0.278855	750	-0.802141	-47.938486
40	0.267381	750	-0.789922	-48.728409
41	0.256195	750	-0.779989	-49.508397
42	0.245294	750	-0.755755	-50.264153
43	0.234677	750	-0.739503	-51.003656
44	0.224340	750	-0.709504	-51.713160
45	0.214281	750	-0.705382	-52.418542
46	0.204498	750	-0.699730	-53.118272
47	0.194988	750	-0.680563	-53.798835
48	0.185749	750	-0.663179	-54.462014
49	0.176777	750	-0.633672	-55.095686
50	0.168070	750	-0.618666	-55.714353
51	0.159626	750	-0.596882	-56.311234
52	0.151441	750	-0.587973	-56.899207
53	0.143514	750	-0.565132	-57.464339
54	0.135841	750	-0.563147	-58.027486
55	0.128420	750	-0.542498	-58.569984
56	0.121247	750	-0.529723	-59.099708
57	0.114320	750	-0.514914	-59.614621
58	0.107637	750	-0.500062	-60.114683
59	0.101193	750	-0.481500	-60.596184
60	0.094986	750	-0.455332	-61.051516
61	0.089014	750	-0.440843	-61.492358
62	0.083273	750	-0.433353	-61.925711
63	0.077760	750	-0.420490	-62.346201
64	0.072472	750	-0.412960	-62.759162
65	0.067406	750	-0.390721	-63.149882
66	0.062558	750	-0.381801	-63.531683
67	0.057926	750	-0.366413	-63.898096
68	0.053506	750	-0.344399	-64.242495
69	0.049295	750	-0.337717	-64.580213
70	0.045289	750	-0.324899	-64.905112
71	0.041485	750	-0.305520	-65.210632
72	0.037880	750	-0.300448	-65.511080
73	0.034469	750	-0.291600	-65.802679
74	0.031250	750	-0.270490	-66.073169
75	0.028218	750	-0.263241	-66.336410
76	0.025370	750	-0.267641	-66.604051
77	0.022702	750	-0.244931	-66.848982
78	0.020209	750	-0.231033	-67.080015
79	0.017889	750	-0.213050	-67.293065
80	0.015736	750	-0.193593	-67.486658
81	0.013746	750	-0.180708	-67.667366
82	0.011916	750	-0.180526	-67.847892
83	0.010240	750	-0.170488	-68.018380
84	0.008714	750	-0.158468	-68.176848
85	0.007334	750	-0.134995	-68.311842
86	0.006093	750	-0.123908	-68.435750
87	0.004988	750	-0.122152	-68.557902
88	0.004013	750	-0.103819	-68.661721
89	0.003162	750	-0.086548	-68.748269
90	0.002430	750	-0.077727	-68.825996
91	0.001810	750	-0.066787	-68.892782
92	0.001296	750	-0.056147	-68.948930
93	0.000882	750	-0.053693	-69.002622
94	0.000559	750	-0.036711	-69.039334
95	0.000320	750	-0.028307	-69.067640
96	0.000156	750	-0.018061	-69.085702
97	0.000057	750	-0.012185	-69.097886
98	0.000010	750	-0.005537	-69.103424
99	0.000000	750	-0.001136	-69.104560
Log marginal likelihood:	-69.104560
