Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-omaha-patrilocal.strict.bttrees
Data File Name:                  ./data/bantu-omaha-patrilocal.strict.btdata
Log File Name:                   ./output/bantu-omaha-patrilocal.strict-indep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1869864833
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-omaha-patrilocal.strict-indep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.507246,0.376812,0.000000,0.115942)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.100855
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-68.679525	437	1.862917	10.604128	3.262697	3.541134	0.518489	0.368718	0.000000	0.112793	
12000	-69.530219	356	0.599090	3.534071	2.853172	3.028442	0.548321	0.375033	0.000000	0.076646	
13000	-70.883804	188	1.726820	10.731989	2.847088	2.802700	0.548562	0.345446	0.000000	0.105992	
14000	-69.231163	960	2.538064	18.073882	2.968358	4.626542	0.497964	0.383910	0.000000	0.118126	
15000	-70.315148	467	1.762371	9.091325	2.798398	1.597996	0.659294	0.261164	0.000000	0.079542	
16000	-68.992380	859	0.651747	7.397641	3.225175	3.264598	0.525973	0.363273	0.000000	0.110754	
17000	-69.650243	75	2.189825	17.513510	3.948191	2.679478	0.557148	0.338650	0.000000	0.104202	
18000	-70.600834	76	0.532659	0.092341	1.414174	1.494279	0.669465	0.330224	0.000000	0.000311	
19000	-71.488624	360	5.584896	28.158846	0.577491	3.820391	0.214322	0.600812	0.000000	0.184865	
20000	-70.276529	536	0.840173	1.601120	0.997195	1.979849	0.538593	0.422309	0.000000	0.039099	
21000	-68.414365	84	0.981799	9.265344	1.071964	3.187500	0.394114	0.463440	0.000000	0.142446	
22000	-71.179705	77	1.563991	14.590983	4.673230	7.251235	0.506736	0.377195	0.000000	0.116068	
23000	-67.782788	536	1.012806	7.889315	3.655623	3.897101	0.512870	0.374231	0.000000	0.112899	
24000	-68.238624	361	1.375057	9.293049	2.943161	3.619481	0.507524	0.377181	0.000000	0.115295	
25000	-70.662559	970	1.596899	10.565083	7.256036	8.622855	0.507463	0.377105	0.000000	0.115432	
26000	-69.775645	48	0.406504	0.558123	3.132229	1.981194	0.652476	0.342774	0.000000	0.004750	
27000	-71.386041	126	3.037851	25.217976	9.389614	8.175459	0.507264	0.376798	0.000000	0.115938	
28000	-67.934204	88	1.149619	10.342094	1.504882	3.038231	0.426938	0.438341	0.000000	0.134721	
29000	-69.074689	709	0.933381	7.417929	3.025374	4.815588	0.498563	0.386007	0.000000	0.115429	
30000	-68.495804	111	2.569440	15.701178	2.896057	3.063117	0.523875	0.364097	0.000000	0.112027	
31000	-70.184419	616	0.978687	3.728794	5.546476	5.994083	0.521540	0.387617	0.000000	0.090844	
32000	-69.634683	742	1.819510	10.314455	2.349798	3.964069	0.490861	0.389698	0.000000	0.119440	
33000	-67.845559	806	4.431160	33.483321	2.288847	3.679896	0.489072	0.390710	0.000000	0.120218	
34000	-70.138827	225	2.075765	21.172542	4.245227	4.051633	0.512484	0.372806	0.000000	0.114710	
35000	-72.412062	662	5.183387	48.048011	0.822741	1.190828	0.605295	0.301833	0.000000	0.092872	
36000	-69.617972	258	1.893119	16.832789	2.438433	4.260474	0.487786	0.391689	0.000000	0.120525	
37000	-70.357160	654	0.403290	4.016719	1.302336	3.505218	0.392782	0.485449	0.000000	0.121769	
