Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/uto-hawaiian-bi.linealdescent.bttrees
Data File Name:                  ./data/uto-hawaiian-bi.linealdescent.btdata
Log File Name:                   ./output/uto-hawaiian-bi.linealdescent-indep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            826073224
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/uto-hawaiian-bi.linealdescent-indep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.304348,0.000000,0.652174,0.043478)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.094955
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      800
     Taxa:                       23
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-18.707894	693	61.321052	17.621079	1.006740	44.872954	0.304349	0.000000	0.652176	0.043476	
12000	-20.780833	762	19.916405	11.487136	3.370549	11.368791	0.304338	0.000000	0.664398	0.031264	
13000	-21.362279	25	21.388104	6.738062	2.374145	6.149818	0.308153	0.000000	0.660300	0.031547	
14000	-19.132196	600	4.776567	4.685123	0.980682	16.175257	0.279895	0.000000	0.675410	0.044695	
15000	-18.777859	527	18.701827	9.097797	1.858250	15.529809	0.304420	0.000000	0.652352	0.043228	
16000	-19.234109	28	4.141242	1.449474	0.248639	16.629811	0.337686	0.000000	0.620992	0.041322	
17000	-19.685099	186	18.682852	17.141513	0.323729	6.622468	0.310386	0.000000	0.665309	0.024305	
18000	-18.526449	628	26.459200	11.647061	1.149527	12.211810	0.304594	0.000000	0.652701	0.042705	
19000	-20.550136	23	5.198445	6.037501	0.641738	6.348969	0.283613	0.000000	0.682907	0.033480	
20000	-18.388432	700	23.336375	12.190972	0.524404	6.891994	0.309398	0.000000	0.663038	0.027564	
21000	-24.318921	180	4.687638	8.324105	2.668476	9.465114	0.275846	0.000000	0.683770	0.040384	
22000	-18.297493	542	12.781308	4.057011	1.000774	21.219264	0.308885	0.000000	0.648031	0.043083	
23000	-20.389294	595	1.150902	2.620612	0.165471	22.492568	0.021535	0.000000	0.919505	0.058960	
24000	-18.720519	216	11.107279	6.465676	1.266645	16.333087	0.276577	0.000000	0.683782	0.039642	
25000	-24.181383	690	0.024721	1.678037	11.529423	24.387381	0.000068	0.000000	0.937442	0.062489	
26000	-18.678803	648	4.109077	1.848166	0.864475	40.171313	0.318662	0.000000	0.638758	0.042580	
27000	-20.393713	531	6.575646	2.371359	1.776619	11.475839	0.309858	0.000000	0.652055	0.038087	
28000	-21.560116	195	13.378720	5.805152	1.468734	2.826484	0.313397	0.000000	0.673256	0.013347	
29000	-18.847153	767	4.842346	4.012479	3.637889	25.239264	0.264851	0.000000	0.689240	0.045909	
30000	-19.408749	94	12.570461	3.261317	0.808372	10.158229	0.307680	0.000000	0.656312	0.036007	
31000	-18.317140	577	6.935437	4.076787	2.262506	21.924096	0.292721	0.000000	0.663112	0.044168	
32000	-19.997512	68	20.978773	4.063160	0.801929	10.804998	0.305445	0.000000	0.654420	0.040135	
33000	-19.614737	291	9.757935	7.712161	3.048555	27.308919	0.288465	0.000000	0.667212	0.044323	
34000	-18.142833	445	28.259244	14.116458	2.169715	27.138451	0.304325	0.000000	0.652406	0.043269	
35000	-20.045113	789	23.680141	16.963342	0.079373	18.115291	0.304428	0.000000	0.652349	0.043223	
36000	-19.693333	799	8.358837	3.947988	2.866771	16.174848	0.292288	0.000000	0.663950	0.043762	
37000	-18.121273	691	24.148351	12.756570	0.939113	36.352633	0.304345	0.000000	0.652177	0.043478	
38000	-21.547307	6	9.697178	2.104429	0.576807	2.897504	0.317290	0.000000	0.675363	0.007347	
39000	-18.506548	668	16.586310	9.737617	0.871987	10.064049	0.307047	0.000000	0.663259	0.029694	
40000	-18.871809	754	11.404572	5.341012	0.335940	13.297063	0.303906	0.000000	0.658125	0.037969	
41000	-19.466320	206	1.057254	1.400912	0.944659	2.684006	0.015420	0.000000	0.978479	0.006101	
42000	-20.488837	224	9.576989	2.335251	1.456310	7.640765	0.381293	0.000000	0.601004	0.017702	
43000	-18.472421	460	12.410531	8.207819	0.573136	13.733063	0.292870	0.000000	0.670028	0.037102	
44000	-19.203527	467	4.007577	3.916579	0.864689	8.395733	0.158717	0.000000	0.808930	0.032353	
45000	-20.851974	401	3.246889	2.095997	1.748476	6.909564	0.140200	0.000000	0.840831	0.018969	
46000	-24.030282	179	15.608368	9.926234	17.096448	32.819998	0.303083	0.000000	0.653361	0.043556	
47000	-19.080367	779	17.124099	15.762854	0.758024	9.632482	0.307477	0.000000	0.659453	0.033070	
48000	-18.172921	539	25.438171	15.032418	0.910659	31.054048	0.304344	0.000000	0.652189	0.043467	
49000	-19.683407	738	13.197803	3.191858	1.669384	29.647275	0.299371	0.000000	0.656929	0.043701	
50000	-19.406769	5	20.926351	11.399266	3.444555	19.303266	0.304355	0.000000	0.652286	0.043359	
51000	-18.929490	100	15.207730	6.531576	3.986544	26.484053	0.306558	0.000000	0.650138	0.043304	
52000	-19.540657	268	1.567096	2.706786	3.119792	52.147619	0.044832	0.000000	0.895470	0.059698	
53000	-20.816197	395	2.096676	3.516961	4.344037	30.943685	0.074565	0.000000	0.867610	0.057825	
54000	-18.852301	734	13.194603	7.900172	2.774545	23.400400	0.300707	0.000000	0.655789	0.043503	
55000	-18.431602	176	16.747974	11.942758	0.894683	12.798789	0.306499	0.000000	0.654906	0.038595	
56000	-19.991171	398	5.644096	2.578504	7.351739	38.405969	0.250206	0.000000	0.702935	0.046859	
57000	-19.029404	246	28.139263	16.686226	0.422377	40.914097	0.304346	0.000000	0.652177	0.043477	
58000	-18.681824	199	22.289079	14.300605	4.398066	40.811497	0.304344	0.000000	0.652178	0.043478	
