Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
810	0.259259	190	0.821053	2.210330	810	0.259259	0.366000	0.346878	
813	0.226322	187	0.823529	2.210330	813	0.226322	0.338000	0.346138	
800	0.257500	200	0.840000	2.210330	800	0.257500	0.374000	0.348281	
821	0.259440	179	0.810056	2.210330	821	0.259440	0.358000	0.348975	
828	0.252415	172	0.784884	2.210330	828	0.252415	0.344000	0.348643	
841	0.214031	159	0.842767	2.210330	841	0.214031	0.314000	0.346478	
808	0.219059	192	0.822917	2.210330	808	0.219059	0.335000	0.345803	
823	0.264885	177	0.841808	2.210330	823	0.264885	0.367000	0.346981	
821	0.249695	179	0.837989	2.210330	821	0.249695	0.355000	0.347403	
826	0.219128	174	0.850575	2.210330	826	0.219128	0.329000	0.346483	
835	0.210778	165	0.854545	2.210330	835	0.210778	0.317000	0.345079	
821	0.247259	179	0.782123	2.210330	821	0.247259	0.343000	0.344984	
811	0.210851	189	0.851852	2.210330	811	0.210851	0.332000	0.344420	
803	0.237858	197	0.822335	2.210330	803	0.237858	0.353000	0.344777	
831	0.267148	169	0.834320	2.210330	831	0.267148	0.363000	0.345506	
842	0.252969	158	0.835443	2.210330	842	0.252969	0.345000	0.345487	
816	0.283088	184	0.842391	2.210330	816	0.283088	0.386000	0.346987	
814	0.230958	186	0.806452	2.210330	814	0.230958	0.338000	0.346666	
790	0.265823	210	0.857143	2.210330	790	0.265823	0.390000	0.348160	
801	0.204744	199	0.899497	2.210330	801	0.204744	0.343000	0.347988	
805	0.202484	195	0.861538	2.210330	805	0.202484	0.331000	0.347440	
832	0.224760	168	0.886905	2.210330	832	0.224760	0.336000	0.347083	
798	0.182957	202	0.851485	2.210330	798	0.182957	0.318000	0.346202	
813	0.237392	187	0.850267	1.975234	813	0.237392	0.352000	0.346372	
807	0.249071	193	0.808290	1.975234	807	0.249071	0.357000	0.346676	
816	0.254902	184	0.804348	1.975234	816	0.254902	0.356000	0.346935	
820	0.258537	180	0.816667	1.975234	820	0.258537	0.359000	0.347261	
821	0.260658	179	0.837989	1.975234	821	0.260658	0.364000	0.347701	
811	0.260173	189	0.793651	1.975234	811	0.260173	0.361000	0.348042	
825	0.277576	175	0.857143	1.975234	825	0.277576	0.379000	0.348816	
811	0.294698	189	0.793651	1.975234	811	0.294698	0.389000	0.349796	
846	0.287234	154	0.818182	1.975234	846	0.287234	0.369000	0.350254	
793	0.287516	207	0.830918	1.975234	793	0.287516	0.400000	0.351410	
828	0.241546	172	0.848837	1.975234	828	0.241546	0.346000	0.351287	
828	0.253623	172	0.877907	1.975234	828	0.253623	0.361000	0.351503	
818	0.259169	182	0.774725	1.975234	818	0.259169	0.353000	0.351536	
800	0.261250	200	0.805000	1.975234	800	0.261250	0.370000	0.351929	
816	0.276961	184	0.798913	1.975234	816	0.276961	0.373000	0.352368	
805	0.278261	195	0.820513	1.975234	805	0.278261	0.384000	0.353013	
834	0.303357	166	0.801205	1.975234	834	0.303357	0.386000	0.353673	
813	0.285363	187	0.844920	1.975234	813	0.285363	0.390000	0.354385	
802	0.253117	198	0.833333	1.975234	802	0.253117	0.368000	0.354647	
810	0.300000	190	0.815789	1.975234	810	0.300000	0.398000	0.355465	
830	0.261446	170	0.829412	1.975234	830	0.261446	0.358000	0.355512	
831	0.249097	169	0.810651	1.975234	831	0.249097	0.344000	0.355303	
837	0.247312	163	0.809816	1.975234	837	0.247312	0.339000	0.355012	
811	0.286067	189	0.798942	1.975234	811	0.286067	0.383000	0.355503	
827	0.298670	173	0.774566	1.975234	827	0.298670	0.381000	0.355942	
820	0.274390	180	0.816667	1.975234	820	0.274390	0.372000	0.356214	
824	0.281553	176	0.755682	1.975234	824	0.281553	0.365000	0.356361	
812	0.253695	188	0.824468	1.975234	812	0.253695	0.361000	0.356437	
841	0.279429	159	0.805031	1.975234	841	0.279429	0.363000	0.356543	
830	0.237349	170	0.864706	1.975234	830	0.237349	0.344000	0.356344	
832	0.268029	168	0.863095	1.975234	832	0.268029	0.368000	0.356526	
796	0.281407	204	0.852941	1.975234	796	0.281407	0.398000	0.357164	
813	0.302583	187	0.818182	1.975234	813	0.302583	0.399000	0.357798	
812	0.252463	188	0.840426	1.975234	812	0.252463	0.363000	0.357875	
816	0.272059	184	0.815217	1.975234	816	0.272059	0.372000	0.358083	
836	0.277512	164	0.719512	1.975234	836	0.277512	0.350000	0.357966	
830	0.312048	170	0.876471	1.975234	830	0.312048	0.408000	0.358681	
814	0.318182	186	0.779570	1.975234	814	0.318182	0.404000	0.359319	
816	0.267157	184	0.711957	1.975234	816	0.267157	0.349000	0.359176	
856	0.247664	144	0.861111	1.975234	856	0.247664	0.336000	0.358858	
809	0.307787	191	0.774869	1.975234	809	0.307787	0.397000	0.359374	
825	0.300606	175	0.828571	1.975234	825	0.300606	0.393000	0.359822	
799	0.285357	201	0.781095	1.975234	799	0.285357	0.385000	0.360153	
