Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
814	0.187961	186	0.801075	2.247928	814	0.187961	0.302000	0.334242	
818	0.404645	182	0.791209	1.452387	818	0.404645	0.475000	0.345971	
796	0.174623	204	0.794118	2.576866	796	0.174623	0.301000	0.342512	
827	0.239420	173	0.791908	2.269925	827	0.239420	0.335000	0.341976	
820	0.189024	180	0.794444	2.269925	820	0.189024	0.298000	0.339044	
822	0.343066	178	0.780899	1.595101	822	0.343066	0.421000	0.344166	
823	0.360875	177	0.847458	1.595101	823	0.360875	0.447000	0.350215	
830	0.406024	170	0.776471	1.595101	830	0.406024	0.469000	0.356814	
828	0.169082	172	0.703488	2.593089	828	0.169082	0.261000	0.351771	
833	0.237695	167	0.772455	2.316043	833	0.237695	0.327000	0.350532	
815	0.188957	185	0.767568	2.316043	815	0.188957	0.296000	0.347936	
832	0.269231	168	0.815476	1.910512	832	0.269231	0.361000	0.348530	
821	0.291108	179	0.804469	1.910512	821	0.291108	0.383000	0.350028	
814	0.308354	186	0.844086	1.910512	814	0.308354	0.408000	0.352444	
820	0.303659	180	0.877778	1.910512	820	0.303659	0.407000	0.354626	
837	0.309438	163	0.828221	1.910512	837	0.309438	0.394000	0.356140	
810	0.309877	190	0.831579	1.910512	810	0.309877	0.409000	0.358098	
817	0.290086	183	0.814208	1.910512	817	0.290086	0.386000	0.359094	
839	0.313468	161	0.788820	1.910512	839	0.313468	0.390000	0.360160	
817	0.265606	183	0.781421	1.910512	817	0.265606	0.360000	0.360155	
806	0.291563	194	0.793814	1.910512	806	0.291563	0.389000	0.361085	
811	0.287300	189	0.682540	1.910512	811	0.287300	0.362000	0.361114	
807	0.302354	193	0.808290	1.910512	807	0.302354	0.400000	0.362292	
836	0.302632	164	0.743902	1.910512	836	0.302632	0.375000	0.362666	
825	0.315152	175	0.805714	1.910512	825	0.315152	0.401000	0.363761	
809	0.321384	191	0.717277	1.910512	809	0.321384	0.397000	0.364684	
809	0.262052	191	0.827225	1.910512	809	0.262052	0.370000	0.364828	
820	0.271951	180	0.861111	1.910512	820	0.271951	0.378000	0.365175	
834	0.297362	166	0.807229	1.910512	834	0.297362	0.382000	0.365606	
821	0.347138	179	0.754190	1.910512	821	0.347138	0.420000	0.366966	
804	0.300995	196	0.760204	1.910512	804	0.300995	0.391000	0.367552	
806	0.285360	194	0.804124	1.910512	806	0.285360	0.386000	0.367991	
821	0.276492	179	0.737430	1.910512	821	0.276492	0.359000	0.367782	
807	0.317224	193	0.761658	1.910512	807	0.317224	0.403000	0.368583	
817	0.317013	183	0.737705	1.910512	817	0.317013	0.394000	0.369147	
809	0.265760	191	0.769634	1.910512	809	0.265760	0.362000	0.368992	
813	0.287823	187	0.737968	1.910512	813	0.287823	0.372000	0.369056	
811	0.277435	189	0.788360	1.910512	811	0.277435	0.374000	0.369159	
803	0.280199	197	0.796954	1.910512	803	0.280199	0.382000	0.369421	
813	0.309963	187	0.818182	1.910512	813	0.309963	0.405000	0.370133	
822	0.332117	178	0.814607	1.910512	822	0.332117	0.418000	0.371071	
821	0.297199	179	0.782123	1.910512	821	0.297199	0.384000	0.371320	
813	0.293973	187	0.780749	1.910512	813	0.293973	0.385000	0.371578	
828	0.297101	172	0.761628	1.910512	828	0.297101	0.377000	0.371678	
811	0.270037	189	0.798942	1.910512	811	0.270037	0.370000	0.371648	
826	0.280872	174	0.798851	1.910512	826	0.280872	0.371000	0.371636	
828	0.315217	172	0.813953	1.910512	828	0.315217	0.401000	0.372151	
823	0.295261	177	0.774011	1.910512	823	0.295261	0.380000	0.372287	
821	0.334957	179	0.782123	1.910512	821	0.334957	0.415000	0.373011	
793	0.302648	207	0.777778	1.910512	793	0.302648	0.401000	0.373477	
801	0.282147	199	0.718593	1.910512	801	0.282147	0.369000	0.373404	
839	0.288439	161	0.770186	1.910512	839	0.288439	0.366000	0.373284	
804	0.288557	196	0.729592	1.910512	804	0.288557	0.375000	0.373312	
814	0.292383	186	0.790323	1.910512	814	0.292383	0.385000	0.373494	
821	0.295981	179	0.826816	1.910512	821	0.295981	0.391000	0.373763	
827	0.274486	173	0.757225	1.910512	827	0.274486	0.358000	0.373525	
806	0.260546	194	0.778351	1.910512	806	0.260546	0.361000	0.373338	
811	0.289766	189	0.793651	1.910512	811	0.289766	0.385000	0.373509	
835	0.287425	165	0.751515	1.910512	835	0.287425	0.364000	0.373371	
810	0.303704	190	0.726316	1.910512	810	0.303704	0.384000	0.373523	
808	0.305693	192	0.854167	1.910512	808	0.305693	0.411000	0.374051	
823	0.286756	177	0.847458	1.910512	823	0.286756	0.386000	0.374217	
839	0.278903	161	0.807453	1.910512	839	0.278903	0.364000	0.374077	
825	0.316364	175	0.788571	1.910512	825	0.316364	0.399000	0.374414	
803	0.327522	197	0.771574	1.910512	803	0.327522	0.415000	0.374955	
829	0.311218	171	0.824561	1.910512	829	0.311218	0.399000	0.375271	
806	0.297767	194	0.762887	1.910512	806	0.297767	0.388000	0.375437	
818	0.284841	182	0.813187	1.910512	818	0.284841	0.381000	0.375508	
795	0.277987	205	0.804878	1.910512	795	0.277987	0.386000	0.375641	
829	0.306393	171	0.649123	1.910512	829	0.306393	0.365000	0.375508	
833	0.296519	167	0.826347	1.910512	833	0.296519	0.385000	0.375625	
793	0.276166	207	0.743961	1.910512	793	0.276166	0.373000	0.375593	
825	0.309091	175	0.742857	1.910512	825	0.309091	0.385000	0.375706	
820	0.301220	180	0.788889	1.910512	820	0.301220	0.389000	0.375865	
806	0.267990	194	0.814433	1.910512	806	0.267990	0.374000	0.375843	
816	0.311275	184	0.853261	1.910512	816	0.311275	0.411000	0.376251	
801	0.275905	199	0.683417	1.910512	801	0.275905	0.357000	0.376030	
820	0.268293	180	0.822222	1.910512	820	0.268293	0.368000	0.375939	
788	0.272843	212	0.825472	1.910512	788	0.272843	0.390000	0.376097	
821	0.295981	179	0.810056	1.910512	821	0.295981	0.388000	0.376229	
810	0.274074	190	0.805263	1.910512	810	0.274074	0.375000	0.376216	
814	0.277641	186	0.763441	1.910512	814	0.277641	0.368000	0.376126	
781	0.306018	219	0.744292	1.910512	781	0.306018	0.402000	0.376405	
829	0.267793	171	0.789474	1.910512	829	0.267793	0.357000	0.376198	
820	0.293902	180	0.788889	1.910512	820	0.293902	0.383000	0.376270	
809	0.270705	191	0.785340	1.910512	809	0.270705	0.369000	0.376194	
816	0.316176	184	0.706522	1.910512	816	0.316176	0.388000	0.376316	
822	0.321168	178	0.814607	1.910512	822	0.321168	0.409000	0.376649	
816	0.311275	184	0.798913	1.910512	816	0.311275	0.401000	0.376895	
812	0.289409	188	0.792553	1.910512	812	0.289409	0.384000	0.376966	
821	0.308161	179	0.715084	1.910512	821	0.308161	0.381000	0.377006	
785	0.315924	215	0.795349	1.910512	785	0.315924	0.419000	0.377418	
803	0.283935	197	0.857868	1.910512	803	0.283935	0.397000	0.377608	
810	0.283951	190	0.784211	1.910512	810	0.283951	0.379000	0.377621	
826	0.313559	174	0.885057	1.910512	826	0.313559	0.413000	0.377958	
826	0.297821	174	0.833333	1.910512	826	0.297821	0.391000	0.378081	
823	0.281896	177	0.762712	1.910512	823	0.281896	0.367000	0.377978	
815	0.288344	185	0.810811	1.910512	815	0.288344	0.385000	0.378043	
832	0.268029	168	0.696429	1.910512	832	0.268029	0.340000	0.377694	
819	0.274725	181	0.773481	1.910512	819	0.274725	0.365000	0.377578	
832	0.287260	168	0.726190	1.910512	832	0.287260	0.361000	0.377429	
798	0.279449	202	0.757426	1.910512	798	0.279449	0.376000	0.377416	
812	0.294335	188	0.845745	1.910512	812	0.294335	0.398000	0.377598	
823	0.258809	177	0.717514	1.910512	823	0.258809	0.340000	0.377269	
796	0.291457	204	0.754902	1.910512	796	0.291457	0.386000	0.377345	
810	0.283951	190	0.789474	1.910512	810	0.283951	0.380000	0.377367	
820	0.320732	180	0.716667	1.910512	820	0.320732	0.392000	0.377493	
823	0.329283	177	0.774011	1.910512	823	0.329283	0.408000	0.377751	
827	0.274486	173	0.809249	1.910512	827	0.274486	0.367000	0.377661	
809	0.334981	191	0.806283	1.910512	809	0.334981	0.425000	0.378055	
812	0.302956	188	0.776596	1.910512	812	0.302956	0.392000	0.378170	
826	0.307506	174	0.839080	1.910512	826	0.307506	0.400000	0.378349	
823	0.279465	177	0.819209	1.910512	823	0.279465	0.375000	0.378322	
828	0.291063	172	0.796512	1.910512	828	0.291063	0.378000	0.378320	
810	0.295062	190	0.715789	1.910512	810	0.295062	0.375000	0.378293	
818	0.289731	182	0.807692	1.910512	818	0.289731	0.384000	0.378338	
815	0.298160	185	0.789189	1.910512	815	0.298160	0.389000	0.378422	
829	0.335344	171	0.812865	1.910512	829	0.335344	0.417000	0.378724	
805	0.253416	195	0.815385	1.910512	805	0.253416	0.363000	0.378602	
819	0.328449	181	0.784530	1.910512	819	0.328449	0.411000	0.378851	
824	0.282767	176	0.806818	1.910512	824	0.282767	0.375000	0.378822	
817	0.292534	183	0.770492	1.910512	817	0.292534	0.380000	0.378830	
816	0.248775	184	0.798913	1.910512	816	0.248775	0.350000	0.378614	
820	0.323171	180	0.805556	1.910512	820	0.323171	0.410000	0.378848	
824	0.296117	176	0.772727	1.910512	824	0.296117	0.380000	0.378856	
813	0.322263	187	0.812834	1.910512	813	0.322263	0.414000	0.379115	
806	0.302730	194	0.793814	1.910512	806	0.302730	0.398000	0.379253	
806	0.272953	194	0.793814	1.910512	806	0.272953	0.374000	0.379215	
816	0.258578	184	0.755435	1.910512	816	0.258578	0.350000	0.379004	
785	0.298089	215	0.781395	1.910512	785	0.298089	0.402000	0.379169	
815	0.273620	185	0.756757	1.910512	815	0.273620	0.363000	0.379054	
826	0.291768	174	0.741379	1.910512	826	0.291768	0.370000	0.378990	
796	0.256281	204	0.789216	1.910512	796	0.256281	0.365000	0.378892	
799	0.270338	201	0.800995	1.910512	799	0.270338	0.377000	0.378879	
815	0.283436	185	0.789189	1.910512	815	0.283436	0.377000	0.378866	
814	0.256757	186	0.784946	1.910512	814	0.256757	0.355000	0.378703	
820	0.250000	180	0.816667	1.910512	820	0.250000	0.352000	0.378521	
805	0.262112	195	0.815385	1.910512	805	0.262112	0.370000	0.378464	
823	0.324423	177	0.824859	1.910512	823	0.324423	0.413000	0.378695	
814	0.273956	186	0.779570	1.910512	814	0.273956	0.368000	0.378624	
830	0.277108	170	0.717647	1.910512	830	0.277108	0.352000	0.378448	
821	0.275274	179	0.776536	1.910512	821	0.275274	0.365000	0.378359	
812	0.277094	188	0.829787	1.910512	812	0.277094	0.381000	0.378377	
810	0.267901	190	0.863158	1.910512	810	0.267901	0.381000	0.378394	
812	0.304187	188	0.755319	1.910512	812	0.304187	0.389000	0.378462	
841	0.310345	159	0.867925	1.910512	841	0.310345	0.399000	0.378594	
819	0.321123	181	0.801105	1.910512	819	0.321123	0.408000	0.378781	
834	0.286571	166	0.765060	1.910512	834	0.286571	0.366000	0.378700	
821	0.277710	179	0.776536	1.910512	821	0.277710	0.367000	0.378627	
814	0.285012	186	0.806452	1.910512	814	0.285012	0.382000	0.378648	
829	0.301568	171	0.771930	1.910512	829	0.301568	0.382000	0.378668	
828	0.289855	172	0.790698	1.910512	828	0.289855	0.376000	0.378652	
817	0.348837	183	0.808743	1.910512	817	0.348837	0.433000	0.378985	
821	0.300853	179	0.748603	1.910512	821	0.300853	0.381000	0.378998	
790	0.321519	210	0.733333	1.910512	790	0.321519	0.408000	0.379173	
810	0.304938	190	0.784211	1.910512	810	0.304938	0.396000	0.379275	
815	0.317791	185	0.713514	1.910512	815	0.317791	0.391000	0.379345	
835	0.304192	165	0.781818	1.910512	835	0.304192	0.383000	0.379367	
812	0.288177	188	0.728723	1.910512	812	0.288177	0.371000	0.379317	
837	0.285544	163	0.840491	1.910512	837	0.285544	0.376000	0.379298	
803	0.261519	197	0.832487	1.910512	803	0.261519	0.374000	0.379267	
800	0.262500	200	0.720000	1.910512	800	0.262500	0.354000	0.379120	
812	0.285714	188	0.829787	1.910512	812	0.285714	0.388000	0.379171	
805	0.259627	195	0.805128	1.910512	805	0.259627	0.366000	0.379096	
801	0.298377	199	0.839196	1.910512	801	0.298377	0.406000	0.379249	
811	0.289766	189	0.820106	1.910512	811	0.289766	0.390000	0.379310	
815	0.274847	185	0.843243	1.910512	815	0.274847	0.380000	0.379314	
808	0.288366	192	0.807292	1.910512	808	0.288366	0.388000	0.379363	
830	0.316867	170	0.758824	1.910512	830	0.316867	0.392000	0.379434	
812	0.278325	188	0.792553	1.910512	812	0.278325	0.375000	0.379409	
810	0.259259	190	0.789474	1.910512	810	0.259259	0.360000	0.379302	
819	0.239316	181	0.850829	1.910512	819	0.239316	0.350000	0.379141	
800	0.273750	200	0.710000	1.910512	800	0.273750	0.361000	0.379042	
829	0.256936	171	0.789474	1.910512	829	0.256936	0.348000	0.378873	
794	0.297229	206	0.728155	1.910512	794	0.297229	0.386000	0.378911	
823	0.307412	177	0.745763	1.910512	823	0.307412	0.385000	0.378944	
