Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
823	0.428919	177	0.819209	1.534107	823	0.428919	0.498000	0.359240	
833	0.288115	167	0.856287	1.965335	833	0.288115	0.383000	0.361220	
858	0.264569	142	0.823944	1.965335	858	0.264569	0.344000	0.359895	
803	0.272727	197	0.802030	1.965335	803	0.272727	0.377000	0.361117	
836	0.302632	164	0.756098	1.965335	836	0.302632	0.377000	0.362176	
829	0.300362	171	0.725146	1.965335	829	0.300362	0.373000	0.362852	
812	0.294335	188	0.760638	1.965335	812	0.294335	0.382000	0.363979	
822	0.328467	178	0.735955	1.965335	822	0.328467	0.401000	0.366035	
814	0.282555	186	0.784946	1.965335	814	0.282555	0.376000	0.366560	
815	0.299387	185	0.762162	1.965335	815	0.299387	0.385000	0.367482	
805	0.284472	195	0.769231	1.965335	805	0.284472	0.379000	0.368030	
816	0.290441	184	0.733696	1.965335	816	0.290441	0.372000	0.368211	
807	0.268897	193	0.813472	1.965335	807	0.268897	0.374000	0.368462	
810	0.270370	190	0.868421	1.965335	810	0.270370	0.384000	0.369110	
805	0.327950	195	0.743590	1.965335	805	0.327950	0.409000	0.370705	
814	0.299754	186	0.752688	1.965335	814	0.299754	0.384000	0.371216	
813	0.279213	187	0.823529	1.965335	813	0.279213	0.381000	0.371579	
840	0.335714	160	0.706250	1.965335	840	0.335714	0.395000	0.372415	
798	0.295739	202	0.787129	1.965335	798	0.295739	0.395000	0.373194	
821	0.282582	179	0.793296	1.965335	821	0.282582	0.374000	0.373221	
798	0.280702	202	0.732673	1.965335	798	0.280702	0.372000	0.373182	
817	0.249694	183	0.770492	1.965335	817	0.249694	0.345000	0.372301	
792	0.304293	208	0.716346	1.965335	792	0.304293	0.390000	0.372837	
799	0.262829	201	0.820896	1.965335	799	0.262829	0.375000	0.372901	
812	0.300493	188	0.760638	1.965335	812	0.300493	0.387000	0.373304	
803	0.318804	197	0.766497	1.965335	803	0.318804	0.407000	0.374240	
809	0.279357	191	0.753927	1.965335	809	0.279357	0.370000	0.374125	
824	0.277913	176	0.750000	1.965335	824	0.277913	0.361000	0.373780	
820	0.254878	180	0.772222	1.965335	820	0.254878	0.348000	0.373119	
816	0.264706	184	0.739130	1.965335	816	0.264706	0.352000	0.372591	
811	0.274969	189	0.820106	1.965335	811	0.274969	0.378000	0.372723	
815	0.289571	185	0.783784	1.965335	815	0.289571	0.381000	0.372920	
812	0.266010	188	0.781915	1.965335	812	0.266010	0.363000	0.372689	
800	0.281250	200	0.785000	1.965335	800	0.281250	0.382000	0.372901	
813	0.253383	187	0.812834	1.965335	813	0.253383	0.358000	0.372569	
810	0.303704	190	0.747368	1.965335	810	0.303704	0.388000	0.372905	
841	0.322235	159	0.811321	1.965335	841	0.322235	0.400000	0.373481	
810	0.279012	190	0.805263	1.965335	810	0.279012	0.379000	0.373596	
799	0.294118	201	0.781095	1.965335	799	0.294118	0.392000	0.373972	
809	0.284302	191	0.643979	1.965335	809	0.284302	0.353000	0.373553	
818	0.299511	182	0.714286	1.965335	818	0.299511	0.375000	0.373581	
795	0.313208	205	0.736585	1.965335	795	0.313208	0.400000	0.374089	
818	0.284841	182	0.763736	1.965335	818	0.284841	0.372000	0.374050	
817	0.290086	183	0.737705	1.965335	817	0.290086	0.372000	0.374012	
817	0.294982	183	0.759563	1.965335	817	0.294982	0.380000	0.374120	
792	0.282828	208	0.778846	1.965335	792	0.282828	0.386000	0.374333	
835	0.274251	165	0.757576	1.965335	835	0.274251	0.354000	0.373976	
810	0.293827	190	0.684211	1.965335	810	0.293827	0.368000	0.373873	
813	0.268143	187	0.764706	1.965335	813	0.268143	0.361000	0.373655	
814	0.302211	186	0.817204	1.965335	814	0.302211	0.398000	0.374060	
822	0.302920	178	0.713483	1.965335	822	0.302920	0.376000	0.374092	
804	0.315920	196	0.760204	1.965335	804	0.315920	0.403000	0.374558	
814	0.278870	186	0.731183	1.965335	814	0.278870	0.363000	0.374375	
827	0.292624	173	0.797688	1.965335	827	0.292624	0.380000	0.374463	
803	0.300125	197	0.786802	1.965335	803	0.300125	0.396000	0.374794	
806	0.285360	194	0.773196	1.965335	806	0.285360	0.380000	0.374873	
801	0.252185	199	0.743719	1.965335	801	0.252185	0.350000	0.374502	
809	0.242274	191	0.832461	1.965335	809	0.242274	0.355000	0.374215	
814	0.269042	186	0.736559	1.965335	814	0.269042	0.356000	0.373951	
820	0.287805	180	0.777778	1.965335	820	0.287805	0.376000	0.373980	
825	0.292121	175	0.771429	1.965335	825	0.292121	0.376000	0.374009	
833	0.278511	167	0.778443	1.965335	833	0.278511	0.362000	0.373842	
812	0.240148	188	0.760638	1.965335	812	0.240148	0.338000	0.373351	
824	0.271845	176	0.801136	1.965335	824	0.271845	0.365000	0.373238	
831	0.305656	169	0.769231	1.965335	831	0.305656	0.384000	0.373382	
823	0.284326	177	0.807910	1.965335	823	0.284326	0.377000	0.373429	
822	0.232360	178	0.837079	1.965335	822	0.232360	0.340000	0.372995	
839	0.305125	161	0.807453	1.965335	839	0.305125	0.386000	0.373162	
832	0.312500	168	0.714286	1.965335	832	0.312500	0.380000	0.373248	
827	0.268440	173	0.797688	1.965335	827	0.268440	0.360000	0.373083	
