Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/uto-iroquois-uni.localresidence.bttrees
Data File Name:                  ./data/uto-iroquois-uni.localresidence.btdata
Log File Name:                   ./output/uto-iroquois-uni.localresidence-indep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1211851550
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/uto-iroquois-uni.localresidence-indep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.681818,0.136364,0.000000,0.181818)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.093651
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      800
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-26.787377	464	1.276959	3.196100	16.260783	18.998105	0.784851	0.156863	0.000000	0.058286	
12000	-25.011097	66	6.024210	12.480018	6.870447	12.669289	0.684736	0.135917	0.000000	0.179347	
13000	-25.212941	471	2.786311	5.728411	6.788394	11.085226	0.789903	0.136072	0.000000	0.074025	
14000	-25.587450	608	7.707104	32.248795	4.342311	19.904442	0.682330	0.136147	0.000000	0.181523	
15000	-26.498159	607	6.650617	11.484222	18.762283	26.336760	0.681885	0.136377	0.000000	0.181738	
16000	-25.209085	763	4.208175	18.228252	15.784317	21.154622	0.684885	0.136748	0.000000	0.178367	
17000	-27.582973	306	8.989121	36.360627	13.382941	8.777826	0.695254	0.130616	0.000000	0.174129	
18000	-24.258839	435	4.916545	18.304592	8.209858	17.432230	0.681842	0.136361	0.000000	0.181796	
19000	-27.130922	191	1.103186	11.171070	11.387072	16.505125	0.729707	0.140878	0.000000	0.129415	
20000	-25.337676	728	5.007834	21.507696	10.372971	23.552170	0.683231	0.136362	0.000000	0.180408	
21000	-25.646022	679	4.927921	18.073479	5.127482	19.491839	0.682076	0.136349	0.000000	0.181575	
22000	-25.448746	442	3.500027	9.373145	12.701126	13.227574	0.689116	0.137591	0.000000	0.173293	
23000	-24.826870	198	4.242652	24.317123	9.631197	14.817532	0.681863	0.136345	0.000000	0.181792	
24000	-31.612673	34	7.152385	10.396770	0.911284	0.160599	0.998232	0.000772	0.000000	0.000996	
25000	-25.855938	83	6.004641	34.476879	34.058630	32.953103	0.681819	0.136364	0.000000	0.181817	
26000	-24.960101	57	12.086642	34.472759	9.134200	31.413698	0.681831	0.136359	0.000000	0.181810	
27000	-24.774364	676	4.618979	15.915705	15.716532	39.679525	0.681694	0.136339	0.000000	0.181967	
28000	-25.330198	268	3.716807	18.422435	4.900075	15.620800	0.686560	0.135052	0.000000	0.178388	
29000	-25.653639	587	3.734460	15.994121	6.664590	16.442275	0.686561	0.135939	0.000000	0.177500	
30000	-24.304712	677	12.438680	31.431022	12.790785	24.781002	0.681831	0.136359	0.000000	0.181810	
31000	-25.298632	520	7.211438	13.392461	11.229222	31.732762	0.683697	0.136736	0.000000	0.179566	
32000	-26.951854	493	1.109095	4.644384	5.978739	12.341603	0.780151	0.145111	0.000000	0.074737	
33000	-25.752255	614	6.700806	16.785392	6.569213	8.159789	0.686213	0.134517	0.000000	0.179270	
34000	-24.993215	646	3.828261	27.053083	32.331899	34.670742	0.681941	0.136388	0.000000	0.181671	
35000	-26.604984	76	0.459290	2.976669	17.395901	42.841886	0.753714	0.150743	0.000000	0.095544	
36000	-27.385052	21	0.810293	2.892224	2.315739	5.476519	0.874620	0.094279	0.000000	0.031101	
37000	-26.044659	681	3.129300	35.735956	8.704505	27.501357	0.681832	0.136359	0.000000	0.181809	
38000	-24.478283	605	7.653232	22.693911	18.114072	26.725566	0.681862	0.136371	0.000000	0.181767	
39000	-26.033827	372	1.912614	11.215219	5.156913	6.861923	0.813073	0.092308	0.000000	0.094619	
40000	-25.433774	199	3.112553	14.924519	30.951939	32.818816	0.682493	0.136499	0.000000	0.181008	
41000	-28.232376	325	4.767464	26.646183	4.969118	3.847657	0.779720	0.094421	0.000000	0.125858	
42000	-25.161137	209	16.253613	51.301524	8.445412	9.771081	0.686053	0.134549	0.000000	0.179398	
43000	-26.043908	552	5.182530	14.558013	5.654744	24.594627	0.683018	0.136552	0.000000	0.180430	
44000	-26.543260	637	1.969125	14.433613	10.662744	10.340788	0.689567	0.135567	0.000000	0.174866	
45000	-24.438205	4	2.786620	18.127330	8.673647	17.275738	0.689247	0.135494	0.000000	0.175259	
46000	-24.836959	666	3.807225	24.398119	9.864115	19.918561	0.685160	0.135673	0.000000	0.179167	
47000	-26.635920	431	1.856301	7.247197	4.996134	9.793257	0.691702	0.137164	0.000000	0.171134	
48000	-24.039955	517	5.981757	27.944789	11.692940	23.186010	0.681866	0.136354	0.000000	0.181780	
49000	-27.823372	528	7.710179	9.230959	7.461309	13.344095	0.695464	0.136209	0.000000	0.168327	
50000	-26.877710	96	1.307754	9.316498	13.527809	15.647922	0.709389	0.140643	0.000000	0.149967	
51000	-26.163617	647	5.062097	12.354399	5.232102	20.934768	0.687772	0.137145	0.000000	0.175083	
52000	-27.256867	186	5.184555	19.028166	14.495311	10.303481	0.684520	0.135639	0.000000	0.179841	
53000	-26.333222	383	10.846657	24.950547	6.068799	25.394811	0.682500	0.136159	0.000000	0.181341	
54000	-25.015039	537	8.990421	26.349064	11.105259	24.460824	0.681860	0.136355	0.000000	0.181785	
55000	-25.400741	19	9.032319	22.563971	6.085152	12.334046	0.683955	0.135465	0.000000	0.180580	
56000	-25.129098	172	2.466727	8.527782	5.642593	11.740352	0.708396	0.137110	0.000000	0.154494	
57000	-24.946638	648	5.637496	21.815190	6.949686	12.403163	0.688425	0.133774	0.000000	0.177801	
58000	-27.640107	220	1.968522	6.312787	21.169105	15.788344	0.697709	0.139531	0.000000	0.162760	
59000	-25.848102	483	1.175860	8.871229	17.802456	37.294690	0.691584	0.138316	0.000000	0.170100	
60000	-24.624514	48	6.182427	19.271205	9.175740	15.842728	0.682520	0.136188	0.000000	0.181291	
61000	-25.222503	42	1.345007	4.412642	14.586986	23.521196	0.740223	0.148021	0.000000	0.111756	
62000	-25.425869	36	4.383489	11.113973	10.181007	14.013968	0.689264	0.137159	0.000000	0.173577	
63000	-24.383218	517	4.547010	15.946612	10.911325	17.231369	0.683004	0.136449	0.000000	0.180548	
64000	-24.387771	240	3.551005	18.306813	16.359912	24.849027	0.685014	0.136938	0.000000	0.178049	
65000	-24.776669	674	8.770207	28.288393	9.082985	16.397347	0.682016	0.136280	0.000000	0.181704	
66000	-24.129418	558	4.765027	21.454230	17.134771	37.273149	0.682445	0.136487	0.000000	0.181068	
67000	-24.589739	405	6.324807	37.367829	6.261986	10.389590	0.702924	0.127329	0.000000	0.169747	
68000	-24.444310	679	4.030257	20.087409	12.104499	20.232352	0.681904	0.136367	0.000000	0.181729	
69000	-26.989749	640	0.999537	16.881910	7.065524	14.977791	0.685842	0.135859	0.000000	0.178299	
70000	-30.463581	81	5.275205	6.407126	3.418210	4.028744	0.748519	0.114248	0.000000	0.137233	
71000	-25.049924	268	7.059870	21.372664	5.640072	15.873233	0.684907	0.135189	0.000000	0.179904	
72000	-24.922111	39	14.508271	28.773456	11.779046	27.045794	0.681818	0.136364	0.000000	0.181818	
73000	-25.263733	284	5.466459	28.533574	21.393807	24.093391	0.681659	0.136200	0.000000	0.182142	
74000	-25.274856	699	3.129507	20.263836	10.247848	24.386663	0.689019	0.136422	0.000000	0.174560	
75000	-24.456335	41	5.718487	43.643210	11.558857	24.102665	0.681862	0.136345	0.000000	0.181793	
