Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/austronesian-crow-matrilocal.strict.bttrees
Data File Name:                  ./data/austronesian-crow-matrilocal.strict.btdata
Log File Name:                   ./output/austronesian-crow-matrilocal.strict-indep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            529311077
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/austronesian-crow-matrilocal.strict-indep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.845238,0.083333,0.035714,0.035714)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000085
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       84
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-43.275475	379	3.449469	47.851483	0.478508	10.105459	0.815771	0.104832	0.034469	0.044928	
12000	-41.045038	252	0.490069	10.499695	0.658698	2.471817	0.930812	0.006682	0.058264	0.004242	
13000	-43.852742	700	1.099051	35.169472	0.866248	4.024290	0.914908	0.032503	0.038658	0.013930	
14000	-42.140554	160	2.514531	47.078841	0.356491	4.166427	0.875077	0.061563	0.036975	0.026384	
15000	-42.338552	832	1.051219	12.736031	0.359431	0.830555	0.956001	0.002516	0.040404	0.001079	
16000	-42.174549	920	0.537399	13.411688	0.346528	7.994448	0.718105	0.154786	0.039893	0.087217	
17000	-45.412532	388	0.235751	6.620493	0.904036	5.489466	0.881025	0.046719	0.046985	0.025271	
18000	-42.590935	727	1.546606	23.558184	0.198913	4.992192	0.802984	0.114154	0.033933	0.048929	
19000	-44.219792	278	0.607809	9.839475	0.607498	7.885607	0.838914	0.083270	0.038777	0.039039	
20000	-42.427900	875	4.288796	41.237807	0.731903	5.184962	0.892485	0.048863	0.037711	0.020941	
21000	-42.376112	115	2.405110	25.466540	0.332668	1.566479	0.952477	0.005096	0.040243	0.002184	
22000	-45.309808	73	3.033132	20.193792	0.711110	11.201010	0.831665	0.093293	0.035103	0.039940	
23000	-41.996607	928	1.921806	23.735474	0.508576	2.693552	0.932144	0.019929	0.039386	0.008541	
24000	-42.679793	176	3.638169	30.293304	0.206638	2.881453	0.912329	0.034385	0.038549	0.014736	
25000	-41.078211	538	3.761063	33.104707	0.401367	5.855578	0.872336	0.063565	0.036858	0.027241	
26000	-42.902824	390	2.984351	32.196717	0.905787	7.191194	0.874159	0.062233	0.036936	0.026671	
27000	-41.451750	538	0.727958	13.454846	0.631984	9.466553	0.800944	0.106817	0.039206	0.053033	
28000	-41.346545	307	3.058709	54.574110	0.467921	5.514300	0.877452	0.059831	0.037075	0.025642	
