Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
826	0.341404	174	0.770115	1.318072	826	0.341404	0.416000	0.387502	
833	0.328932	167	0.790419	1.318072	833	0.328932	0.406000	0.387858	
829	0.328106	171	0.707602	1.318072	829	0.328106	0.393000	0.387955	
831	0.316486	169	0.757396	1.318072	831	0.316486	0.391000	0.388011	
813	0.355474	187	0.791444	1.318072	813	0.355474	0.437000	0.388902	
815	0.332515	185	0.800000	1.318072	815	0.332515	0.419000	0.389439	
837	0.320191	163	0.840491	1.318072	837	0.320191	0.405000	0.389712	
836	0.337321	164	0.786585	1.318072	836	0.337321	0.411000	0.390079	
825	0.316364	175	0.765714	1.318072	825	0.316364	0.395000	0.390163	
844	0.332938	156	0.750000	1.318072	844	0.332938	0.398000	0.390293	
837	0.303465	163	0.834356	1.318072	837	0.303465	0.390000	0.390289	
827	0.332527	173	0.763006	1.318072	827	0.332527	0.407000	0.390558	
833	0.342137	167	0.802395	1.318072	833	0.342137	0.419000	0.391010	
816	0.343137	184	0.739130	1.318072	816	0.343137	0.416000	0.391400	
818	0.303178	182	0.818681	1.318072	818	0.303178	0.397000	0.391486	
816	0.319853	184	0.798913	1.318072	816	0.319853	0.408000	0.391736	
825	0.309091	175	0.794286	1.318072	825	0.309091	0.394000	0.391770	
818	0.342298	182	0.774725	1.318072	818	0.342298	0.421000	0.392200	
829	0.348613	171	0.836257	1.318072	829	0.348613	0.432000	0.392777	
812	0.366995	188	0.744681	1.318072	812	0.366995	0.438000	0.393423	
834	0.311751	166	0.746988	1.318072	834	0.311751	0.384000	0.393290	
815	0.307975	185	0.751351	1.318072	815	0.307975	0.390000	0.393245	
806	0.348635	194	0.711340	1.318072	806	0.348635	0.419000	0.393597	
821	0.349574	179	0.731844	1.318072	821	0.349574	0.418000	0.393927	
844	0.310427	156	0.685897	1.318072	844	0.310427	0.369000	0.393595	
849	0.305065	151	0.721854	1.318072	849	0.305065	0.368000	0.393258	
816	0.357843	184	0.750000	1.318072	816	0.357843	0.430000	0.393735	
818	0.308068	182	0.807692	1.318072	818	0.308068	0.399000	0.393803	
821	0.304507	179	0.737430	1.318072	821	0.304507	0.382000	0.393653	
825	0.329697	175	0.834286	1.318072	825	0.329697	0.418000	0.393958	
827	0.290206	173	0.745665	1.318072	827	0.290206	0.369000	0.393649	
830	0.316867	170	0.800000	1.318072	830	0.316867	0.399000	0.393715	
839	0.293206	161	0.720497	1.318072	839	0.293206	0.362000	0.393333	
834	0.303357	166	0.825301	1.318072	834	0.303357	0.390000	0.393293	
851	0.303173	149	0.838926	1.318072	851	0.303173	0.383000	0.393172	
832	0.319712	168	0.803571	1.318072	832	0.319712	0.401000	0.393263	
830	0.340964	170	0.847059	1.318072	830	0.340964	0.427000	0.393651	
836	0.344498	164	0.743902	1.318072	836	0.344498	0.410000	0.393836	
832	0.330529	168	0.797619	1.318072	832	0.330529	0.409000	0.394007	
820	0.335366	180	0.855556	1.318072	820	0.335366	0.429000	0.394396	
847	0.340024	153	0.830065	1.318072	847	0.340024	0.415000	0.394622	
819	0.333333	181	0.701657	1.318072	819	0.333333	0.400000	0.394680	
844	0.303318	156	0.775641	1.318072	844	0.303318	0.377000	0.394490	
828	0.307971	172	0.808140	1.318072	828	0.307971	0.394000	0.394485	
824	0.317961	176	0.715909	1.318072	824	0.317961	0.388000	0.394417	
813	0.309963	187	0.721925	1.318072	813	0.309963	0.387000	0.394340	
829	0.326900	171	0.836257	1.318072	829	0.326900	0.414000	0.394542	
838	0.311456	162	0.814815	1.318072	838	0.311456	0.393000	0.394527	
837	0.329749	163	0.828221	1.318072	837	0.329749	0.411000	0.394693	
840	0.288095	160	0.775000	1.318072	840	0.288095	0.366000	0.394406	
844	0.327014	156	0.762821	1.318072	844	0.327014	0.395000	0.394412	
835	0.306587	165	0.739394	1.318072	835	0.306587	0.378000	0.394251	
836	0.302632	164	0.823171	1.318072	836	0.302632	0.388000	0.394190	
820	0.298780	180	0.838889	1.318072	820	0.298780	0.396000	0.394208	
826	0.354722	174	0.793103	1.318072	826	0.354722	0.431000	0.394558	
824	0.315534	176	0.732955	1.318072	824	0.315534	0.389000	0.394506	
846	0.303783	154	0.681818	1.318072	846	0.303783	0.362000	0.394202	
820	0.330488	180	0.772222	1.318072	820	0.330488	0.410000	0.394348	
828	0.340580	172	0.738372	1.318072	828	0.340580	0.409000	0.394483	
832	0.313702	168	0.755952	1.318072	832	0.313702	0.388000	0.394424	
