Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/austronesian-hawaiian-bi.localresidence.bttrees
Data File Name:                  ./data/austronesian-hawaiian-bi.localresidence.btdata
Log File Name:                   ./output/austronesian-hawaiian-bi.localresidence-indep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1893169099
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-hawaiian-bi.localresidence-indep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.357143,0.071429,0.488095,0.083333)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000085
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       84
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-94.816990	299	2	0	'0 0 1 0 	18.420858	18.420858	3.618201	18.420858	0.357163	0.071407	0.488123	0.083308	
12000	-96.139637	524	2	0	'0 0 1 0 	18.679106	18.679106	1.887483	18.679106	0.356823	0.071778	0.487658	0.083741	
13000	-94.540207	962	2	0	'0 0 1 0 	39.772599	39.772599	7.435296	39.772599	0.357143	0.071429	0.488095	0.083333	
14000	-95.065078	965	2	0	'0 0 1 0 	8.922905	8.922905	1.849005	8.922905	0.366811	0.060839	0.501363	0.070987	
15000	-93.978376	538	2	0	'0 0 1 0 	25.612748	25.612748	4.030329	25.612748	0.357144	0.071427	0.488097	0.083332	
16000	-93.754056	872	2	0	'1 1 1 0 	4.788058	4.788058	4.788058	19.062982	0.366965	0.073338	0.478127	0.081570	
17000	-93.769582	52	2	0	'1 1 1 0 	4.380374	4.380374	4.380374	28.619231	0.371187	0.074238	0.473700	0.080876	
18000	-92.767292	210	2	0	'1 1 1 0 	4.579231	4.579231	4.579231	25.670962	0.369481	0.073896	0.475450	0.081173	
19000	-95.019417	326	2	0	'1 1 1 0 	3.378050	3.378050	3.378050	14.628646	0.395944	0.078491	0.449498	0.076067	
20000	-93.555904	700	2	0	'1 1 1 0 	3.408557	3.408557	3.408557	16.933287	0.389781	0.077859	0.454806	0.077553	
