Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/austronesian-iroquois-high.polygyny.bttrees
Data File Name:                  ./data/austronesian-iroquois-high.polygyny.btdata
Log File Name:                   ./output/austronesian-iroquois-high.polygyny-indep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            168556779
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-iroquois-high.polygyny-indep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.762500,0.087500,0.100000,0.050000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000086
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       80
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-66.770698	573	1	0	'0 0 0 0 	0.876768	0.876768	0.876768	0.876768	0.998007	0.000928	0.001061	0.000004	
12000	-67.371845	779	1	0	'0 0 0 0 	0.994988	0.994988	0.994988	0.994988	0.999256	0.000347	0.000396	0.000001	
13000	-65.930644	156	1	0	'0 0 0 0 	0.795834	0.795834	0.795834	0.795834	0.997627	0.001105	0.001262	0.000006	
14000	-66.421113	659	1	0	'0 0 0 0 	1.087362	1.087362	1.087362	1.087362	0.999184	0.000380	0.000435	0.000001	
15000	-67.325865	366	1	0	'0 0 0 0 	0.924734	0.924734	0.924734	0.924734	0.999170	0.000387	0.000442	0.000001	
16000	-66.566515	480	1	0	'0 0 0 0 	0.915763	0.915763	0.915763	0.915763	0.999596	0.000189	0.000216	0.000000	
17000	-65.751354	416	1	0	'0 0 0 0 	0.725998	0.725998	0.725998	0.725998	0.996969	0.001410	0.001611	0.000010	
18000	-69.277206	955	1	0	'0 0 0 0 	1.437928	1.437928	1.437928	1.437928	0.987068	0.005952	0.006802	0.000179	
19000	-65.676525	588	1	0	'0 0 0 0 	0.873546	0.873546	0.873546	0.873546	0.996324	0.001709	0.001953	0.000015	
20000	-66.140033	397	1	0	'0 0 0 0 	1.011855	1.011855	1.011855	1.011855	0.997720	0.001061	0.001213	0.000006	
21000	-65.918103	615	1	0	'0 0 0 0 	0.665669	0.665669	0.665669	0.665669	0.999134	0.000404	0.000461	0.000001	
22000	-66.439172	782	1	0	'0 0 0 0 	0.951406	0.951406	0.951406	0.951406	0.995209	0.002224	0.002542	0.000025	
23000	-66.219632	80	1	0	'0 0 0 0 	1.209586	1.209586	1.209586	1.209586	0.998256	0.000812	0.000928	0.000003	
24000	-66.251682	359	1	0	'0 0 0 0 	0.832558	0.832558	0.832558	0.832558	0.998798	0.000560	0.000640	0.000002	
25000	-67.124003	839	1	0	'0 0 0 0 	0.560192	0.560192	0.560192	0.560192	0.998658	0.000625	0.000715	0.000002	
26000	-66.120497	801	1	0	'0 0 0 0 	0.867221	0.867221	0.867221	0.867221	0.998810	0.000555	0.000634	0.000002	
27000	-66.689821	879	1	0	'0 0 0 0 	0.734414	0.734414	0.734414	0.734414	0.999464	0.000250	0.000286	0.000000	
28000	-65.674502	906	1	0	'0 0 0 0 	0.788020	0.788020	0.788020	0.788020	0.999659	0.000159	0.000182	0.000000	
29000	-67.896643	834	1	0	'0 0 0 0 	1.285337	1.285337	1.285337	1.285337	0.997849	0.001002	0.001145	0.000005	
30000	-66.739793	738	1	0	'0 0 0 0 	0.634308	0.634308	0.634308	0.634308	0.998555	0.000673	0.000770	0.000002	
31000	-67.081994	412	1	0	'0 0 0 0 	0.520777	0.520777	0.520777	0.520777	0.999898	0.000048	0.000054	0.000000	
32000	-66.463128	596	1	0	'0 0 0 0 	0.763681	0.763681	0.763681	0.763681	0.998150	0.000861	0.000985	0.000004	
33000	-66.966948	175	1	0	'0 0 0 0 	1.014054	1.014054	1.014054	1.014054	0.995349	0.002160	0.002468	0.000023	
34000	-66.178776	836	1	0	'0 0 0 0 	0.905277	0.905277	0.905277	0.905277	0.998914	0.000506	0.000578	0.000001	
35000	-66.401720	277	1	0	'0 0 0 0 	0.946144	0.946144	0.946144	0.946144	0.999102	0.000419	0.000479	0.000001	
36000	-66.184677	584	1	0	'0 0 0 0 	0.901641	0.901641	0.901641	0.901641	0.994711	0.002454	0.002805	0.000030	
37000	-66.825786	684	1	0	'0 0 0 0 	0.923875	0.923875	0.923875	0.923875	0.996990	0.001400	0.001600	0.000010	
38000	-66.633986	342	1	0	'0 0 0 0 	0.648700	0.648700	0.648700	0.648700	0.999778	0.000103	0.000118	0.000000	
