Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/austronesian-iroquois-uni.localresidence.bttrees
Data File Name:                  ./data/austronesian-iroquois-uni.localresidence.btdata
Log File Name:                   ./output/austronesian-iroquois-uni.localresidence-indep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4150491628
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-iroquois-uni.localresidence-indep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.488095,0.345238,0.047619,0.119048)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000085
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       84
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-86.959278	890	2	0	'0 1 1 1 	1.208803	2.998955	2.998955	2.998955	0.492087	0.471850	0.008216	0.027846	
12000	-89.421385	928	2	0	'1 0 0 0 	1.698599	5.588888	5.588888	5.588888	0.501654	0.367729	0.036375	0.094243	
13000	-94.216819	673	1	0	'0 0 0 0 	0.877201	0.877201	0.877201	0.877201	0.634602	0.363670	0.000571	0.001157	
14000	-87.148844	774	2	0	'1 0 0 0 	0.389476	4.993332	4.993332	4.993332	0.303551	0.233665	0.124379	0.338405	
15000	-91.178167	305	1	0	'0 0 0 0 	1.742363	1.742363	1.742363	1.742363	0.454331	0.535002	0.002066	0.008600	
16000	-91.892917	663	1	0	'0 0 0 0 	1.193186	1.193186	1.193186	1.193186	0.495687	0.500029	0.000938	0.003346	
17000	-90.610065	202	1	0	'0 0 0 0 	1.246112	1.246112	1.246112	1.246112	0.494575	0.504313	0.000242	0.000871	
18000	-87.602356	250	2	0	'0 1 1 1 	1.047820	3.730483	3.730483	3.730483	0.478018	0.445848	0.017719	0.058414	
19000	-92.052232	949	1	0	'0 0 0 0 	1.855378	1.855378	1.855378	1.855378	0.441577	0.548962	0.001754	0.007707	
20000	-91.936590	152	1	0	'0 0 0 0 	1.134694	1.134694	1.134694	1.134694	0.593658	0.404942	0.000411	0.000990	
21000	-89.821836	229	2	0	'1 0 0 0 	1.893295	2.882523	2.882523	2.882523	0.459428	0.507488	0.006746	0.026338	
22000	-88.795888	357	2	0	'1 0 0 0 	0.359268	5.509470	5.509470	5.509470	0.269321	0.198609	0.147531	0.384538	
23000	-90.752270	660	1	0	'0 0 0 0 	1.814360	1.814360	1.814360	1.814360	0.462791	0.528694	0.001690	0.006825	
24000	-91.544859	159	1	0	'0 0 0 0 	1.872954	1.872954	1.872954	1.872954	0.448264	0.545753	0.001128	0.004855	
25000	-91.603059	256	1	0	'0 0 0 0 	1.626035	1.626035	1.626035	1.626035	0.460439	0.527128	0.002464	0.009969	
26000	-90.562419	953	1	0	'0 0 0 0 	1.650539	1.650539	1.650539	1.650539	0.410751	0.581764	0.001246	0.006239	
