Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
723	0.344398	139	0.057554	138	0.492754	2.062819	723	0.344398	0.325000	0.292882	
722	0.336565	133	0.045113	145	0.393103	2.062819	722	0.336565	0.306000	0.293976	
717	0.362622	107	0.056075	176	0.522727	2.062819	717	0.362622	0.358000	0.298900	
714	0.295518	135	0.044444	151	0.311258	2.062819	714	0.295518	0.264000	0.296407	
724	0.399171	119	0.084034	157	0.579618	2.062819	724	0.399171	0.390000	0.302646	
718	0.409471	134	0.029851	148	0.662162	2.062819	718	0.409471	0.396000	0.308481	
730	0.309589	108	0.037037	162	0.617284	2.315862	730	0.309589	0.330000	0.309746	
715	0.274126	135	0.000000	150	0.580000	2.315862	715	0.274126	0.283000	0.308261	
744	0.232527	116	0.000000	140	0.621429	2.315862	744	0.232527	0.260000	0.305721	
711	0.237693	131	0.000000	158	0.544304	2.315862	711	0.237693	0.255000	0.303185	
708	0.240113	132	0.000000	160	0.506250	2.315862	708	0.240113	0.251000	0.300700	
701	0.243937	137	0.000000	162	0.475309	2.315862	701	0.243937	0.248000	0.298305	
705	0.226950	142	0.000000	153	0.529412	2.315862	705	0.226950	0.241000	0.295813	
746	0.246649	106	0.018868	148	0.513514	2.315862	746	0.246649	0.262000	0.294404	
725	0.245517	144	0.000000	131	0.473282	2.315862	725	0.245517	0.240000	0.292228	
732	0.266393	138	0.057971	130	0.546154	2.315862	732	0.266393	0.274000	0.291527	
740	0.362162	127	0.070866	133	0.481203	2.315862	740	0.362162	0.341000	0.293360	
737	0.363636	123	0.089431	140	0.385714	2.315862	737	0.363636	0.333000	0.294775	
713	0.295933	111	0.054054	176	0.545455	2.315862	713	0.295933	0.313000	0.295404	
762	0.208661	109	0.000000	129	0.503876	2.315862	762	0.208661	0.224000	0.293024	
708	0.234463	135	0.000000	157	0.471338	2.315862	708	0.234463	0.240000	0.291313	
708	0.250000	131	0.015267	161	0.527950	2.315862	708	0.250000	0.264000	0.290460	
735	0.236735	114	0.000000	151	0.576159	2.315862	735	0.236735	0.261000	0.289567	
730	0.294521	129	0.046512	141	0.581560	2.315862	730	0.294521	0.303000	0.289962	
752	0.371011	137	0.080292	111	0.531532	2.315862	752	0.371011	0.349000	0.291649	
725	0.292414	122	0.040984	153	0.555556	2.315862	725	0.292414	0.302000	0.291936	
747	0.200803	119	0.000000	134	0.514925	2.315862	747	0.200803	0.219000	0.289965	
739	0.235453	109	0.000000	152	0.434211	2.315862	739	0.235453	0.240000	0.288650	
724	0.258287	123	0.032520	153	0.464052	2.315862	724	0.258287	0.262000	0.287967	
730	0.363014	126	0.126984	144	0.402778	2.315862	730	0.363014	0.339000	0.289243	
725	0.324138	138	0.028986	137	0.540146	2.315862	725	0.324138	0.313000	0.289822	
744	0.337366	115	0.017391	141	0.638298	2.315862	744	0.337366	0.343000	0.291088	
725	0.310345	134	0.014925	141	0.524823	2.315862	725	0.310345	0.301000	0.291319	
726	0.320937	113	0.070796	161	0.453416	2.315862	726	0.320937	0.314000	0.291834	
739	0.358593	111	0.036036	150	0.406667	2.315862	739	0.358593	0.330000	0.292682	
700	0.377143	147	0.054422	153	0.575163	2.315862	700	0.377143	0.360000	0.294146	
729	0.349794	119	0.067227	152	0.480263	2.315862	729	0.349794	0.336000	0.295036	
716	0.280726	137	0.058394	147	0.625850	2.315862	716	0.280726	0.301000	0.295161	
713	0.360449	139	0.079137	148	0.432432	2.315862	713	0.360449	0.332000	0.295912	
715	0.335664	128	0.023438	157	0.439490	2.315862	715	0.335664	0.312000	0.296234	
704	0.348011	134	0.014925	162	0.512346	2.315862	704	0.348011	0.330000	0.296896	
704	0.306818	121	0.082645	175	0.462857	2.315862	704	0.306818	0.307000	0.297090	
715	0.212587	125	0.016000	160	0.475000	2.315862	715	0.212587	0.230000	0.295825	
755	0.266225	116	0.034483	129	0.519380	2.315862	755	0.266225	0.272000	0.295383	
710	0.298592	144	0.027778	146	0.589041	2.315862	710	0.298592	0.302000	0.295504	
739	0.342355	120	0.033333	141	0.553191	2.315862	739	0.342355	0.335000	0.296209	
692	0.317919	140	0.085714	168	0.464286	2.315862	692	0.317919	0.310000	0.296451	
713	0.364656	125	0.040000	162	0.580247	2.315862	713	0.364656	0.359000	0.297529	
766	0.332898	98	0.010204	136	0.544118	2.315862	766	0.332898	0.330000	0.298080	
730	0.286301	129	0.046512	141	0.574468	2.315862	730	0.286301	0.296000	0.298045	
727	0.251719	121	0.000000	152	0.480263	2.315862	727	0.251719	0.256000	0.297356	
710	0.247887	148	0.000000	142	0.598592	2.315862	710	0.247887	0.261000	0.296769	
694	0.233429	146	0.000000	160	0.531250	2.315862	694	0.233429	0.247000	0.295979	
736	0.221467	117	0.000000	147	0.544218	2.315862	736	0.221467	0.243000	0.295152	
758	0.250660	129	0.000000	113	0.539823	2.315862	758	0.250660	0.251000	0.294472	
704	0.245739	148	0.000000	148	0.506757	2.315862	704	0.245739	0.248000	0.293768	
733	0.264666	130	0.015385	137	0.598540	2.315862	733	0.264666	0.278000	0.293533	
753	0.221780	109	0.000000	138	0.543478	2.315862	753	0.221780	0.242000	0.292775	
734	0.246594	133	0.000000	133	0.616541	2.315862	734	0.246594	0.263000	0.292344	
716	0.259777	125	0.000000	159	0.547170	2.315862	716	0.259777	0.273000	0.292067	
758	0.211082	105	0.000000	137	0.503650	2.315862	758	0.211082	0.229000	0.291179	
707	0.226308	139	0.000000	154	0.558442	2.315862	707	0.226308	0.246000	0.290552	
739	0.227334	122	0.000000	139	0.503597	2.315862	739	0.227334	0.238000	0.289832	
748	0.260695	114	0.000000	138	0.557971	2.315862	748	0.260695	0.272000	0.289591	
