Steppingstone sampler:
        No Stones:                  100
        Start It:                   10050001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.807368	-0.807368
1	0.950747	750	-0.781391	-1.588759
2	0.926679	750	-0.774717	-2.363476
3	0.902980	750	-0.774446	-3.137922
4	0.879648	750	-0.746949	-3.884871
5	0.856682	750	-0.745908	-4.630779
6	0.834079	750	-0.739808	-5.370587
7	0.811838	750	-0.720746	-6.091333
8	0.789957	750	-0.709619	-6.800952
9	0.768433	750	-0.702513	-7.503466
10	0.747266	750	-0.689148	-8.192614
11	0.726452	750	-0.671787	-8.864401
12	0.705989	750	-0.666923	-9.531324
13	0.685877	750	-0.663177	-10.194501
14	0.666112	750	-0.643373	-10.837874
15	0.646693	750	-0.631097	-11.468971
16	0.627618	750	-0.634865	-12.103836
17	0.608884	750	-0.612818	-12.716654
18	0.590490	750	-0.605829	-13.322483
19	0.572433	750	-0.601088	-13.923571
20	0.554712	750	-0.588905	-14.512476
21	0.537324	750	-0.573443	-15.085919
22	0.520268	750	-0.564205	-15.650124
23	0.503540	750	-0.552934	-16.203058
24	0.487139	750	-0.547813	-16.750871
25	0.471063	750	-0.537758	-17.288630
26	0.455310	750	-0.526853	-17.815483
27	0.439877	750	-0.507004	-18.322487
28	0.424762	750	-0.501529	-18.824017
29	0.409963	750	-0.500654	-19.324670
30	0.395478	750	-0.490327	-19.814998
31	0.381305	750	-0.481179	-20.296177
32	0.367440	750	-0.477871	-20.774048
33	0.353883	750	-0.470370	-21.244418
34	0.340630	750	-0.447285	-21.691703
35	0.327680	750	-0.444424	-22.136128
36	0.315030	750	-0.445754	-22.581882
37	0.302677	750	-0.435110	-23.016992
38	0.290619	750	-0.431182	-23.448174
39	0.278855	750	-0.410657	-23.858830
40	0.267381	750	-0.401681	-24.260512
41	0.256195	750	-0.400242	-24.660754
42	0.245294	750	-0.394152	-25.054906
43	0.234677	750	-0.393119	-25.448024
44	0.224340	750	-0.369906	-25.817930
45	0.214281	750	-0.375645	-26.193575
46	0.204498	750	-0.365205	-26.558780
47	0.194988	750	-0.355185	-26.913964
48	0.185749	750	-0.339641	-27.253606
49	0.176777	750	-0.333018	-27.586623
50	0.168070	750	-0.327622	-27.914245
51	0.159626	750	-0.327543	-28.241789
52	0.151441	750	-0.308503	-28.550292
53	0.143514	750	-0.298910	-28.849202
54	0.135841	750	-0.297628	-29.146829
55	0.128420	750	-0.296891	-29.443720
56	0.121247	750	-0.301711	-29.745431
57	0.114320	750	-0.288864	-30.034295
58	0.107637	750	-0.277085	-30.311380
59	0.101193	750	-0.260282	-30.571663
60	0.094986	750	-0.263113	-30.834776
61	0.089014	750	-0.262320	-31.097096
62	0.083273	750	-0.258608	-31.355704
63	0.077760	750	-0.229374	-31.585078
64	0.072472	750	-0.252839	-31.837918
65	0.067406	750	-0.223624	-32.061542
66	0.062558	750	-0.216499	-32.278041
67	0.057926	750	-0.213893	-32.491934
68	0.053506	750	-0.217487	-32.709421
69	0.049295	750	-0.220282	-32.929704
70	0.045289	750	-0.202169	-33.131873
71	0.041485	750	-0.194446	-33.326319
72	0.037880	750	-0.188188	-33.514507
73	0.034469	750	-0.177756	-33.692263
74	0.031250	750	-0.204904	-33.897167
75	0.028218	750	-0.182953	-34.080120
76	0.025370	750	-0.168534	-34.248655
77	0.022702	750	-0.179582	-34.428236
78	0.020209	750	-0.169532	-34.597768
79	0.017889	750	-0.163250	-34.761018
80	0.015736	750	-0.140704	-34.901722
81	0.013746	750	-0.136049	-35.037771
82	0.011916	750	-0.140838	-35.178609
83	0.010240	750	-0.135171	-35.313780
84	0.008714	750	-0.121106	-35.434886
85	0.007334	750	-0.138068	-35.572954
86	0.006093	750	-0.108742	-35.681696
87	0.004988	750	-0.101811	-35.783507
88	0.004013	750	-0.091608	-35.875115
89	0.003162	750	-0.101189	-35.976305
90	0.002430	750	-0.073198	-36.049502
91	0.001810	750	-0.063537	-36.113039
92	0.001296	750	-0.054439	-36.167478
93	0.000882	750	-0.040524	-36.208002
94	0.000559	750	-0.031659	-36.239661
95	0.000320	750	-0.028166	-36.267826
96	0.000156	750	-0.016996	-36.284823
97	0.000057	750	-0.011465	-36.296288
98	0.000010	750	-0.004740	-36.301027
99	0.000000	750	-0.001126	-36.302154
Log marginal likelihood:	-36.302154
