Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-hawaiian-absenceofcousinmarriage.preference.bttrees
Data File Name:                  ./data/bantu-hawaiian-absenceofcousinmarriage.preference.btdata
Log File Name:                   ./output/bantu-hawaiian-absenceofcousinmarriage.preference-indep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4088855373
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-hawaiian-absenceofcousinmarriage.preference-indep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.727273,0.136364,0.136364,0.000000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       66
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-50.430810	127	1	0	'0 0 0 0 	0.702634	0.702634	0.702634	0.702634	0.881418	0.019132	0.099450	0.000000	
12000	-49.825077	547	1	0	'0 0 0 0 	0.659638	0.659638	0.659638	0.659638	0.913035	0.013079	0.073886	0.000000	
13000	-51.411167	508	1	0	'0 0 0 0 	0.664073	0.664073	0.664073	0.664073	0.900057	0.010896	0.089047	0.000000	
14000	-52.611733	51	1	0	'0 0 0 0 	0.560268	0.560268	0.560268	0.560268	0.922223	0.007133	0.070644	0.000000	
15000	-53.001303	910	1	0	'0 0 0 0 	0.865267	0.865267	0.865267	0.865267	0.905102	0.020279	0.074620	0.000000	
16000	-52.372610	821	1	0	'0 0 0 0 	0.570992	0.570992	0.570992	0.570992	0.902892	0.011446	0.085661	0.000000	
17000	-51.171462	462	1	0	'0 0 0 0 	0.645813	0.645813	0.645813	0.645813	0.894471	0.009590	0.095938	0.000000	
18000	-50.362702	188	1	0	'0 0 0 0 	0.825314	0.825314	0.825314	0.825314	0.911339	0.015630	0.073030	0.000000	
19000	-50.957329	159	1	0	'0 0 0 0 	0.681691	0.681691	0.681691	0.681691	0.908592	0.011158	0.080250	0.000000	
20000	-53.658061	677	1	0	'0 0 0 0 	0.522932	0.522932	0.522932	0.522932	0.914855	0.009730	0.075415	0.000000	
