Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.044619	-2.044619
1	0.950747	750	-2.022035	-4.066653
2	0.926679	750	-1.982558	-6.049211
3	0.902980	750	-1.954133	-8.003343
4	0.879648	750	-1.937788	-9.941132
5	0.856682	750	-1.906202	-11.847334
6	0.834079	750	-1.875096	-13.722430
7	0.811838	750	-1.845835	-15.568265
8	0.789957	750	-1.813741	-17.382006
9	0.768433	750	-1.787147	-19.169153
10	0.747266	750	-1.763131	-20.932283
11	0.726452	750	-1.732813	-22.665096
12	0.705989	750	-1.698657	-24.363754
13	0.685877	750	-1.673494	-26.037248
14	0.666112	750	-1.649037	-27.686285
15	0.646693	750	-1.635985	-29.322270
16	0.627618	750	-1.592905	-30.915176
17	0.608884	750	-1.566334	-32.481510
18	0.590490	750	-1.535744	-34.017254
19	0.572433	750	-1.508634	-35.525889
20	0.554712	750	-1.493328	-37.019217
21	0.537324	750	-1.457875	-38.477091
22	0.520268	750	-1.428075	-39.905167
23	0.503540	750	-1.413297	-41.318463
24	0.487139	750	-1.384909	-42.703372
25	0.471063	750	-1.360692	-44.064063
26	0.455310	750	-1.334158	-45.398221
27	0.439877	750	-1.310436	-46.708657
28	0.424762	750	-1.272077	-47.980735
29	0.409963	750	-1.251636	-49.232371
30	0.395478	750	-1.222850	-50.455220
31	0.381305	750	-1.195211	-51.650431
32	0.367440	750	-1.175984	-52.826415
33	0.353883	750	-1.150369	-53.976784
34	0.340630	750	-1.113698	-55.090481
35	0.327680	750	-1.099185	-56.189666
36	0.315030	750	-1.075828	-57.265494
37	0.302677	750	-1.053384	-58.318878
38	0.290619	750	-1.030210	-59.349088
39	0.278855	750	-1.011001	-60.360089
40	0.267381	750	-0.982570	-61.342659
41	0.256195	750	-0.958030	-62.300688
42	0.245294	750	-0.935448	-63.236136
43	0.234677	750	-0.911155	-64.147291
44	0.224340	750	-0.889006	-65.036297
45	0.214281	750	-0.863933	-65.900229
46	0.204498	750	-0.842747	-66.742976
47	0.194988	750	-0.816520	-67.559496
48	0.185749	750	-0.797864	-68.357361
49	0.176777	750	-0.771179	-69.128539
50	0.168070	750	-0.752393	-69.880932
51	0.159626	750	-0.728072	-70.609004
52	0.151441	750	-0.709196	-71.318200
53	0.143514	750	-0.693217	-72.011417
54	0.135841	750	-0.664048	-72.675464
55	0.128420	750	-0.641712	-73.317177
56	0.121247	750	-0.623486	-73.940663
57	0.114320	750	-0.602197	-74.542860
58	0.107637	750	-0.583550	-75.126409
59	0.101193	750	-0.563047	-75.689457
60	0.094986	750	-0.542545	-76.232001
61	0.089014	750	-0.518826	-76.750828
62	0.083273	750	-0.502425	-77.253253
63	0.077760	750	-0.480139	-77.733392
64	0.072472	750	-0.463120	-78.196512
65	0.067406	750	-0.444678	-78.641190
66	0.062558	750	-0.424654	-79.065844
67	0.057926	750	-0.412413	-79.478257
68	0.053506	750	-0.387505	-79.865762
69	0.049295	750	-0.378622	-80.244385
70	0.045289	750	-0.350996	-80.595380
71	0.041485	750	-0.335525	-80.930906
72	0.037880	750	-0.317287	-81.248192
73	0.034469	750	-0.300947	-81.549139
74	0.031250	750	-0.283447	-81.832586
75	0.028218	750	-0.269135	-82.101721
76	0.025370	750	-0.253089	-82.354811
77	0.022702	750	-0.236542	-82.591352
78	0.020209	750	-0.220716	-82.812068
79	0.017889	750	-0.204518	-83.016587
80	0.015736	750	-0.192444	-83.209031
81	0.013746	750	-0.180798	-83.389829
82	0.011916	750	-0.167619	-83.557448
83	0.010240	750	-0.150518	-83.707966
84	0.008714	750	-0.135549	-83.843515
85	0.007334	750	-0.122217	-83.965732
86	0.006093	750	-0.110409	-84.076141
87	0.004988	750	-0.098849	-84.174990
88	0.004013	750	-0.086048	-84.261039
89	0.003162	750	-0.076071	-84.337110
90	0.002430	750	-0.066350	-84.403460
91	0.001810	750	-0.057199	-84.460659
92	0.001296	750	-0.045982	-84.506641
93	0.000882	750	-0.040880	-84.547521
94	0.000559	750	-0.028843	-84.576363
95	0.000320	750	-0.021510	-84.597873
96	0.000156	750	-0.014862	-84.612735
97	0.000057	750	-0.008912	-84.621647
98	0.000010	750	-0.004240	-84.625887
99	0.000000	750	-0.000912	-84.626798
Log marginal likelihood:	-84.626798
