Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/uto-hawaiian-bi.localresidence.bttrees
Data File Name:                  ./data/uto-hawaiian-bi.localresidence.btdata
Log File Name:                   ./output/uto-hawaiian-bi.localresidence-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2638545886
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/uto-hawaiian-bi.localresidence-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.318182,0.000000,0.590909,0.090909)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.121603
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-19.745402	859	1	2	'0 Z 0 0 0 0 0 Z 	D	25.052608	0.000000	25.052608	25.052608	25.052608	25.052608	25.052608	0.000000	0.000000	0.000000	1.000000	0.000000	
12000	-22.152320	782	1	2	'0 0 0 Z 0 0 Z 0 	D	10.408726	10.408726	10.408726	0.000000	10.408726	10.408726	0.000000	10.408726	0.028134	0.000000	0.971832	0.000034	
13000	-18.763745	429	1	1	'0 Z 0 0 0 0 0 0 	D	37.960075	0.000000	37.960075	37.960075	37.960075	37.960075	37.960075	37.960075	0.000000	0.000000	0.999418	0.000582	
14000	-22.989092	861	1	1	'0 0 Z 0 0 0 0 0 	D	10.167778	10.167778	0.000000	10.167778	10.167778	10.167778	10.167778	10.167778	0.000033	0.000000	0.999964	0.000003	
15000	-19.315781	315	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	22.199326	22.199326	22.199326	22.199326	22.199326	22.199326	0.000000	0.000000	0.999864	0.000136	
16000	-19.875461	258	1	3	'Z 0 0 0 0 0 Z Z 	D	0.000000	26.218744	26.218744	26.218744	26.218744	26.218744	0.000000	0.000000	0.075936	0.000000	0.924064	0.000000	
17000	-19.223816	161	1	3	'Z Z 0 0 0 0 Z 0 	D	0.000000	0.000000	18.699376	18.699376	18.699376	18.699376	0.000000	18.699376	0.000000	0.000000	0.999798	0.000202	
18000	-20.395530	192	1	4	'Z 0 Z 0 0 0 Z Z 	D	0.000000	14.433914	0.000000	14.433914	14.433914	14.433914	0.000000	0.000000	0.012370	0.000000	0.987630	0.000000	
19000	-20.098155	844	1	2	'0 0 Z Z 0 0 0 0 	D	35.191173	35.191173	0.000000	0.000000	35.191173	35.191173	35.191173	35.191173	0.012944	0.000000	0.986513	0.000543	
20000	-19.911218	153	1	3	'0 0 0 Z 0 0 Z Z 	D	23.342956	23.342956	23.342956	0.000000	23.342956	23.342956	0.000000	0.000000	0.022501	0.000000	0.977499	0.000000	
21000	-19.573298	941	1	1	'0 0 0 0 0 0 0 Z 	D	39.693821	39.693821	39.693821	39.693821	39.693821	39.693821	39.693821	0.000000	0.048481	0.000000	0.951519	0.000000	
22000	-18.577264	837	1	2	'Z 0 0 0 0 0 Z 0 	D	0.000000	42.904413	42.904413	42.904413	42.904413	42.904413	0.000000	42.904413	0.036021	0.000000	0.963812	0.000167	
23000	-19.447857	29	1	3	'0 Z 0 0 0 0 Z Z 	D	42.791542	0.000000	42.791542	42.791542	42.791542	42.791542	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
24000	-19.299060	634	1	1	'0 0 0 0 0 0 0 Z 	D	28.526579	28.526579	28.526579	28.526579	28.526579	28.526579	28.526579	0.000000	0.047327	0.000000	0.952673	0.000000	
25000	-20.260696	820	1	3	'Z Z 0 0 0 0 0 Z 	D	0.000000	0.000000	24.797753	24.797753	24.797753	24.797753	24.797753	0.000000	0.000000	0.000000	1.000000	0.000000	
26000	-20.997842	12	1	3	'Z 0 0 0 0 0 Z Z 	D	0.000000	14.013947	14.013947	14.013947	14.013947	14.013947	0.000000	0.000000	0.021368	0.000000	0.978632	0.000000	
