Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
758	0.374670	100	0.020000	142	0.845070	6.028054	758	0.374670	0.406000	0.404963	
736	0.377717	122	0.032787	142	0.838028	6.028054	736	0.377717	0.401000	0.404633	
753	0.379814	113	0.017699	134	0.888060	6.028054	753	0.379814	0.407000	0.404815	
717	0.338912	108	0.055556	175	0.817143	6.028054	717	0.338912	0.392000	0.403900	
735	0.359184	100	0.020000	165	0.866667	6.028054	735	0.359184	0.409000	0.404240	
732	0.360656	127	0.031496	141	0.815603	6.028054	732	0.360656	0.383000	0.402912	
705	0.357447	146	0.054795	149	0.852349	6.028054	705	0.357447	0.387000	0.401976	
768	0.373698	108	0.018519	124	0.822581	6.028054	768	0.373698	0.391000	0.401367	
734	0.346049	123	0.032520	143	0.839161	6.028054	734	0.346049	0.378000	0.400137	
737	0.371777	124	0.064516	139	0.820144	6.028054	737	0.371777	0.396000	0.399930	
727	0.370014	114	0.017544	159	0.905660	6.028054	727	0.370014	0.415000	0.400648	
727	0.376891	112	0.071429	161	0.813665	6.028054	727	0.376891	0.413000	0.401209	
757	0.367239	100	0.040000	143	0.783217	6.028054	757	0.367239	0.394000	0.400896	
701	0.373752	117	0.085470	182	0.829670	6.028054	701	0.373752	0.423000	0.401817	
721	0.357836	121	0.049587	158	0.797468	6.028054	721	0.357836	0.390000	0.401344	
764	0.397906	118	0.016949	118	0.788136	6.028054	764	0.397906	0.399000	0.401254	
732	0.393443	114	0.035088	154	0.818182	6.028054	732	0.393443	0.418000	0.401874	
725	0.339310	124	0.048387	151	0.827815	6.028054	725	0.339310	0.377000	0.400986	
710	0.340845	130	0.061538	160	0.812500	6.028054	710	0.340845	0.380000	0.400262	
716	0.372905	130	0.030769	154	0.831169	6.028054	716	0.372905	0.399000	0.400220	
749	0.332443	113	0.053097	138	0.782609	6.028054	749	0.332443	0.363000	0.399019	
721	0.393897	128	0.031250	151	0.827815	6.028054	721	0.393897	0.413000	0.399456	
750	0.380000	104	0.019231	146	0.835616	6.028054	750	0.380000	0.409000	0.399745	
728	0.387363	122	0.016393	150	0.826667	6.028054	728	0.387363	0.408000	0.399988	
721	0.357836	122	0.065574	157	0.783439	6.028054	721	0.357836	0.389000	0.399674	
765	0.389542	98	0.081633	137	0.817518	6.028054	765	0.389542	0.418000	0.400183	
705	0.387234	122	0.032787	173	0.763006	6.028054	705	0.387234	0.409000	0.400422	
737	0.321574	136	0.029412	127	0.874016	6.028054	737	0.321574	0.352000	0.399147	
741	0.381916	117	0.034188	142	0.767606	6.028054	741	0.381916	0.396000	0.399067	
734	0.397820	98	0.000000	168	0.857143	6.028054	734	0.397820	0.436000	0.399990	
766	0.419060	97	0.020619	137	0.824818	6.028054	766	0.419060	0.436000	0.400868	
736	0.404891	110	0.072727	154	0.772727	5.000000	736	0.404891	0.425000	0.401443	
718	0.430362	126	0.031746	156	0.807692	5.000000	718	0.430362	0.439000	0.402316	
723	0.413555	121	0.016529	156	0.865385	5.000000	723	0.413555	0.436000	0.403082	
749	0.447263	101	0.099010	150	0.820000	5.000000	749	0.447263	0.468000	0.404524	
725	0.412414	118	0.000000	157	0.840764	5.000000	725	0.412414	0.431000	0.405100	
746	0.415550	110	0.045455	144	0.812500	5.000000	746	0.415550	0.432000	0.405672	
740	0.397297	108	0.083333	152	0.822368	5.000000	740	0.397297	0.428000	0.406137	
747	0.429719	105	0.019048	148	0.871622	5.000000	747	0.429719	0.452000	0.407073	
726	0.398072	122	0.081967	152	0.861842	5.000000	726	0.398072	0.430000	0.407532	
736	0.451087	116	0.034483	148	0.783784	5.000000	736	0.451087	0.452000	0.408404	
747	0.385542	106	0.056604	147	0.829932	5.000000	747	0.385542	0.416000	0.408550	
741	0.438596	109	0.018349	150	0.840000	5.000000	741	0.438596	0.453000	0.409389	
739	0.395129	119	0.016807	142	0.852113	5.000000	739	0.395129	0.415000	0.409492	
704	0.410511	134	0.029851	162	0.790123	5.000000	704	0.410511	0.421000	0.409702	
727	0.412655	122	0.000000	151	0.827815	5.000000	727	0.412655	0.425000	0.409975	
748	0.406417	93	0.043011	159	0.811321	5.000000	748	0.406417	0.437000	0.410449	
737	0.389417	107	0.000000	156	0.775641	5.000000	737	0.389417	0.408000	0.410407	
752	0.384309	116	0.034483	132	0.780303	5.000000	752	0.384309	0.396000	0.410163	
739	0.437077	108	0.018519	153	0.810458	5.000000	739	0.437077	0.449000	0.410810	
718	0.405292	126	0.095238	156	0.794872	5.000000	718	0.405292	0.427000	0.411075	
688	0.408430	135	0.029630	177	0.796610	5.000000	688	0.408430	0.426000	0.411316	
742	0.433962	106	0.018868	152	0.842105	5.000000	742	0.433962	0.452000	0.411962	
759	0.418972	125	0.080000	116	0.750000	5.000000	759	0.418972	0.415000	0.412009	
761	0.394218	105	0.028571	134	0.791045	5.000000	761	0.394218	0.409000	0.411963	
694	0.403458	112	0.062500	194	0.783505	5.000000	694	0.403458	0.439000	0.412373	
733	0.447476	129	0.046512	138	0.753623	5.000000	733	0.447476	0.438000	0.412755	
734	0.389646	110	0.036364	156	0.852564	5.000000	734	0.389646	0.423000	0.412906	
725	0.434483	127	0.000000	148	0.851351	5.000000	725	0.434483	0.441000	0.413313	
730	0.426027	114	0.017544	156	0.846154	5.000000	730	0.426027	0.445000	0.413766	
728	0.417582	112	0.035714	160	0.731250	5.000000	728	0.417582	0.425000	0.413924	
731	0.400821	123	0.000000	146	0.773973	5.000000	731	0.400821	0.406000	0.413814	
746	0.463807	119	0.050420	135	0.837037	5.000000	746	0.463807	0.465000	0.414515	
722	0.421053	129	0.046512	149	0.798658	5.000000	722	0.421053	0.429000	0.414711	
725	0.406897	115	0.069565	160	0.812500	5.000000	725	0.406897	0.433000	0.414954	
730	0.445205	126	0.015873	144	0.847222	5.000000	730	0.445205	0.449000	0.415402	
711	0.445851	112	0.017857	177	0.813559	5.000000	711	0.445851	0.463000	0.416021	
743	0.405114	108	0.037037	149	0.879195	5.000000	743	0.405114	0.436000	0.416277	
718	0.412256	127	0.047244	155	0.806452	5.000000	718	0.412256	0.427000	0.416412	
