Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-crow-matrilineal.bttrees
Data File Name:                  ./data/austronesian-crow-matrilineal.btdata
Log File Name:                   ./output/austronesian-crow-matrilineal-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            196867328
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-crow-matrilineal-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.811765,0.117647,0.023529,0.047059)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000086
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       85
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-53.665920	704	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	9.685143	9.685143	9.685143	9.685143	9.685143	9.685143	0.000000	0.545630	0.103834	0.350536	
12000	-53.320044	915	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	8.787497	8.787497	8.787497	8.787497	8.787497	8.787497	0.000000	0.570355	0.097863	0.331781	
13000	-53.201332	214	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	8.612997	8.612997	8.612997	8.612997	8.612997	8.612997	0.000000	0.572174	0.103179	0.324647	
14000	-49.906150	965	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	39.228744	39.228744	39.228744	39.228744	39.228744	0.000000	0.720007	0.058288	0.221705	
15000	-49.186759	46	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	26.550043	26.550043	26.550043	26.550043	26.550043	0.000000	0.739536	0.046196	0.214268	
16000	-49.270909	652	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	29.635380	29.635380	29.635380	29.635380	29.635380	0.000000	0.761148	0.033678	0.205174	
17000	-52.002818	460	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	18.876433	18.876433	18.876433	18.876433	18.876433	0.000000	0.716108	0.049184	0.234708	
18000	-50.088361	336	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	24.305046	24.305046	24.305046	24.305046	24.305046	0.000000	0.746223	0.038830	0.214947	
19000	-49.591381	561	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	31.091349	31.091349	31.091349	31.091349	31.091349	0.000000	0.750218	0.042017	0.207765	
20000	-50.497933	193	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	22.211126	22.211126	22.211126	22.211126	22.211126	0.000000	0.703917	0.065115	0.230968	
21000	-49.928185	143	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	22.212094	22.212094	22.212094	22.212094	22.212094	0.000000	0.706798	0.064325	0.228877	
22000	-50.371657	524	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	22.344815	22.344815	22.344815	22.344815	22.344815	0.000000	0.746670	0.038837	0.214493	
23000	-49.854597	828	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	27.186611	27.186611	27.186611	27.186611	27.186611	0.000000	0.762615	0.033209	0.204176	
24000	-49.164897	597	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	32.079665	32.079665	32.079665	32.079665	32.079665	0.000000	0.713398	0.061459	0.225143	
25000	-50.487195	604	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	23.107709	23.107709	23.107709	23.107709	23.107709	0.000000	0.759241	0.034138	0.206621	
26000	-54.783549	537	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	11.314969	11.314969	11.314969	11.314969	11.314969	11.314969	0.000000	0.558536	0.110460	0.331004	
27000	-54.230485	415	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	7.029971	7.029971	7.029971	7.029971	7.029971	7.029971	0.000000	0.605781	0.079968	0.314251	
28000	-54.391979	551	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	12.321298	12.321298	12.321298	12.321298	12.321298	12.321298	0.000000	0.559554	0.111222	0.329223	
29000	-48.159192	935	2	1	'1 Z 1 0 0 0 0 0 	D	0.619898	0.000000	0.619898	15.709916	15.709916	15.709916	15.709916	15.709916	0.940614	0.025638	0.016548	0.017201	
30000	-50.103825	950	2	2	'1 Z 0 0 Z 0 0 0 	D	0.906906	0.000000	6.810915	6.810915	0.000000	6.810915	6.810915	6.810915	0.963584	0.034334	0.000124	0.001958	
31000	-50.049371	574	2	1	'1 Z 1 0 0 0 0 0 	D	0.813995	0.000000	0.813995	6.570990	6.570990	6.570990	6.570990	6.570990	0.981393	0.006206	0.009095	0.003306	
32000	-48.048598	166	2	2	'1 Z Z 0 0 1 0 0 	D	0.781937	0.000000	0.000000	16.974424	16.974424	0.781937	16.974424	16.974424	0.882077	0.059120	0.025271	0.033532	
33000	-54.025843	628	2	2	'Z 1 Z 0 0 1 0 0 	D	0.000000	0.112591	0.000000	18.249213	18.249213	0.112591	18.249213	18.249213	0.000016	0.811885	0.000256	0.187844	
34000	-49.658303	831	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	29.129987	29.129987	29.129987	29.129987	29.129987	0.000000	0.717132	0.059618	0.223250	
35000	-50.286143	603	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	36.456207	36.456207	36.456207	36.456207	36.456207	0.000000	0.707859	0.063923	0.228218	
36000	-49.055033	204	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	28.911626	28.911626	28.911626	28.911626	28.911626	0.000000	0.723140	0.056457	0.220403	
37000	-54.145028	451	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	8.277309	8.277309	8.277309	8.277309	8.277309	8.277309	0.000000	0.555630	0.092539	0.351831	
38000	-54.677765	703	1	3	'Z Z 0 Z 0 0 0 0 	D	0.000000	0.000000	10.732297	0.000000	10.732297	10.732297	10.732297	10.732297	0.000000	0.000000	0.317304	0.682696	
39000	-53.344550	572	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	9.277061	9.277061	9.277061	9.277061	9.277061	9.277061	0.000000	0.560919	0.102952	0.336129	
40000	-49.200499	935	2	1	'0 Z 0 1 1 1 1 1 	D	0.649183	0.000000	0.649183	9.000867	9.000867	9.000867	9.000867	9.000867	0.978643	0.005527	0.010475	0.005354	
41000	-49.978152	94	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	27.159830	27.159830	27.159830	27.159830	27.159830	0.000000	0.735766	0.047513	0.216721	
42000	-49.948028	789	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	38.988041	38.988041	38.988041	38.988041	38.988041	0.000000	0.711804	0.062146	0.226049	
43000	-49.785476	469	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	22.628443	22.628443	22.628443	22.628443	22.628443	0.000000	0.741422	0.040337	0.218242	
44000	-50.326424	511	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	38.700203	38.700203	38.700203	38.700203	38.700203	0.000000	0.724438	0.056118	0.219444	
45000	-49.152198	253	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	31.250229	31.250229	31.250229	31.250229	31.250229	0.000000	0.726048	0.054863	0.219089	
46000	-52.625529	119	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	22.763517	22.763517	0.000000	22.763517	22.763517	0.000000	0.813116	0.000000	0.186884	
47000	-49.707677	39	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	29.212687	29.212687	29.212687	29.212687	29.212687	0.000000	0.768193	0.031408	0.200399	
48000	-49.308313	22	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	24.796466	24.796466	24.796466	24.796466	24.796466	0.000000	0.726775	0.053738	0.219487	
49000	-49.407464	653	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	23.001752	23.001752	23.001752	23.001752	23.001752	0.000000	0.724470	0.053950	0.221580	
50000	-51.446628	1	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	19.348988	19.348988	19.348988	19.348988	19.348988	0.000000	0.665575	0.080950	0.253475	
51000	-50.644653	424	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	22.091060	22.091060	22.091060	22.091060	22.091060	0.000000	0.743904	0.039213	0.216883	
52000	-49.304029	539	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	29.563085	29.563085	29.563085	29.563085	29.563085	0.000000	0.763216	0.033044	0.203740	
53000	-49.271250	396	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	32.356138	32.356138	32.356138	32.356138	32.356138	0.000000	0.765788	0.032285	0.201927	
54000	-49.015096	394	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	25.587426	25.587426	25.587426	25.587426	25.587426	0.000000	0.722412	0.056620	0.220968	
55000	-49.905905	672	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	24.654182	24.654182	24.654182	24.654182	24.654182	0.000000	0.721633	0.056403	0.221964	
56000	-50.909103	690	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	36.391449	36.391449	36.391449	36.391449	36.391449	0.000000	0.708056	0.063857	0.228087	
57000	-49.302345	125	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	28.854819	28.854819	28.854819	28.854819	28.854819	0.000000	0.761789	0.033442	0.204768	
58000	-49.684325	395	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	23.861356	23.861356	23.861356	23.861356	23.861356	0.000000	0.752923	0.036441	0.210636	
59000	-49.730846	325	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	33.124397	33.124397	33.124397	33.124397	33.124397	0.000000	0.754442	0.039134	0.206425	
60000	-49.667104	227	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	33.219839	33.219839	33.219839	33.219839	33.219839	0.000000	0.763662	0.032995	0.203344	
