Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
815	0.192638	185	0.800000	2.115325	815	0.192638	0.305000	0.386874	
845	0.452071	155	0.748387	1.131418	845	0.452071	0.498000	0.396134	
840	0.251190	160	0.800000	1.837320	840	0.251190	0.339000	0.391739	
826	0.268765	174	0.827586	1.837320	826	0.268765	0.366000	0.389901	
827	0.250302	173	0.774566	1.837320	827	0.250302	0.341000	0.386641	
813	0.258303	187	0.754011	1.837320	813	0.258303	0.351000	0.384413	
816	0.273284	184	0.826087	1.837320	816	0.273284	0.375000	0.383860	
810	0.213580	190	0.747368	1.837320	810	0.213580	0.315000	0.380034	
822	0.266423	178	0.769663	1.837320	822	0.266423	0.356000	0.378770	
836	0.247608	164	0.817073	1.837320	836	0.247608	0.341000	0.376881	
828	0.291063	172	0.802326	1.837320	828	0.291063	0.379000	0.376982	
838	0.288783	162	0.753086	1.837320	838	0.288783	0.364000	0.376392	
820	0.232927	180	0.816667	1.837320	820	0.232927	0.338000	0.374723	
822	0.214112	178	0.730337	1.837320	822	0.214112	0.306000	0.371860	
828	0.260870	172	0.744186	1.837320	828	0.260870	0.344000	0.370745	
833	0.250900	167	0.850299	1.837320	833	0.250900	0.351000	0.369986	
826	0.274818	174	0.666667	1.837320	826	0.274818	0.343000	0.368986	
804	0.200249	196	0.489796	1.837320	804	0.200249	0.257000	0.364987	
834	0.257794	166	0.746988	1.837320	834	0.257794	0.339000	0.364091	
810	0.243210	190	0.715789	1.837320	810	0.243210	0.333000	0.363055	
827	0.232164	173	0.757225	1.837320	827	0.232164	0.323000	0.361763	
849	0.227326	151	0.794702	1.837320	849	0.227326	0.313000	0.360239	
825	0.220606	175	0.857143	1.837320	825	0.220606	0.332000	0.359383	
825	0.273939	175	0.811429	1.837320	825	0.273939	0.368000	0.359636	
819	0.274725	181	0.790055	1.837320	819	0.274725	0.368000	0.359875	
832	0.253606	168	0.803571	1.837320	832	0.253606	0.346000	0.359490	
804	0.217662	196	0.622449	1.837320	804	0.217662	0.297000	0.357801	
836	0.241627	164	0.817073	1.837320	836	0.241627	0.336000	0.357227	
809	0.224969	191	0.691099	1.837320	809	0.224969	0.314000	0.356119	
836	0.247608	164	0.573171	1.837320	836	0.247608	0.301000	0.354741	
837	0.216249	163	0.754601	1.837320	837	0.216249	0.304000	0.353504	
844	0.244076	156	0.814103	1.837320	844	0.244076	0.333000	0.353015	
844	0.242891	156	0.762821	1.837320	844	0.242891	0.324000	0.352341	
824	0.228155	176	0.857955	1.837320	824	0.228155	0.339000	0.352037	
814	0.210074	186	0.698925	1.837320	814	0.210074	0.301000	0.350903	
834	0.261391	166	0.698795	1.837320	834	0.261391	0.334000	0.350536	
818	0.265281	182	0.813187	1.837320	818	0.265281	0.365000	0.350844	
826	0.261501	174	0.787356	1.837320	826	0.261501	0.353000	0.350889	
808	0.277228	192	0.588542	1.837320	808	0.277228	0.337000	0.350605	
