Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
827	0.348247	173	0.786127	1.339005	827	0.348247	0.424000	0.390884	
848	0.297170	152	0.671053	1.339005	848	0.297170	0.354000	0.390884	
835	0.314970	165	0.709091	1.339005	835	0.314970	0.380000	0.390884	
824	0.330097	176	0.886364	1.339005	824	0.330097	0.428000	0.390884	
839	0.308701	161	0.708075	1.339005	839	0.308701	0.373000	0.390884	
837	0.324970	163	0.760736	1.339005	837	0.324970	0.396000	0.390884	
831	0.315283	169	0.781065	1.339005	831	0.315283	0.394000	0.390884	
836	0.338517	164	0.792683	1.339005	836	0.338517	0.413000	0.390884	
824	0.320388	176	0.704545	1.339005	824	0.320388	0.388000	0.390884	
828	0.309179	172	0.703488	1.339005	828	0.309179	0.377000	0.390884	
827	0.302297	173	0.768786	1.339005	827	0.302297	0.383000	0.390884	
857	0.305718	143	0.888112	1.339005	857	0.305718	0.389000	0.390884	
797	0.343789	203	0.788177	1.339005	797	0.343789	0.434000	0.390885	
823	0.341434	177	0.757062	1.339005	823	0.341434	0.415000	0.390885	
817	0.339045	183	0.797814	1.339005	817	0.339045	0.423000	0.390886	
832	0.305288	168	0.720238	1.339005	832	0.305288	0.375000	0.390885	
834	0.321343	166	0.728916	1.339005	834	0.321343	0.389000	0.390885	
824	0.333738	176	0.829545	1.339005	824	0.333738	0.421000	0.390886	
834	0.333333	166	0.819277	1.339005	834	0.333333	0.414000	0.390886	
820	0.329268	180	0.816667	1.339005	820	0.329268	0.417000	0.390887	
818	0.338631	182	0.747253	1.339005	818	0.338631	0.413000	0.390887	
823	0.317132	177	0.774011	1.339005	823	0.317132	0.398000	0.390887	
825	0.363636	175	0.731429	1.339005	825	0.363636	0.428000	0.390888	
805	0.296894	195	0.810256	1.339005	805	0.296894	0.397000	0.390888	
820	0.325610	180	0.761111	1.339005	820	0.325610	0.404000	0.390888	
841	0.316290	159	0.754717	1.339005	841	0.316290	0.386000	0.390888	
835	0.299401	165	0.775758	1.339005	835	0.299401	0.378000	0.390888	
840	0.320238	160	0.818750	1.339005	840	0.320238	0.400000	0.390888	
824	0.309466	176	0.744318	1.339005	824	0.309466	0.386000	0.390888	
824	0.313107	176	0.698864	1.339005	824	0.313107	0.381000	0.390888	
821	0.291108	179	0.821229	1.339005	821	0.291108	0.386000	0.390888	
839	0.324195	161	0.757764	1.339005	839	0.324195	0.394000	0.390888	
825	0.324848	175	0.805714	1.339005	825	0.324848	0.409000	0.390888	
819	0.341880	181	0.740331	1.339005	819	0.341880	0.414000	0.390889	
821	0.287454	179	0.821229	1.339005	821	0.287454	0.383000	0.390889	
855	0.326316	145	0.648276	1.339005	855	0.326316	0.373000	0.390888	
836	0.312201	164	0.707317	1.339005	836	0.312201	0.377000	0.390888	
830	0.314458	170	0.776471	1.339005	830	0.314458	0.393000	0.390888	
843	0.319098	157	0.707006	1.339005	843	0.319098	0.380000	0.390888	
834	0.312950	166	0.837349	1.339005	834	0.312950	0.400000	0.390888	
831	0.322503	169	0.704142	1.339005	831	0.322503	0.387000	0.390888	
833	0.332533	167	0.700599	1.339005	833	0.332533	0.394000	0.390888	
797	0.333752	203	0.793103	1.339005	797	0.333752	0.427000	0.390889	
846	0.338061	154	0.831169	1.339005	846	0.338061	0.414000	0.390889	
823	0.321993	177	0.790960	1.339005	823	0.321993	0.405000	0.390889	
830	0.322892	170	0.776471	1.339005	830	0.322892	0.400000	0.390889	
824	0.345874	176	0.778409	1.339005	824	0.345874	0.422000	0.390890	
842	0.318290	158	0.708861	1.339005	842	0.318290	0.380000	0.390890	
821	0.316687	179	0.798883	1.339005	821	0.316687	0.403000	0.390890	
827	0.290206	173	0.751445	1.339005	827	0.290206	0.370000	0.390890	
848	0.314858	152	0.657895	1.339005	848	0.314858	0.367000	0.390889	
825	0.287273	175	0.828571	1.339005	825	0.287273	0.382000	0.390889	
836	0.294258	164	0.762195	1.339005	836	0.294258	0.371000	0.390889	
854	0.317330	146	0.801370	1.339005	854	0.317330	0.388000	0.390889	
811	0.256473	189	0.798942	1.339005	811	0.256473	0.359000	0.390888	
825	0.317576	175	0.771429	1.339005	825	0.317576	0.397000	0.390888	
816	0.299020	184	0.798913	1.339005	816	0.299020	0.391000	0.390888	
833	0.303721	167	0.814371	1.339005	833	0.303721	0.389000	0.390888	
844	0.351896	156	0.679487	1.339005	844	0.351896	0.403000	0.390888	
823	0.324423	177	0.841808	1.339005	823	0.324423	0.416000	0.390889	
827	0.315599	173	0.803468	1.339005	827	0.315599	0.400000	0.390889	
827	0.345828	173	0.739884	1.339005	827	0.345828	0.414000	0.390889	
857	0.319720	143	0.776224	1.339005	857	0.319720	0.385000	0.390889	
845	0.338462	155	0.780645	1.339005	845	0.338462	0.407000	0.390890	
844	0.302133	156	0.788462	1.339005	844	0.302133	0.378000	0.390889	
831	0.380265	169	0.698225	1.339005	831	0.380265	0.434000	0.390890	
837	0.323775	163	0.650307	1.339005	837	0.323775	0.377000	0.390890	
824	0.339806	176	0.715909	1.339005	824	0.339806	0.406000	0.390890	
819	0.289377	181	0.828729	1.339005	819	0.289377	0.387000	0.390890	
838	0.325776	162	0.790123	1.339005	838	0.325776	0.401000	0.390890	
825	0.343030	175	0.737143	1.339005	825	0.343030	0.412000	0.390891	
863	0.300116	137	0.832117	1.339005	863	0.300116	0.373000	0.390890	
823	0.324423	177	0.683616	1.339005	823	0.324423	0.388000	0.390890	
818	0.327628	182	0.736264	1.339005	818	0.327628	0.402000	0.390891	
845	0.293491	155	0.735484	1.339005	845	0.293491	0.362000	0.390890	
827	0.296252	173	0.739884	1.339005	827	0.296252	0.373000	0.390890	
820	0.310976	180	0.716667	1.339005	820	0.310976	0.384000	0.390890	
820	0.336585	180	0.761111	1.339005	820	0.336585	0.413000	0.390890	
815	0.294479	185	0.713514	1.339005	815	0.294479	0.372000	0.390890	
837	0.351254	163	0.754601	1.339005	837	0.351254	0.417000	0.390890	
792	0.309343	208	0.802885	1.339005	792	0.309343	0.412000	0.390890	
820	0.309756	180	0.794444	1.339005	820	0.309756	0.397000	0.390891	
824	0.333738	176	0.806818	1.339005	824	0.333738	0.417000	0.390891	
841	0.343639	159	0.748428	1.339005	841	0.343639	0.408000	0.390891	
826	0.326877	174	0.781609	1.339005	826	0.326877	0.406000	0.390892	
833	0.332533	167	0.856287	1.339005	833	0.332533	0.420000	0.390892	
833	0.295318	167	0.778443	1.339005	833	0.295318	0.376000	0.390892	
829	0.330519	171	0.842105	1.339005	829	0.330519	0.418000	0.390892	
825	0.328485	175	0.777143	1.339005	825	0.328485	0.407000	0.390893	
843	0.362989	157	0.866242	1.339005	843	0.362989	0.442000	0.390894	
835	0.301796	165	0.818182	1.339005	835	0.301796	0.387000	0.390894	
819	0.317460	181	0.751381	1.339005	819	0.317460	0.396000	0.390894	
826	0.326877	174	0.724138	1.339005	826	0.326877	0.396000	0.390894	
830	0.277108	170	0.823529	1.339005	830	0.277108	0.370000	0.390893	
819	0.355311	181	0.823204	1.339005	819	0.355311	0.440000	0.390894	
824	0.342233	176	0.738636	1.339005	824	0.342233	0.412000	0.390895	
836	0.260766	164	0.774390	1.339005	836	0.260766	0.345000	0.390894	
838	0.316229	162	0.679012	1.339005	838	0.316229	0.375000	0.390893	
830	0.307229	170	0.711765	1.339005	830	0.307229	0.376000	0.390893	
861	0.300813	139	0.820144	1.339005	861	0.300813	0.373000	0.390893	
828	0.307971	172	0.773256	1.339005	828	0.307971	0.388000	0.390893	
847	0.325856	153	0.751634	1.339005	847	0.325856	0.391000	0.390893	
829	0.255730	171	0.783626	1.339005	829	0.255730	0.346000	0.390892	
837	0.353644	163	0.711656	1.339005	837	0.353644	0.412000	0.390892	
844	0.341232	156	0.846154	1.339005	844	0.341232	0.420000	0.390893	
826	0.311138	174	0.747126	1.339005	826	0.311138	0.387000	0.390893	
843	0.354686	157	0.751592	1.339005	843	0.354686	0.417000	0.390893	
819	0.324786	181	0.773481	1.339005	819	0.324786	0.406000	0.390894	
827	0.333736	173	0.687861	1.339005	827	0.333736	0.395000	0.390894	
836	0.325359	164	0.676829	1.339005	836	0.325359	0.383000	0.390894	
810	0.322222	190	0.768421	1.339005	810	0.322222	0.407000	0.390894	
852	0.327465	148	0.756757	1.339005	852	0.327465	0.391000	0.390894	
828	0.356280	172	0.784884	1.339005	828	0.356280	0.430000	0.390895	
826	0.324455	174	0.775862	1.339005	826	0.324455	0.403000	0.390895	
