Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
849	0.273263	151	0.781457	1.766380	849	0.273263	0.350000	0.366810	
851	0.282021	149	0.825503	1.766380	851	0.282021	0.363000	0.366810	
822	0.263990	178	0.797753	1.766380	822	0.263990	0.359000	0.366810	
825	0.283636	175	0.765714	1.766380	825	0.283636	0.368000	0.366810	
822	0.277372	178	0.764045	1.766380	822	0.277372	0.364000	0.366810	
820	0.289024	180	0.800000	1.766380	820	0.289024	0.381000	0.366810	
819	0.308913	181	0.784530	1.766380	819	0.308913	0.395000	0.366811	
823	0.280680	177	0.734463	1.766380	823	0.280680	0.361000	0.366811	
819	0.263736	181	0.734807	1.766380	819	0.263736	0.349000	0.366810	
844	0.274882	156	0.788462	1.766380	844	0.274882	0.355000	0.366810	
845	0.304142	155	0.722581	1.766380	845	0.304142	0.369000	0.366810	
846	0.289598	154	0.811688	1.766380	846	0.289598	0.370000	0.366810	
845	0.304142	155	0.722581	1.766380	845	0.304142	0.369000	0.366810	
833	0.286915	167	0.808383	1.766380	833	0.286915	0.374000	0.366810	
840	0.279762	160	0.750000	1.766380	840	0.279762	0.355000	0.366810	
816	0.294118	184	0.777174	1.766380	816	0.294118	0.383000	0.366810	
833	0.283313	167	0.790419	1.766380	833	0.283313	0.368000	0.366810	
850	0.284706	150	0.740000	1.766380	850	0.284706	0.353000	0.366810	
839	0.297974	161	0.726708	1.766380	839	0.297974	0.367000	0.366810	
842	0.276722	158	0.778481	1.766380	842	0.276722	0.356000	0.366810	
821	0.270402	179	0.804469	1.766380	821	0.270402	0.366000	0.366810	
835	0.299401	165	0.757576	1.766380	835	0.299401	0.375000	0.366810	
855	0.284211	145	0.772414	1.766380	855	0.284211	0.355000	0.366810	
845	0.266272	155	0.800000	1.766380	845	0.266272	0.349000	0.366810	
837	0.273596	163	0.803681	1.766380	837	0.273596	0.360000	0.366809	
832	0.305288	168	0.797619	1.766380	832	0.305288	0.388000	0.366810	
828	0.309179	172	0.837209	1.766380	828	0.309179	0.400000	0.366810	
826	0.273608	174	0.770115	1.766380	826	0.273608	0.360000	0.366810	
820	0.273171	180	0.755556	1.766380	820	0.273171	0.360000	0.366810	
843	0.290629	157	0.757962	1.766380	843	0.290629	0.364000	0.366810	
832	0.277644	168	0.815476	1.766380	832	0.277644	0.368000	0.366810	
827	0.272068	173	0.768786	1.766380	827	0.272068	0.358000	0.366810	
854	0.292740	146	0.712329	1.766380	854	0.292740	0.354000	0.366810	
823	0.281896	177	0.740113	1.766380	823	0.281896	0.363000	0.366810	
825	0.286061	175	0.834286	1.766380	825	0.286061	0.382000	0.366810	
830	0.283133	170	0.776471	1.766380	830	0.283133	0.367000	0.366810	
840	0.314286	160	0.806250	1.766380	840	0.314286	0.393000	0.366810	
846	0.278960	154	0.805195	1.766380	846	0.278960	0.360000	0.366810	
838	0.250597	162	0.648148	1.766380	838	0.250597	0.315000	0.366809	
827	0.274486	173	0.751445	1.766380	827	0.274486	0.357000	0.366809	
832	0.296875	168	0.696429	1.766380	832	0.296875	0.364000	0.366809	
825	0.304242	175	0.794286	1.766380	825	0.304242	0.390000	0.366810	
836	0.284689	164	0.823171	1.766380	836	0.284689	0.373000	0.366810	
821	0.288672	179	0.782123	1.766380	821	0.288672	0.377000	0.366810	
837	0.289128	163	0.852761	1.766380	837	0.289128	0.381000	0.366810	
820	0.282927	180	0.811111	1.766380	820	0.282927	0.378000	0.366810	
847	0.282172	153	0.790850	1.766380	847	0.282172	0.360000	0.366810	
827	0.302297	173	0.797688	1.766380	827	0.302297	0.388000	0.366811	
822	0.328467	178	0.775281	1.766380	822	0.328467	0.408000	0.366811	
827	0.284160	173	0.734104	1.766380	827	0.284160	0.362000	0.366811	
861	0.312427	139	0.784173	1.766380	861	0.312427	0.378000	0.366811	
854	0.279859	146	0.780822	1.766380	854	0.279859	0.353000	0.366811	
833	0.273709	167	0.778443	1.766380	833	0.273709	0.358000	0.366811	
818	0.308068	182	0.802198	1.766380	818	0.308068	0.398000	0.366812	
820	0.309756	180	0.772222	1.766380	820	0.309756	0.393000	0.366812	
822	0.257908	178	0.803371	1.766380	822	0.257908	0.355000	0.366812	
826	0.260291	174	0.729885	1.766380	826	0.260291	0.342000	0.366811	
828	0.285024	172	0.796512	1.766380	828	0.285024	0.373000	0.366812	
849	0.280330	151	0.788079	1.766380	849	0.280330	0.357000	0.366811	
851	0.326675	149	0.805369	1.766380	851	0.326675	0.398000	0.366812	
827	0.276904	173	0.728324	1.766380	827	0.276904	0.355000	0.366812	
824	0.287621	176	0.727273	1.766380	824	0.287621	0.365000	0.366812	
826	0.268765	174	0.770115	1.766380	826	0.268765	0.356000	0.366811	
841	0.277051	159	0.855346	1.766380	841	0.277051	0.369000	0.366812	
833	0.276110	167	0.868263	1.766380	833	0.276110	0.375000	0.366812	
822	0.293187	178	0.752809	1.766380	822	0.293187	0.375000	0.366812	
832	0.258413	168	0.869048	1.766380	832	0.258413	0.361000	0.366812	
836	0.289474	164	0.829268	1.766380	836	0.289474	0.378000	0.366812	
829	0.265380	171	0.730994	1.766380	829	0.265380	0.345000	0.366812	
837	0.284349	163	0.840491	1.766380	837	0.284349	0.375000	0.366812	
848	0.267689	152	0.750000	1.766380	848	0.267689	0.341000	0.366811	
827	0.296252	173	0.751445	1.766380	827	0.296252	0.375000	0.366811	
826	0.306295	174	0.718391	1.766380	826	0.306295	0.378000	0.366812	
851	0.274971	149	0.852349	1.766380	851	0.274971	0.361000	0.366811	
829	0.270205	171	0.789474	1.766380	829	0.270205	0.359000	0.366811	
846	0.296690	154	0.720779	1.766380	846	0.296690	0.362000	0.366811	
828	0.310386	172	0.755814	1.766380	828	0.310386	0.387000	0.366812	
837	0.299881	163	0.852761	1.766380	837	0.299881	0.390000	0.366812	
828	0.264493	172	0.831395	1.766380	828	0.264493	0.362000	0.366812	
822	0.333333	178	0.758427	1.766380	822	0.333333	0.409000	0.366813	
804	0.284826	196	0.841837	1.766380	804	0.284826	0.394000	0.366813	
860	0.277907	140	0.785714	1.766380	860	0.277907	0.349000	0.366813	
832	0.281250	168	0.750000	1.766380	832	0.281250	0.360000	0.366813	
828	0.287440	172	0.773256	1.766380	828	0.287440	0.371000	0.366813	
836	0.279904	164	0.835366	1.766380	836	0.279904	0.371000	0.366813	
834	0.272182	166	0.801205	1.766380	834	0.272182	0.360000	0.366813	
830	0.290361	170	0.782353	1.766380	830	0.290361	0.374000	0.366813	
845	0.293491	155	0.851613	1.766380	845	0.293491	0.380000	0.366813	
841	0.309156	159	0.748428	1.766380	841	0.309156	0.379000	0.366813	
839	0.296782	161	0.788820	1.766380	839	0.296782	0.376000	0.366814	
844	0.284360	156	0.788462	1.766380	844	0.284360	0.363000	0.366813	
828	0.289855	172	0.837209	1.766380	828	0.289855	0.384000	0.366814	
845	0.271006	155	0.754839	1.766380	845	0.271006	0.346000	0.366813	
832	0.296875	168	0.809524	1.766380	832	0.296875	0.383000	0.366814	
831	0.258724	169	0.769231	1.766380	831	0.258724	0.345000	0.366813	
808	0.301980	192	0.729167	1.766380	808	0.301980	0.384000	0.366814	
821	0.287454	179	0.765363	1.766380	821	0.287454	0.373000	0.366814	
857	0.304551	143	0.720280	1.766380	857	0.304551	0.364000	0.366814	
820	0.301220	180	0.772222	1.766380	820	0.301220	0.386000	0.366814	
825	0.270303	175	0.788571	1.766380	825	0.270303	0.361000	0.366814	
841	0.321046	159	0.773585	1.766380	841	0.321046	0.393000	0.366814	
813	0.271833	187	0.796791	1.766380	813	0.271833	0.370000	0.366814	
837	0.296296	163	0.834356	1.766380	837	0.296296	0.384000	0.366815	
852	0.321596	148	0.844595	1.766380	852	0.321596	0.399000	0.366815	
844	0.276066	156	0.788462	1.766380	844	0.276066	0.356000	0.366815	
832	0.257212	168	0.708333	1.766380	832	0.257212	0.333000	0.366815	
821	0.286236	179	0.782123	1.766380	821	0.286236	0.375000	0.366815	
850	0.297647	150	0.806667	1.766380	850	0.297647	0.374000	0.366815	
834	0.281775	166	0.759036	1.766380	834	0.281775	0.361000	0.366815	
828	0.260870	172	0.732558	1.766380	828	0.260870	0.342000	0.366814	
829	0.240048	171	0.748538	1.766380	829	0.240048	0.327000	0.366814	
827	0.291415	173	0.838150	1.766380	827	0.291415	0.386000	0.366814	
839	0.331347	161	0.732919	1.766380	839	0.331347	0.396000	0.366814	
841	0.277051	159	0.685535	1.766380	841	0.277051	0.342000	0.366814	
822	0.316302	178	0.696629	1.766380	822	0.316302	0.384000	0.366814	
852	0.286385	148	0.858108	1.766380	852	0.286385	0.371000	0.366814	
850	0.303529	150	0.766667	1.766380	850	0.303529	0.373000	0.366814	
833	0.276110	167	0.694611	1.766380	833	0.276110	0.346000	0.366814	
839	0.283671	161	0.788820	1.766380	839	0.283671	0.365000	0.366814	
827	0.325272	173	0.768786	1.766380	827	0.325272	0.402000	0.366815	
853	0.277843	147	0.741497	1.766380	853	0.277843	0.346000	0.366814	
832	0.286058	168	0.738095	1.766380	832	0.286058	0.362000	0.366814	
842	0.300475	158	0.854430	1.766380	842	0.300475	0.388000	0.366815	
850	0.275294	150	0.786667	1.766380	850	0.275294	0.352000	0.366814	
826	0.271186	174	0.758621	1.766380	826	0.271186	0.356000	0.366814	
807	0.260223	193	0.797927	1.766380	807	0.260223	0.364000	0.366814	
854	0.269321	146	0.780822	1.766380	854	0.269321	0.344000	0.366814	
831	0.312876	169	0.804734	1.766380	831	0.312876	0.396000	0.366814	
826	0.300242	174	0.821839	1.766380	826	0.300242	0.391000	0.366815	
838	0.287589	162	0.753086	1.766380	838	0.287589	0.363000	0.366815	
829	0.291918	171	0.771930	1.766380	829	0.291918	0.374000	0.366815	
823	0.294046	177	0.768362	1.766380	823	0.294046	0.378000	0.366815	
822	0.301703	178	0.741573	1.766380	822	0.301703	0.380000	0.366815	
826	0.268765	174	0.718391	1.766380	826	0.268765	0.347000	0.366815	
816	0.269608	184	0.820652	1.766380	816	0.269608	0.371000	0.366815	
839	0.300358	161	0.770186	1.766380	839	0.300358	0.376000	0.366815	
822	0.305353	178	0.764045	1.766380	822	0.305353	0.387000	0.366815	
828	0.266908	172	0.813953	1.766380	828	0.266908	0.361000	0.366815	
812	0.279557	188	0.728723	1.766380	812	0.279557	0.364000	0.366815	
825	0.265455	175	0.777143	1.766380	825	0.265455	0.355000	0.366815	
824	0.264563	176	0.818182	1.766380	824	0.264563	0.362000	0.366815	
840	0.272619	160	0.837500	1.766380	840	0.272619	0.363000	0.366815	
830	0.304819	170	0.805882	1.766380	830	0.304819	0.390000	0.366815	
830	0.280723	170	0.882353	1.766380	830	0.280723	0.383000	0.366816	
824	0.307039	176	0.784091	1.766380	824	0.307039	0.391000	0.366816	
834	0.303357	166	0.704819	1.766380	834	0.303357	0.370000	0.366816	
803	0.281445	197	0.832487	1.766380	803	0.281445	0.390000	0.366816	
822	0.315085	178	0.780899	1.766380	822	0.315085	0.398000	0.366817	
826	0.285714	174	0.741379	1.766380	826	0.285714	0.365000	0.366817	
830	0.267470	170	0.770588	1.766380	830	0.267470	0.353000	0.366817	
811	0.277435	189	0.740741	1.766380	811	0.277435	0.365000	0.366817	
852	0.289906	148	0.722973	1.766380	852	0.289906	0.354000	0.366817	
853	0.287222	147	0.789116	1.766380	853	0.287222	0.361000	0.366816	
858	0.284382	142	0.746479	1.766380	858	0.284382	0.350000	0.366816	
833	0.294118	167	0.796407	1.766380	833	0.294118	0.378000	0.366816	
839	0.297974	161	0.832298	1.766380	839	0.297974	0.384000	0.366817	
826	0.300242	174	0.735632	1.766380	826	0.300242	0.376000	0.366817	
845	0.284024	155	0.812903	1.766380	845	0.284024	0.366000	0.366817	
813	0.269373	187	0.791444	1.766380	813	0.269373	0.367000	0.366817	
847	0.314050	153	0.797386	1.766380	847	0.314050	0.388000	0.366817	
817	0.309670	183	0.759563	1.766380	817	0.309670	0.392000	0.366818	
819	0.294261	181	0.806630	1.766380	819	0.294261	0.387000	0.366818	
831	0.309266	169	0.757396	1.766380	831	0.309266	0.385000	0.366818	
837	0.258065	163	0.748466	1.766380	837	0.258065	0.338000	0.366818	
836	0.296651	164	0.810976	1.766380	836	0.296651	0.381000	0.366818	
835	0.264671	165	0.775758	1.766380	835	0.264671	0.349000	0.366818	
835	0.294611	165	0.733333	1.766380	835	0.294611	0.367000	0.366818	
844	0.280806	156	0.807692	1.766380	844	0.280806	0.363000	0.366818	
846	0.256501	154	0.766234	1.766380	846	0.256501	0.335000	0.366817	
834	0.279376	166	0.849398	1.766380	834	0.279376	0.374000	0.366817	
820	0.286585	180	0.827778	1.766380	820	0.286585	0.384000	0.366818	
815	0.296933	185	0.783784	1.766380	815	0.296933	0.387000	0.366818	
843	0.302491	157	0.853503	1.766380	843	0.302491	0.389000	0.366818	
831	0.290012	169	0.769231	1.766380	831	0.290012	0.371000	0.366818	
830	0.298795	170	0.735294	1.766380	830	0.298795	0.373000	0.366818	
833	0.279712	167	0.772455	1.766380	833	0.279712	0.362000	0.366818	
845	0.291124	155	0.735484	1.766380	845	0.291124	0.360000	0.366818	
832	0.280048	168	0.791667	1.766380	832	0.280048	0.366000	0.366818	
831	0.297232	169	0.751479	1.766380	831	0.297232	0.374000	0.366818	
824	0.299757	176	0.795455	1.766380	824	0.299757	0.387000	0.366819	
837	0.275986	163	0.773006	1.766380	837	0.275986	0.357000	0.366819	
827	0.322854	173	0.624277	1.766380	827	0.322854	0.375000	0.366819	
824	0.296117	176	0.829545	1.766380	824	0.296117	0.390000	0.366819	
823	0.298906	177	0.689266	1.766380	823	0.298906	0.368000	0.366819	
839	0.289631	161	0.813665	1.766380	839	0.289631	0.374000	0.366819	
811	0.305795	189	0.793651	1.766380	811	0.305795	0.398000	0.366820	
838	0.321002	162	0.716049	1.766380	838	0.321002	0.385000	0.366820	
831	0.292419	169	0.798817	1.766380	831	0.292419	0.378000	0.366820	
853	0.287222	147	0.775510	1.766380	853	0.287222	0.359000	0.366820	
850	0.275294	150	0.813333	1.766380	850	0.275294	0.356000	0.366820	
819	0.307692	181	0.806630	1.766380	819	0.307692	0.398000	0.366821	
833	0.274910	167	0.766467	1.766380	833	0.274910	0.357000	0.366820	
824	0.277913	176	0.795455	1.766380	824	0.277913	0.369000	0.366820	
848	0.274764	152	0.809211	1.766380	848	0.274764	0.356000	0.366820	
816	0.283088	184	0.804348	1.766380	816	0.283088	0.379000	0.366820	
826	0.274818	174	0.827586	1.766380	826	0.274818	0.371000	0.366821	
843	0.276394	157	0.764331	1.766380	843	0.276394	0.353000	0.366820	
851	0.274971	149	0.738255	1.766380	851	0.274971	0.344000	0.366820	
814	0.264128	186	0.768817	1.766380	814	0.264128	0.358000	0.366820	
813	0.307503	187	0.791444	1.766380	813	0.307503	0.398000	0.366820	
819	0.295482	181	0.740331	1.766380	819	0.295482	0.376000	0.366820	
842	0.282660	158	0.753165	1.766380	842	0.282660	0.357000	0.366820	
828	0.286232	172	0.813953	1.766380	828	0.286232	0.377000	0.366820	
844	0.277251	156	0.782051	1.766380	844	0.277251	0.356000	0.366820	
831	0.293622	169	0.786982	1.766380	831	0.293622	0.377000	0.366820	
825	0.281212	175	0.731429	1.766380	825	0.281212	0.360000	0.366820	
825	0.288485	175	0.657143	1.766380	825	0.288485	0.353000	0.366820	
831	0.271961	169	0.757396	1.766380	831	0.271961	0.354000	0.366820	
823	0.291616	177	0.700565	1.766380	823	0.291616	0.364000	0.366820	
837	0.295102	163	0.834356	1.766380	837	0.295102	0.383000	0.366820	
830	0.274699	170	0.805882	1.766380	830	0.274699	0.365000	0.366820	
834	0.291367	166	0.765060	1.766380	834	0.291367	0.370000	0.366820	
831	0.315283	169	0.857988	1.766380	831	0.315283	0.407000	0.366821	
828	0.280193	172	0.720930	1.766380	828	0.280193	0.356000	0.366821	
841	0.285375	159	0.742138	1.766380	841	0.285375	0.358000	0.366820	
844	0.289100	156	0.750000	1.766380	844	0.289100	0.361000	0.366820	
814	0.265356	186	0.774194	1.766380	814	0.265356	0.360000	0.366820	
828	0.280193	172	0.790698	1.766380	828	0.280193	0.368000	0.366820	
839	0.271752	161	0.776398	1.766380	839	0.271752	0.353000	0.366820	
838	0.312649	162	0.759259	1.766380	838	0.312649	0.385000	0.366820	
827	0.286578	173	0.751445	1.766380	827	0.286578	0.367000	0.366820	
842	0.276722	158	0.772152	1.766380	842	0.276722	0.355000	0.366820	
820	0.265854	180	0.783333	1.766380	820	0.265854	0.359000	0.366820	
843	0.268090	157	0.777070	1.766380	843	0.268090	0.348000	0.366820	
835	0.288623	165	0.757576	1.766380	835	0.288623	0.366000	0.366820	
811	0.289766	189	0.851852	1.766380	811	0.289766	0.396000	0.366820	
837	0.264038	163	0.834356	1.766380	837	0.264038	0.357000	0.366820	
824	0.273058	176	0.863636	1.766380	824	0.273058	0.377000	0.366820	
848	0.291274	152	0.730263	1.766380	848	0.291274	0.358000	0.366820	
828	0.282609	172	0.784884	1.766380	828	0.282609	0.369000	0.366820	
840	0.289286	160	0.787500	1.766380	840	0.289286	0.369000	0.366820	
853	0.266120	147	0.741497	1.766380	853	0.266120	0.336000	0.366820	
836	0.265550	164	0.804878	1.766380	836	0.265550	0.354000	0.366819	
841	0.277051	159	0.792453	1.766380	841	0.277051	0.359000	0.366819	
837	0.258065	163	0.711656	1.766380	837	0.258065	0.332000	0.366819	
843	0.283511	157	0.700637	1.766380	843	0.283511	0.349000	0.366818	
842	0.309976	158	0.791139	1.766380	842	0.309976	0.386000	0.366819	
845	0.265089	155	0.800000	1.766380	845	0.265089	0.348000	0.366818	
846	0.258865	154	0.753247	1.766380	846	0.258865	0.335000	0.366818	
825	0.318788	175	0.777143	1.766380	825	0.318788	0.399000	0.366818	
821	0.267966	179	0.793296	1.766380	821	0.267966	0.362000	0.366818	
842	0.283848	158	0.803797	1.766380	842	0.283848	0.366000	0.366818	
819	0.274725	181	0.795580	1.766380	819	0.274725	0.369000	0.366818	
818	0.266504	182	0.785714	1.766380	818	0.266504	0.361000	0.366818	
796	0.312814	204	0.799020	1.766380	796	0.312814	0.412000	0.366819	
836	0.270335	164	0.792683	1.766380	836	0.270335	0.356000	0.366819	
825	0.283636	175	0.760000	1.766380	825	0.283636	0.367000	0.366819	
851	0.272620	149	0.805369	1.766380	851	0.272620	0.352000	0.366818	
843	0.294187	157	0.789809	1.766380	843	0.294187	0.372000	0.366819	
824	0.290049	176	0.693182	1.766380	824	0.290049	0.361000	0.366818	
837	0.309438	163	0.809816	1.766380	837	0.309438	0.391000	0.366819	
810	0.290123	190	0.784211	1.766380	810	0.290123	0.384000	0.366819	
835	0.286228	165	0.678788	1.766380	835	0.286228	0.351000	0.366819	
843	0.269276	157	0.808917	1.766380	843	0.269276	0.354000	0.366819	
825	0.266667	175	0.822857	1.766380	825	0.266667	0.364000	0.366819	
851	0.309048	149	0.731544	1.766380	851	0.309048	0.372000	0.366819	
851	0.333725	149	0.738255	1.766380	851	0.333725	0.394000	0.366819	
854	0.263466	146	0.780822	1.766380	854	0.263466	0.339000	0.366819	
827	0.310762	173	0.774566	1.766380	827	0.310762	0.391000	0.366819	
813	0.274293	187	0.786096	1.766380	813	0.274293	0.370000	0.366819	
860	0.312791	140	0.807143	1.766380	860	0.312791	0.382000	0.366819	
849	0.269729	151	0.768212	1.766380	849	0.269729	0.345000	0.366819	
817	0.315789	183	0.754098	1.766380	817	0.315789	0.396000	0.366820	
827	0.292624	173	0.820809	1.766380	827	0.292624	0.384000	0.366820	
844	0.330569	156	0.826923	1.766380	844	0.330569	0.408000	0.366821	
831	0.286402	169	0.775148	1.766380	831	0.286402	0.369000	0.366821	
827	0.286578	173	0.820809	1.766380	827	0.286578	0.379000	0.366821	
823	0.317132	177	0.853107	1.766380	823	0.317132	0.412000	0.366822	
833	0.278511	167	0.748503	1.766380	833	0.278511	0.357000	0.366822	
840	0.310714	160	0.825000	1.766380	840	0.310714	0.393000	0.366822	
830	0.226506	170	0.800000	1.766380	830	0.226506	0.324000	0.366821	
839	0.300358	161	0.770186	1.766380	839	0.300358	0.376000	0.366821	
845	0.307692	155	0.748387	1.766380	845	0.307692	0.376000	0.366822	
827	0.310762	173	0.745665	1.766380	827	0.310762	0.386000	0.366822	
846	0.257683	154	0.772727	1.766380	846	0.257683	0.337000	0.366821	
854	0.305621	146	0.767123	1.766380	854	0.305621	0.373000	0.366821	
828	0.278986	172	0.720930	1.766380	828	0.278986	0.355000	0.366821	
821	0.314251	179	0.787709	1.766380	821	0.314251	0.399000	0.366822	
803	0.285181	197	0.822335	1.766380	803	0.285181	0.391000	0.366822	
830	0.291566	170	0.764706	1.766380	830	0.291566	0.372000	0.366822	
839	0.287247	161	0.745342	1.766380	839	0.287247	0.361000	0.366822	
821	0.298417	179	0.782123	1.766380	821	0.298417	0.385000	0.366823	
845	0.263905	155	0.754839	1.766380	845	0.263905	0.340000	0.366822	
836	0.290670	164	0.847561	1.766380	836	0.290670	0.382000	0.366822	
837	0.295102	163	0.815951	1.766380	837	0.295102	0.380000	0.366823	
872	0.287844	128	0.851562	1.766380	872	0.287844	0.360000	0.366823	
837	0.317802	163	0.791411	1.766380	837	0.317802	0.395000	0.366823	
830	0.289157	170	0.847059	1.766380	830	0.289157	0.384000	0.366823	
