Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/austronesian-hawaiian-absenceofcousinmarriage.preference.bttrees
Data File Name:                  ./data/austronesian-hawaiian-absenceofcousinmarriage.preference.btdata
Log File Name:                   ./output/austronesian-hawaiian-absenceofcousinmarriage.preference-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3848012523
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/austronesian-hawaiian-absenceofcousinmarriage.preference-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.316456,0.126582,0.531646,0.025316)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.083703
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       79
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-93.134168	5	13.881313	12.015516	0.551635	3.414463	0.363072	0.022471	0.609963	0.004494	
12000	-89.529171	419	35.871444	35.369171	2.509874	12.495721	0.316904	0.125582	0.532398	0.025116	
13000	-90.772567	190	7.684793	7.237822	0.615833	4.834543	0.348505	0.059713	0.579952	0.011830	
14000	-88.929699	714	4.258026	4.992990	2.967537	12.296858	0.297811	0.114921	0.561475	0.025793	
15000	-91.044768	625	4.023386	5.178596	2.632200	9.485070	0.287730	0.099139	0.588972	0.024159	
16000	-91.061414	641	8.234602	6.676778	1.079042	4.507702	0.353237	0.050344	0.586469	0.009951	
17000	-87.733498	600	3.686669	3.992049	3.418417	19.194998	0.311740	0.124694	0.537949	0.025616	
18000	-88.357389	148	8.426046	6.223050	3.655509	24.844937	0.320913	0.128370	0.525684	0.025033	
19000	-89.553588	611	15.183582	14.576100	3.476047	22.423035	0.316447	0.126592	0.531642	0.025319	
20000	-91.108135	135	2.625282	0.892687	5.203894	34.801607	0.635458	0.254183	0.105342	0.005016	
21000	-88.438477	904	3.884779	2.782902	2.268078	18.178998	0.404388	0.161884	0.413998	0.019730	
22000	-88.737955	620	7.439530	7.591948	6.646681	27.296089	0.316278	0.126511	0.531884	0.025328	
23000	-92.523700	673	17.245925	21.498802	1.220393	7.179248	0.326218	0.104779	0.548047	0.020956	
24000	-91.426107	720	3.598533	1.664416	2.218039	19.434148	0.585959	0.235003	0.170879	0.008159	
25000	-88.576253	346	3.906417	2.585025	4.374375	18.855850	0.504608	0.201655	0.280397	0.013340	
26000	-90.406862	262	6.644652	6.155646	3.902299	10.315851	0.324809	0.119729	0.532111	0.023350	
27000	-88.633050	937	6.316446	4.929628	3.442426	13.708765	0.332380	0.131785	0.511684	0.024152	
28000	-88.648130	467	7.172150	7.374573	1.314040	7.650270	0.324860	0.106599	0.547167	0.021374	
29000	-89.364125	700	27.110413	20.359546	6.485556	25.475047	0.316456	0.126581	0.531647	0.025316	
