Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
813	0.238622	187	0.572193	1.259822	813	0.238622	0.301000	0.314699	
827	0.261185	173	0.468208	1.259822	827	0.261185	0.297000	0.313224	
825	0.259394	175	0.691429	1.259822	825	0.259394	0.335000	0.314899	
845	0.273373	155	0.587097	1.259822	845	0.273373	0.322000	0.315406	
824	0.241505	176	0.750000	1.259822	824	0.241505	0.331000	0.316446	
863	0.250290	137	0.649635	1.259822	863	0.250290	0.305000	0.315730	
842	0.203088	158	0.677215	1.259822	842	0.203088	0.278000	0.313511	
836	0.290670	164	0.646341	1.259822	836	0.290670	0.349000	0.315482	
853	0.248535	147	0.687075	1.259822	853	0.248535	0.313000	0.315352	
830	0.240964	170	0.588235	1.259822	830	0.240964	0.300000	0.314584	
844	0.274882	156	0.480769	1.259822	844	0.274882	0.307000	0.314223	
850	0.248235	150	0.560000	1.259822	850	0.248235	0.295000	0.313349	
829	0.252111	171	0.649123	1.259822	829	0.252111	0.320000	0.313639	
840	0.259524	160	0.600000	1.259822	840	0.259524	0.314000	0.313654	
829	0.277443	171	0.672515	1.259822	829	0.277443	0.345000	0.314907	
808	0.287129	192	0.635417	1.259822	808	0.287129	0.354000	0.316411	
832	0.258413	168	0.666667	1.259822	832	0.258413	0.327000	0.316803	
828	0.268116	172	0.686047	1.259822	828	0.268116	0.340000	0.317632	
828	0.263285	172	0.639535	1.259822	828	0.263285	0.328000	0.317989	
859	0.291036	141	0.737589	1.259822	859	0.291036	0.354000	0.319189	
842	0.260095	158	0.405063	1.259822	842	0.260095	0.283000	0.318022	
843	0.234875	157	0.726115	1.259822	843	0.234875	0.312000	0.317834	
819	0.278388	181	0.635359	1.259822	819	0.278388	0.343000	0.318596	
839	0.266985	161	0.559006	1.259822	839	0.266985	0.314000	0.318461	
829	0.258142	171	0.596491	1.259822	829	0.258142	0.316000	0.318391	
848	0.291274	152	0.638158	1.259822	848	0.291274	0.344000	0.319102	
834	0.263789	166	0.584337	1.259822	834	0.263789	0.317000	0.319045	
812	0.272167	188	0.686170	1.259822	812	0.272167	0.350000	0.319860	
815	0.266258	185	0.567568	1.259822	815	0.266258	0.322000	0.319915	
830	0.293976	170	0.670588	1.259822	830	0.293976	0.358000	0.320867	
822	0.273723	178	0.584270	1.259822	822	0.273723	0.329000	0.321065	
837	0.260454	163	0.582822	1.259822	837	0.260454	0.313000	0.320873	
835	0.244311	165	0.696970	1.259822	835	0.244311	0.319000	0.320830	
820	0.220732	180	0.616667	1.259822	820	0.220732	0.292000	0.320175	
838	0.239857	162	0.543210	1.259822	838	0.239857	0.289000	0.319482	
812	0.248768	188	0.595745	1.259822	812	0.248768	0.314000	0.319363	
834	0.303357	166	0.710843	1.259822	834	0.303357	0.371000	0.320461	
817	0.246022	183	0.666667	1.259822	817	0.246022	0.323000	0.320514	
827	0.275695	173	0.572254	1.259822	827	0.275695	0.327000	0.320647	
846	0.256501	154	0.590909	1.259822	846	0.256501	0.308000	0.320394	
815	0.247853	185	0.627027	1.259822	815	0.247853	0.318000	0.320347	
817	0.239902	183	0.672131	1.259822	817	0.239902	0.319000	0.320321	
861	0.222997	139	0.654676	1.259822	861	0.222997	0.283000	0.319617	
841	0.258026	159	0.628931	1.259822	841	0.258026	0.317000	0.319568	
837	0.287933	163	0.564417	1.259822	837	0.287933	0.333000	0.319812	
836	0.267943	164	0.682927	1.259822	836	0.267943	0.336000	0.320101	
845	0.231953	155	0.651613	1.259822	845	0.231953	0.297000	0.319696	
848	0.287736	152	0.703947	1.259822	848	0.287736	0.351000	0.320236	
845	0.293491	155	0.606452	1.259822	845	0.293491	0.342000	0.320605	
819	0.277167	181	0.712707	1.259822	819	0.277167	0.356000	0.321195	
837	0.280765	163	0.680982	1.259822	837	0.280765	0.346000	0.321601	
867	0.282584	133	0.593985	1.259822	867	0.282584	0.324000	0.321640	
840	0.286905	160	0.675000	1.259822	840	0.286905	0.349000	0.322074	
850	0.227059	150	0.526667	1.259822	850	0.227059	0.272000	0.321292	
819	0.240537	181	0.607735	1.259822	819	0.240537	0.307000	0.321072	
838	0.272076	162	0.685185	1.259822	838	0.272076	0.339000	0.321344	
828	0.250000	172	0.453488	1.259822	828	0.250000	0.285000	0.320801	
816	0.274510	184	0.505435	1.259822	816	0.274510	0.317000	0.320745	
820	0.243902	180	0.555556	1.259822	820	0.243902	0.300000	0.320445	
825	0.276364	175	0.634286	1.259822	825	0.276364	0.339000	0.320710	
836	0.259569	164	0.670732	1.259822	836	0.259569	0.327000	0.320798	
847	0.277450	153	0.555556	1.259822	847	0.277450	0.320000	0.320787	
852	0.261737	148	0.655405	1.259822	852	0.261737	0.320000	0.320776	
831	0.263538	169	0.686391	1.259822	831	0.263538	0.335000	0.320969	
842	0.264846	158	0.481013	1.259822	842	0.264846	0.299000	0.320676	
840	0.276190	160	0.556250	1.259822	840	0.276190	0.321000	0.320680	
840	0.285714	160	0.556250	1.259822	840	0.285714	0.329000	0.320788	
826	0.290557	174	0.591954	1.259822	826	0.290557	0.343000	0.321073	
856	0.262850	144	0.680556	1.259822	856	0.262850	0.323000	0.321097	
836	0.266746	164	0.676829	1.259822	836	0.266746	0.334000	0.321258	
827	0.224909	173	0.543353	1.259822	827	0.224909	0.280000	0.320749	
853	0.262603	147	0.517007	1.259822	853	0.262603	0.300000	0.320496	
839	0.253874	161	0.621118	1.259822	839	0.253874	0.313000	0.320406	
836	0.270335	164	0.640244	1.259822	836	0.270335	0.331000	0.320532	
845	0.249704	155	0.619355	1.259822	845	0.249704	0.307000	0.320373	
847	0.276269	153	0.673203	1.259822	847	0.276269	0.337000	0.320566	
843	0.276394	157	0.687898	1.259822	843	0.276394	0.341000	0.320801	
840	0.248810	160	0.568750	1.259822	840	0.248810	0.300000	0.320565	
