Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
817	0.222766	183	0.836066	1.290037	817	0.222766	0.335000	0.319516	
810	0.227160	190	0.757895	1.290037	810	0.227160	0.328000	0.320223	
817	0.223990	183	0.830601	1.290037	817	0.223990	0.335000	0.321360	
807	0.263941	193	0.782383	1.290037	807	0.263941	0.364000	0.324405	
810	0.216049	190	0.773684	1.290037	810	0.216049	0.322000	0.324245	
808	0.243812	192	0.833333	1.290037	808	0.243812	0.357000	0.326292	
802	0.213217	198	0.777778	1.290037	802	0.213217	0.325000	0.326216	
815	0.223313	185	0.789189	1.290037	815	0.223313	0.328000	0.326315	
839	0.230036	161	0.782609	1.290037	839	0.230036	0.319000	0.325930	
811	0.237978	189	0.783069	1.290037	811	0.237978	0.341000	0.326684	
829	0.248492	171	0.795322	1.290037	829	0.248492	0.342000	0.327413	
832	0.230769	168	0.744048	1.290037	832	0.230769	0.317000	0.326940	
789	0.200253	211	0.758294	1.290037	789	0.200253	0.318000	0.326551	
814	0.223587	186	0.817204	1.290037	814	0.223587	0.334000	0.326861	
801	0.228464	199	0.884422	1.290037	801	0.228464	0.359000	0.328147	
823	0.229648	177	0.836158	1.290037	823	0.229648	0.337000	0.328487	
816	0.220588	184	0.815217	1.290037	816	0.220588	0.330000	0.328543	
827	0.217654	173	0.803468	1.290037	827	0.217654	0.319000	0.328203	
813	0.209102	187	0.780749	1.290037	813	0.209102	0.316000	0.327782	
829	0.214717	171	0.812865	1.290037	829	0.214717	0.317000	0.327422	
825	0.235152	175	0.845714	1.290037	825	0.235152	0.342000	0.327893	
807	0.235440	193	0.818653	1.290037	807	0.235440	0.348000	0.328521	
808	0.222772	192	0.817708	1.290037	808	0.222772	0.337000	0.328778	
827	0.218863	173	0.728324	1.290037	827	0.218863	0.307000	0.328137	
784	0.229592	216	0.796296	1.290037	784	0.229592	0.352000	0.328819	
811	0.233046	189	0.835979	1.290037	811	0.233046	0.347000	0.329324	
825	0.250909	175	0.794286	1.290037	825	0.250909	0.346000	0.329775	
806	0.209677	194	0.809278	1.290037	806	0.209677	0.326000	0.329676	
817	0.197062	183	0.759563	1.290037	817	0.197062	0.300000	0.328915	
835	0.497006	165	0.806061	0.713248	835	0.497006	0.548000	0.334392	
796	0.301508	204	0.808824	1.070036	796	0.301508	0.405000	0.336114	
790	0.293671	210	0.795238	1.070036	790	0.293671	0.399000	0.337611	
825	0.304242	175	0.662857	1.070036	825	0.304242	0.367000	0.338294	
822	0.334550	178	0.780899	1.070036	822	0.334550	0.414000	0.340015	
837	0.315412	163	0.840491	1.070036	837	0.315412	0.401000	0.341370	
780	0.326923	220	0.786364	1.070036	780	0.326923	0.428000	0.343253	
825	0.305455	175	0.828571	1.070036	825	0.305455	0.397000	0.344397	
817	0.312118	183	0.819672	1.070036	817	0.312118	0.405000	0.345659	
816	0.333333	184	0.733696	1.070036	816	0.333333	0.407000	0.346911	
812	0.347291	188	0.867021	1.070036	812	0.347291	0.445000	0.348873	
813	0.330873	187	0.775401	1.070036	813	0.330873	0.414000	0.350150	
823	0.314702	177	0.813559	1.070036	823	0.314702	0.403000	0.351166	
814	0.309582	186	0.817204	1.070036	814	0.309582	0.404000	0.352163	
821	0.330085	179	0.759777	1.070036	821	0.330085	0.407000	0.353179	
837	0.314217	163	0.809816	1.070036	837	0.314217	0.395000	0.353939	
823	0.324423	177	0.790960	1.070036	823	0.324423	0.407000	0.354887	
835	0.328144	165	0.757576	1.070036	835	0.328144	0.399000	0.355660	
815	0.296933	185	0.875676	1.070036	815	0.296933	0.404000	0.356494	
815	0.321472	185	0.794595	1.070036	815	0.321472	0.409000	0.357384	
839	0.312277	161	0.776398	1.070036	839	0.312277	0.387000	0.357877	
812	0.316502	188	0.728723	1.070036	812	0.316502	0.394000	0.358470	
807	0.301115	193	0.766839	1.070036	807	0.301115	0.391000	0.358994	
818	0.309291	182	0.829670	1.070036	818	0.309291	0.404000	0.359709	
817	0.310894	183	0.852459	1.070036	817	0.310894	0.410000	0.360494	
824	0.303398	176	0.806818	1.070036	824	0.303398	0.392000	0.360979	
835	0.322156	165	0.781818	1.070036	835	0.322156	0.398000	0.361540	
798	0.302005	202	0.782178	1.070036	798	0.302005	0.399000	0.362099	
812	0.304187	188	0.909574	1.070036	812	0.304187	0.418000	0.362921	
820	0.308537	180	0.833333	1.070036	820	0.308537	0.403000	0.363502	
819	0.318681	181	0.812155	1.070036	819	0.318681	0.408000	0.364138	
799	0.342929	201	0.810945	1.070036	799	0.342929	0.437000	0.365164	
807	0.315985	193	0.715026	1.070036	807	0.315985	0.393000	0.365550	
835	0.314970	165	0.769697	1.070036	835	0.314970	0.390000	0.365885	
809	0.317676	191	0.801047	1.070036	809	0.317676	0.410000	0.366482	
822	0.300487	178	0.797753	1.070036	822	0.300487	0.389000	0.366782	
800	0.310000	200	0.870000	1.070036	800	0.310000	0.422000	0.367508	
815	0.268712	185	0.783784	1.070036	815	0.268712	0.364000	0.367463	
818	0.300733	182	0.824176	1.070036	818	0.300733	0.396000	0.367829	
852	0.333333	148	0.783784	1.070036	852	0.333333	0.400000	0.368236	
822	0.333333	178	0.859551	1.070036	822	0.333333	0.427000	0.368970	
821	0.308161	179	0.815642	1.070036	821	0.308161	0.399000	0.369341	
807	0.324659	193	0.849741	1.070036	807	0.324659	0.426000	0.370032	
808	0.300743	192	0.776042	1.070036	808	0.300743	0.392000	0.370297	
818	0.309291	182	0.840659	1.070036	818	0.309291	0.406000	0.370722	
801	0.299625	199	0.819095	1.070036	801	0.299625	0.403000	0.371102	
811	0.303329	189	0.835979	1.070036	811	0.303329	0.404000	0.371484	
836	0.336124	164	0.719512	1.070036	836	0.336124	0.399000	0.371800	
815	0.310429	185	0.756757	1.070036	815	0.310429	0.393000	0.372041	
810	0.303704	190	0.810526	1.070036	810	0.303704	0.400000	0.372355	
822	0.328467	178	0.820225	1.070036	822	0.328467	0.416000	0.372840	
803	0.292653	197	0.796954	1.070036	803	0.292653	0.392000	0.373051	
820	0.342683	180	0.755556	1.070036	820	0.342683	0.417000	0.373529	
810	0.332099	190	0.821053	1.070036	810	0.332099	0.425000	0.374082	
827	0.315599	173	0.815029	1.070036	827	0.315599	0.402000	0.374379	
824	0.319175	176	0.818182	1.070036	824	0.319175	0.407000	0.374722	
812	0.288177	188	0.792553	1.070036	812	0.288177	0.383000	0.374809	
789	0.294043	211	0.815166	1.070036	789	0.294043	0.404000	0.375110	
826	0.309927	174	0.856322	1.070036	826	0.309927	0.405000	0.375415	
829	0.303981	171	0.836257	1.070036	829	0.303981	0.395000	0.375612	
834	0.297362	166	0.801205	1.070036	834	0.297362	0.381000	0.375666	
832	0.307692	168	0.851190	1.070036	832	0.307692	0.399000	0.375897	
783	0.333333	217	0.764977	1.070036	783	0.333333	0.427000	0.376398	
798	0.289474	202	0.767327	1.070036	798	0.289474	0.386000	0.376491	
813	0.317343	187	0.786096	1.070036	813	0.317343	0.405000	0.376766	
817	0.310894	183	0.808743	1.070036	817	0.310894	0.402000	0.377006	
840	0.317857	160	0.831250	1.070036	840	0.317857	0.400000	0.377223	
823	0.297691	177	0.847458	1.070036	823	0.297691	0.395000	0.377389	
805	0.316770	195	0.748718	1.070036	805	0.316770	0.401000	0.377608	
811	0.313194	189	0.756614	1.070036	811	0.313194	0.397000	0.377786	
810	0.276543	190	0.826316	1.070036	810	0.276543	0.381000	0.377815	
820	0.301220	180	0.788889	1.070036	820	0.301220	0.389000	0.377916	
807	0.325898	193	0.782383	1.070036	807	0.325898	0.414000	0.378238	
800	0.297500	200	0.820000	1.070036	800	0.297500	0.402000	0.378448	
822	0.307786	178	0.859551	1.070036	822	0.307786	0.406000	0.378690	
837	0.317802	163	0.803681	1.070036	837	0.317802	0.397000	0.378849	
819	0.306471	181	0.762431	1.070036	819	0.306471	0.389000	0.378936	
815	0.298160	185	0.870270	1.070036	815	0.298160	0.404000	0.379151	
845	0.333728	155	0.767742	1.070036	845	0.333728	0.401000	0.379336	
828	0.359903	172	0.819767	1.070036	828	0.359903	0.439000	0.379837	
816	0.273284	184	0.820652	1.070036	816	0.273284	0.374000	0.379789	
818	0.290954	182	0.736264	1.070036	818	0.290954	0.372000	0.379724	
800	0.300000	200	0.810000	1.070036	800	0.300000	0.402000	0.379907	
837	0.320191	163	0.852761	1.070036	837	0.320191	0.407000	0.380127	
