Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
818	0.251834	182	0.884615	1.839803	818	0.251834	0.367000	0.302700	
824	0.251214	176	0.909091	1.839803	824	0.251214	0.367000	0.308058	
827	0.234583	173	0.890173	1.839803	827	0.234583	0.348000	0.311130	
821	0.297199	179	0.843575	1.839803	821	0.297199	0.395000	0.317120	
818	0.267726	182	0.862637	1.839803	818	0.267726	0.376000	0.321045	
826	0.242131	174	0.810345	1.839803	826	0.242131	0.341000	0.322292	
816	0.226716	184	0.885870	1.839803	816	0.226716	0.348000	0.323804	
811	0.277435	189	0.825397	1.839803	811	0.277435	0.381000	0.326982	
820	0.300000	180	0.911111	1.839803	820	0.300000	0.410000	0.331351	
840	0.277381	160	0.906250	1.839803	840	0.277381	0.378000	0.333683	
827	0.244256	173	0.890173	1.839803	827	0.244256	0.356000	0.334746	
810	0.206173	190	0.952632	1.839803	810	0.206173	0.348000	0.335348	
822	0.254258	178	0.853933	1.839803	822	0.254258	0.361000	0.336464	
831	0.238267	169	0.875740	1.839803	831	0.238267	0.346000	0.336861	
835	0.214371	165	0.890909	1.839803	835	0.214371	0.326000	0.336427	
830	0.232530	170	0.888235	1.839803	830	0.232530	0.344000	0.336718	
853	0.246190	147	0.891156	1.839803	853	0.246190	0.341000	0.336876	
819	0.210012	181	0.856354	1.839803	819	0.210012	0.327000	0.336524	
809	0.270705	191	0.863874	1.839803	809	0.270705	0.384000	0.338161	
828	0.265700	172	0.872093	1.839803	828	0.265700	0.370000	0.339222	
818	0.248166	182	0.862637	1.839803	818	0.248166	0.360000	0.339892	
810	0.262963	190	0.852632	1.839803	810	0.262963	0.375000	0.340989	
826	0.266344	174	0.902299	1.839803	826	0.266344	0.377000	0.342081	
832	0.257212	168	0.863095	1.839803	832	0.257212	0.359000	0.342578	
835	0.253892	165	0.836364	1.839803	835	0.253892	0.350000	0.342790	
