Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/austronesian-iroquois-exogamy.unilineal.descent.bttrees
Data File Name:                  ./data/austronesian-iroquois-exogamy.unilineal.descent.btdata
Log File Name:                   ./output/austronesian-iroquois-exogamy.unilineal.descent-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1974597771
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-iroquois-exogamy.unilineal.descent-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.807692,0.025641,0.141026,0.025641)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000083
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       78
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-52.419043	184	1	0	'0 0 0 0 	0.651428	0.651428	0.651428	0.651428	0.999747	0.000039	0.000214	0.000000	
12000	-51.848684	966	1	0	'0 0 0 0 	0.596597	0.596597	0.596597	0.596597	0.999551	0.000069	0.000380	0.000000	
13000	-50.783855	897	2	0	'1 0 1 0 	0.121385	3.913809	0.121385	3.913809	0.560995	0.002031	0.428100	0.008875	
14000	-49.980898	134	2	0	'1 0 1 0 	0.194879	4.975460	0.194879	4.975460	0.473220	0.004828	0.493138	0.028814	
15000	-52.201353	994	1	0	'0 0 0 0 	0.764238	0.764238	0.764238	0.764238	0.997323	0.000411	0.002261	0.000005	
16000	-51.414734	461	1	0	'0 0 0 0 	0.543072	0.543072	0.543072	0.543072	0.999733	0.000041	0.000226	0.000000	
17000	-52.429344	31	1	0	'0 0 0 0 	0.419970	0.419970	0.419970	0.419970	0.999813	0.000029	0.000158	0.000000	
18000	-52.461090	165	1	0	'0 0 0 0 	0.436836	0.436836	0.436836	0.436836	0.998895	0.000170	0.000934	0.000001	
19000	-51.470199	612	1	0	'0 0 0 0 	0.554494	0.554494	0.554494	0.554494	0.999849	0.000023	0.000128	0.000000	
20000	-51.782590	717	1	0	'0 0 0 0 	0.504501	0.504501	0.504501	0.504501	0.999421	0.000089	0.000490	0.000000	
21000	-51.881963	156	1	0	'0 0 0 0 	0.465178	0.465178	0.465178	0.465178	0.999372	0.000097	0.000531	0.000000	
22000	-53.499021	256	1	0	'0 0 0 0 	0.320943	0.320943	0.320943	0.320943	0.999705	0.000045	0.000249	0.000000	
23000	-53.970557	376	1	0	'0 0 0 0 	0.964202	0.964202	0.964202	0.964202	0.997503	0.000383	0.002109	0.000005	
24000	-51.766373	659	1	0	'0 0 0 0 	0.656254	0.656254	0.656254	0.656254	0.999934	0.000010	0.000056	0.000000	
25000	-51.752456	300	1	0	'0 0 0 0 	0.439095	0.439095	0.439095	0.439095	0.999090	0.000140	0.000769	0.000001	
26000	-48.966945	370	2	0	'0 0 0 1 	0.962968	0.962968	0.962968	10.198414	0.972926	0.026043	0.000894	0.000137	
27000	-49.012712	301	2	0	'0 0 0 1 	0.569712	0.569712	0.569712	10.169039	0.973310	0.025988	0.000609	0.000093	
28000	-48.451075	239	2	0	'0 0 0 1 	0.883174	0.883174	0.883174	18.899643	0.968411	0.030694	0.000757	0.000137	
29000	-52.404936	891	1	0	'0 0 0 0 	0.730131	0.730131	0.730131	0.730131	0.999441	0.000086	0.000473	0.000000	
30000	-52.107173	740	1	0	'0 0 0 0 	0.522857	0.522857	0.522857	0.522857	0.999815	0.000029	0.000157	0.000000	
31000	-51.958737	810	1	0	'0 0 0 0 	0.642904	0.642904	0.642904	0.642904	0.999598	0.000062	0.000340	0.000000	
32000	-53.047098	30	1	0	'0 0 0 0 	0.919528	0.919528	0.919528	0.919528	0.999766	0.000036	0.000198	0.000000	
33000	-51.779010	26	1	0	'0 0 0 0 	0.459882	0.459882	0.459882	0.459882	0.999877	0.000019	0.000104	0.000000	
34000	-52.288862	241	1	0	'0 0 0 0 	0.816655	0.816655	0.816655	0.816655	0.999659	0.000052	0.000289	0.000000	
35000	-51.815945	432	1	0	'0 0 0 0 	0.533082	0.533082	0.533082	0.533082	0.998187	0.000279	0.001532	0.000002	
36000	-52.988669	201	1	0	'0 0 0 0 	0.599099	0.599099	0.599099	0.599099	0.999919	0.000012	0.000068	0.000000	
37000	-51.869055	977	1	0	'0 0 0 0 	0.526158	0.526158	0.526158	0.526158	0.999169	0.000128	0.000703	0.000001	
38000	-51.753578	145	1	0	'0 0 0 0 	0.468286	0.468286	0.468286	0.468286	0.999938	0.000010	0.000053	0.000000	
39000	-51.932620	475	1	0	'0 0 0 0 	0.656568	0.656568	0.656568	0.656568	0.998639	0.000209	0.001150	0.000001	
40000	-52.202570	910	1	0	'0 0 0 0 	0.441512	0.441512	0.441512	0.441512	0.999684	0.000049	0.000268	0.000000	
41000	-52.864641	64	1	0	'0 0 0 0 	0.775383	0.775383	0.775383	0.775383	0.999727	0.000042	0.000231	0.000000	
42000	-55.736929	175	1	0	'0 0 0 0 	1.121884	1.121884	1.121884	1.121884	0.995429	0.000701	0.003855	0.000016	
43000	-51.969052	779	1	0	'0 0 0 0 	0.632729	0.632729	0.632729	0.632729	0.999846	0.000024	0.000131	0.000000	
44000	-51.693785	783	1	0	'0 0 0 0 	0.503095	0.503095	0.503095	0.503095	0.999942	0.000009	0.000049	0.000000	
45000	-49.500754	113	2	0	'0 0 0 1 	1.526636	1.526636	1.526636	24.636774	0.963705	0.030585	0.004832	0.000878	
46000	-51.435841	20	1	0	'0 0 0 0 	0.411767	0.411767	0.411767	0.411767	0.999413	0.000090	0.000496	0.000000	
47000	-50.844595	580	2	0	'0 0 0 1 	0.487792	0.487792	0.487792	2.894349	0.997795	0.002041	0.000162	0.000002	
48000	-48.756519	726	2	0	'0 0 0 1 	1.153058	1.153058	1.153058	22.052761	0.963615	0.030587	0.004907	0.000892	
49000	-52.376604	599	1	0	'0 0 0 0 	0.408256	0.408256	0.408256	0.408256	0.999505	0.000076	0.000419	0.000000	
50000	-52.220960	910	1	0	'0 0 0 0 	0.683714	0.683714	0.683714	0.683714	0.999205	0.000122	0.000672	0.000000	
51000	-51.610110	56	1	0	'0 0 0 0 	0.617006	0.617006	0.617006	0.617006	0.999579	0.000065	0.000356	0.000000	
52000	-52.835571	769	1	0	'0 0 0 0 	0.345839	0.345839	0.345839	0.345839	0.999620	0.000059	0.000322	0.000000	
53000	-51.514329	764	1	0	'0 0 0 0 	0.627723	0.627723	0.627723	0.627723	0.999881	0.000018	0.000100	0.000000	
54000	-53.083385	684	1	0	'0 0 0 0 	0.833464	0.833464	0.833464	0.833464	0.998102	0.000292	0.001603	0.000003	
55000	-51.922798	563	1	0	'0 0 0 0 	0.481645	0.481645	0.481645	0.481645	0.999077	0.000142	0.000781	0.000001	
56000	-51.937996	474	1	0	'0 0 0 0 	0.452537	0.452537	0.452537	0.452537	0.998585	0.000217	0.001196	0.000001	
57000	-50.150750	111	2	0	'0 0 1 0 	0.672482	0.672482	0.285673	0.672482	0.999815	0.000026	0.000159	0.000000	
58000	-53.233893	624	1	0	'0 0 0 0 	0.891265	0.891265	0.891265	0.891265	0.999566	0.000067	0.000367	0.000000	
59000	-51.605109	297	1	0	'0 0 0 0 	0.603389	0.603389	0.603389	0.603389	0.999323	0.000104	0.000573	0.000000	
60000	-53.047614	761	1	0	'0 0 0 0 	0.854960	0.854960	0.854960	0.854960	0.998810	0.000183	0.001006	0.000001	
61000	-52.936923	856	1	0	'0 0 0 0 	0.748509	0.748509	0.748509	0.748509	0.998185	0.000279	0.001534	0.000002	
62000	-51.848808	551	1	0	'0 0 0 0 	0.403716	0.403716	0.403716	0.403716	0.999274	0.000112	0.000614	0.000000	
63000	-53.587155	62	1	0	'0 0 0 0 	0.931069	0.931069	0.931069	0.931069	0.997886	0.000325	0.001786	0.000003	
64000	-52.126065	932	1	0	'0 0 0 0 	0.749616	0.749616	0.749616	0.749616	0.999718	0.000043	0.000238	0.000000	
65000	-51.631263	28	1	0	'0 0 0 0 	0.713924	0.713924	0.713924	0.713924	0.997881	0.000326	0.001790	0.000003	
66000	-52.467695	934	1	0	'0 0 0 0 	0.385767	0.385767	0.385767	0.385767	0.998949	0.000162	0.000888	0.000001	
67000	-52.375246	99	1	0	'0 0 0 0 	0.763550	0.763550	0.763550	0.763550	0.999298	0.000108	0.000594	0.000000	
68000	-53.455308	65	1	0	'0 0 0 0 	0.340364	0.340364	0.340364	0.340364	0.999985	0.000002	0.000013	0.000000	
69000	-51.941638	173	1	0	'0 0 0 0 	0.652095	0.652095	0.652095	0.652095	0.999948	0.000008	0.000044	0.000000	
70000	-51.741572	8	1	0	'0 0 0 0 	0.487711	0.487711	0.487711	0.487711	0.999904	0.000015	0.000081	0.000000	
71000	-47.770770	906	2	0	'0 0 0 1 	1.122840	1.122840	1.122840	22.890729	0.968389	0.030735	0.000742	0.000135	
72000	-49.144059	360	2	0	'0 0 0 1 	0.814517	0.814517	0.814517	8.041996	0.977763	0.020285	0.001745	0.000207	
73000	-51.570840	63	1	0	'0 0 0 0 	0.514761	0.514761	0.514761	0.514761	0.999436	0.000087	0.000477	0.000000	
74000	-51.820852	464	1	0	'0 0 0 0 	0.519002	0.519002	0.519002	0.519002	0.998994	0.000155	0.000850	0.000001	
75000	-53.253726	182	1	0	'0 0 0 0 	0.867971	0.867971	0.867971	0.867971	0.998817	0.000182	0.001000	0.000001	
76000	-51.920923	415	1	0	'0 0 0 0 	0.470254	0.470254	0.470254	0.470254	0.999947	0.000008	0.000045	0.000000	
77000	-51.388989	211	1	0	'0 0 0 0 	0.479337	0.479337	0.479337	0.479337	0.999002	0.000153	0.000844	0.000001	
78000	-52.204050	773	1	0	'0 0 0 0 	0.508554	0.508554	0.508554	0.508554	0.999941	0.000009	0.000050	0.000000	
79000	-56.057918	768	1	0	'0 0 0 0 	1.160614	1.160614	1.160614	1.160614	0.998460	0.000237	0.001302	0.000002	
80000	-48.297161	941	2	0	'1 1 1 0 	0.770693	0.770693	0.770693	12.213931	0.970112	0.028739	0.000982	0.000167	
81000	-52.024691	361	1	0	'0 0 0 0 	0.541297	0.541297	0.541297	0.541297	0.999368	0.000097	0.000534	0.000000	
82000	-51.496653	269	1	0	'0 0 0 0 	0.577906	0.577906	0.577906	0.577906	0.999938	0.000009	0.000052	0.000000	
83000	-52.188836	477	1	0	'0 0 0 0 	0.389313	0.389313	0.389313	0.389313	0.999926	0.000011	0.000063	0.000000	
84000	-52.823043	32	1	0	'0 0 0 0 	0.881580	0.881580	0.881580	0.881580	0.997282	0.000417	0.002295	0.000005	
85000	-52.160699	639	1	0	'0 0 0 0 	0.605091	0.605091	0.605091	0.605091	0.999400	0.000092	0.000508	0.000000	
86000	-53.139527	723	1	0	'0 0 0 0 	0.836002	0.836002	0.836002	0.836002	0.999305	0.000107	0.000588	0.000000	
87000	-53.167322	338	1	0	'0 0 0 0 	0.322971	0.322971	0.322971	0.322971	0.999995	0.000001	0.000004	0.000000	
88000	-51.438610	950	1	0	'0 0 0 0 	0.605271	0.605271	0.605271	0.605271	0.999210	0.000122	0.000668	0.000000	
89000	-52.692893	15	1	0	'0 0 0 0 	0.350784	0.350784	0.350784	0.350784	0.999905	0.000015	0.000080	0.000000	
90000	-54.814143	210	1	0	'0 0 0 0 	1.066794	1.066794	1.066794	1.066794	0.999014	0.000152	0.000834	0.000001	
91000	-51.718499	501	1	0	'0 0 0 0 	0.466166	0.466166	0.466166	0.466166	0.999703	0.000046	0.000251	0.000000	
92000	-54.253898	549	1	0	'0 0 0 0 	0.881863	0.881863	0.881863	0.881863	0.998567	0.000220	0.001212	0.000002	
93000	-52.227286	352	1	0	'0 0 0 0 	0.409029	0.409029	0.409029	0.409029	0.999694	0.000047	0.000259	0.000000	
94000	-52.343685	249	1	0	'0 0 0 0 	0.642248	0.642248	0.642248	0.642248	0.999570	0.000066	0.000364	0.000000	
95000	-52.023980	800	1	0	'0 0 0 0 	0.488260	0.488260	0.488260	0.488260	0.999584	0.000064	0.000352	0.000000	
96000	-54.309921	204	1	0	'0 0 0 0 	0.270724	0.270724	0.270724	0.270724	0.999965	0.000005	0.000030	0.000000	
97000	-51.889682	423	1	0	'0 0 0 0 	0.575648	0.575648	0.575648	0.575648	0.998779	0.000188	0.001032	0.000001	
98000	-52.832351	445	1	0	'0 0 0 0 	0.885843	0.885843	0.885843	0.885843	0.999437	0.000087	0.000476	0.000000	
99000	-53.621896	77	1	0	'0 0 0 0 	0.899789	0.899789	0.899789	0.899789	0.998959	0.000160	0.000880	0.000001	
100000	-51.988178	589	1	0	'0 0 0 0 	0.498705	0.498705	0.498705	0.498705	0.999934	0.000010	0.000056	0.000000	
101000	-52.333306	465	1	0	'0 0 0 0 	0.647473	0.647473	0.647473	0.647473	0.998814	0.000182	0.001003	0.000001	
102000	-51.660874	405	1	0	'0 0 0 0 	0.501686	0.501686	0.501686	0.501686	0.999465	0.000082	0.000452	0.000000	
103000	-52.343884	508	1	0	'0 0 0 0 	0.677357	0.677357	0.677357	0.677357	0.999904	0.000015	0.000081	0.000000	
104000	-51.386023	953	1	0	'0 0 0 0 	0.608064	0.608064	0.608064	0.608064	0.999630	0.000057	0.000313	0.000000	
105000	-52.243205	188	1	0	'0 0 0 0 	0.378038	0.378038	0.378038	0.378038	0.999913	0.000013	0.000073	0.000000	
106000	-52.884901	462	1	0	'0 0 0 0 	0.365898	0.365898	0.365898	0.365898	0.999473	0.000081	0.000446	0.000000	
107000	-51.231987	103	1	0	'0 0 0 0 	0.520201	0.520201	0.520201	0.520201	0.999937	0.000010	0.000054	0.000000	
