Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.033813	-2.033813
1	0.950747	750	-2.000274	-4.034087
2	0.926679	750	-1.973046	-6.007134
3	0.902980	750	-1.936782	-7.943915
4	0.879648	750	-1.908877	-9.852792
5	0.856682	750	-1.881533	-11.734325
6	0.834079	750	-1.854540	-13.588865
7	0.811838	750	-1.824033	-15.412898
8	0.789957	750	-1.790377	-17.203275
9	0.768433	750	-1.765943	-18.969218
10	0.747266	750	-1.737774	-20.706991
11	0.726452	750	-1.710659	-22.417651
12	0.705989	750	-1.681569	-24.099220
13	0.685877	750	-1.656399	-25.755619
14	0.666112	750	-1.626209	-27.381828
15	0.646693	750	-1.601894	-28.983723
16	0.627618	750	-1.564771	-30.548493
17	0.608884	750	-1.542731	-32.091224
18	0.590490	750	-1.518248	-33.609472
19	0.572433	750	-1.489494	-35.098967
20	0.554712	750	-1.463224	-36.562191
21	0.537324	750	-1.430360	-37.992551
22	0.520268	750	-1.408359	-39.400910
23	0.503540	750	-1.384495	-40.785405
24	0.487139	750	-1.352289	-42.137694
25	0.471063	750	-1.330706	-43.468400
26	0.455310	750	-1.306278	-44.774678
27	0.439877	750	-1.270894	-46.045572
28	0.424762	750	-1.238893	-47.284465
29	0.409963	750	-1.220083	-48.504549
30	0.395478	750	-1.199636	-49.704184
31	0.381305	750	-1.174949	-50.879133
32	0.367440	750	-1.149952	-52.029085
33	0.353883	750	-1.129840	-53.158925
34	0.340630	750	-1.102667	-54.261593
35	0.327680	750	-1.078145	-55.339737
36	0.315030	750	-1.058672	-56.398410
37	0.302677	750	-1.027120	-57.425529
38	0.290619	750	-1.007381	-58.432910
39	0.278855	750	-0.983648	-59.416558
40	0.267381	750	-0.962364	-60.378922
41	0.256195	750	-0.935648	-61.314570
42	0.245294	750	-0.914910	-62.229480
43	0.234677	750	-0.890060	-63.119540
44	0.224340	750	-0.868227	-63.987767
45	0.214281	750	-0.847796	-64.835563
46	0.204498	750	-0.821238	-65.656801
47	0.194988	750	-0.804496	-66.461296
48	0.185749	750	-0.786360	-67.247656
49	0.176777	750	-0.771105	-68.018761
50	0.168070	750	-0.748810	-68.767571
51	0.159626	750	-0.721618	-69.489189
52	0.151441	750	-0.701650	-70.190839
53	0.143514	750	-0.687312	-70.878151
54	0.135841	750	-0.681565	-71.559717
55	0.128420	750	-0.652135	-72.211852
56	0.121247	750	-0.633399	-72.845251
57	0.114320	750	-0.604426	-73.449677
58	0.107637	750	-0.595785	-74.045463
59	0.101193	750	-0.564428	-74.609891
60	0.094986	750	-0.550532	-75.160423
61	0.089014	750	-0.532467	-75.692890
62	0.083273	750	-0.522207	-76.215097
63	0.077760	750	-0.513285	-76.728381
64	0.072472	750	-0.485175	-77.213556
65	0.067406	750	-0.477859	-77.691416
66	0.062558	750	-0.456880	-78.148296
67	0.057926	750	-0.438022	-78.586317
68	0.053506	750	-0.410846	-78.997164
69	0.049295	750	-0.388198	-79.385362
70	0.045289	750	-0.384053	-79.769415
71	0.041485	750	-0.372334	-80.141749
72	0.037880	750	-0.347216	-80.488965
73	0.034469	750	-0.336194	-80.825160
74	0.031250	750	-0.316711	-81.141871
75	0.028218	750	-0.291662	-81.433533
76	0.025370	750	-0.279532	-81.713064
77	0.022702	750	-0.267090	-81.980154
78	0.020209	750	-0.240865	-82.221019
79	0.017889	750	-0.233701	-82.454720
80	0.015736	750	-0.213746	-82.668466
81	0.013746	750	-0.201453	-82.869919
82	0.011916	750	-0.183700	-83.053620
83	0.010240	750	-0.170505	-83.224125
84	0.008714	750	-0.151938	-83.376063
85	0.007334	750	-0.169832	-83.545895
86	0.006093	750	-0.125171	-83.671066
87	0.004988	750	-0.113924	-83.784990
88	0.004013	750	-0.098440	-83.883431
89	0.003162	750	-0.087818	-83.971249
90	0.002430	750	-0.074949	-84.046198
91	0.001810	750	-0.063002	-84.109200
92	0.001296	750	-0.052332	-84.161531
93	0.000882	750	-0.042973	-84.204504
94	0.000559	750	-0.033703	-84.238207
95	0.000320	750	-0.024188	-84.262395
96	0.000156	750	-0.016662	-84.279057
97	0.000057	750	-0.010151	-84.289208
98	0.000010	750	-0.004770	-84.293978
99	0.000000	750	-0.001025	-84.295003
Log marginal likelihood:	-84.295003
