Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
818	0.322738	182	0.747253	1.286776	818	0.322738	0.400000	0.342333	
846	0.336879	154	0.746753	1.286776	846	0.336879	0.400000	0.347138	
821	0.367844	179	0.726257	1.286776	821	0.367844	0.432000	0.353665	
847	0.310508	153	0.725490	1.286776	847	0.310508	0.374000	0.355117	
848	0.287736	152	0.703947	1.286776	848	0.287736	0.351000	0.354843	
836	0.307416	164	0.743902	1.286776	836	0.307416	0.379000	0.356353	
821	0.347138	179	0.754190	1.286776	821	0.347138	0.420000	0.360096	
820	0.331707	180	0.727778	1.286776	820	0.331707	0.403000	0.362480	
820	0.342683	180	0.638889	1.286776	820	0.342683	0.396000	0.364244	
851	0.349001	149	0.718121	1.286776	851	0.349001	0.404000	0.366232	
829	0.329312	171	0.690058	1.286776	829	0.329312	0.391000	0.367411	
857	0.316219	143	0.734266	1.286776	857	0.316219	0.376000	0.367801	
838	0.324582	162	0.765432	1.286776	838	0.324582	0.396000	0.369027	
844	0.342417	156	0.724359	1.286776	844	0.342417	0.402000	0.370401	
825	0.338182	175	0.748571	1.286776	825	0.338182	0.410000	0.371985	
840	0.341667	160	0.706250	1.286776	840	0.341667	0.400000	0.373063	
830	0.344578	170	0.711765	1.286776	830	0.344578	0.407000	0.374319	
835	0.292216	165	0.806061	1.286776	835	0.292216	0.377000	0.374415	
838	0.305489	162	0.802469	1.286776	838	0.305489	0.386000	0.374815	
856	0.323598	144	0.708333	1.286776	856	0.323598	0.379000	0.374954	
806	0.341191	194	0.721649	1.286776	806	0.341191	0.415000	0.376246	
824	0.333738	176	0.784091	1.286776	824	0.333738	0.413000	0.377394	
819	0.336996	181	0.734807	1.286776	819	0.336996	0.409000	0.378352	
843	0.328588	157	0.700637	1.286776	843	0.328588	0.387000	0.378607	
837	0.342891	163	0.754601	1.286776	837	0.342891	0.410000	0.379503	
829	0.364294	171	0.777778	1.286776	829	0.364294	0.435000	0.381045	
842	0.361045	158	0.734177	1.286776	842	0.361045	0.420000	0.382098	
829	0.331725	171	0.783626	1.286776	829	0.331725	0.409000	0.382806	
822	0.289538	178	0.719101	1.286776	822	0.289538	0.366000	0.382375	
831	0.318893	169	0.757396	1.286776	831	0.318893	0.393000	0.382640	
846	0.345154	154	0.792208	1.286776	846	0.345154	0.414000	0.383405	
842	0.337292	158	0.778481	1.286776	842	0.337292	0.407000	0.383967	
810	0.298765	190	0.700000	1.286776	810	0.298765	0.375000	0.383759	
845	0.306509	155	0.716129	1.286776	845	0.306509	0.370000	0.383446	
842	0.324228	158	0.702532	1.286776	842	0.324228	0.384000	0.383458	
833	0.339736	167	0.706587	1.286776	833	0.339736	0.401000	0.383839	
821	0.310597	179	0.787709	1.286776	821	0.310597	0.396000	0.384098	
832	0.340144	168	0.738095	1.286776	832	0.340144	0.407000	0.384575	
831	0.346570	169	0.786982	1.286776	831	0.346570	0.421000	0.385319	
860	0.324419	140	0.735714	1.286776	860	0.324419	0.382000	0.385252	
856	0.332944	144	0.777778	1.286776	856	0.332944	0.397000	0.385483	
835	0.353293	165	0.775758	1.286776	835	0.353293	0.423000	0.386204	
826	0.347458	174	0.787356	1.286776	826	0.347458	0.424000	0.386917	
836	0.322967	164	0.780488	1.286776	836	0.322967	0.398000	0.387122	
834	0.339329	166	0.777108	1.286776	834	0.339329	0.412000	0.387575	
843	0.329775	157	0.732484	1.286776	843	0.329775	0.393000	0.387672	
824	0.325243	176	0.789773	1.286776	824	0.325243	0.407000	0.388011	
814	0.339066	186	0.784946	1.286776	814	0.339066	0.422000	0.388597	
857	0.338390	143	0.636364	1.286776	857	0.338390	0.381000	0.388468	
836	0.340909	164	0.823171	1.286776	836	0.340909	0.420000	0.388994	
