Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
842	0.293349	158	0.810127	1.882202	842	0.293349	0.375000	0.403345	
822	0.281022	178	0.825843	1.882202	822	0.281022	0.378000	0.402858	
848	0.291274	152	0.822368	1.882202	848	0.291274	0.372000	0.402275	
832	0.334135	168	0.755952	1.882202	832	0.334135	0.405000	0.402326	
836	0.330144	164	0.835366	1.882202	836	0.330144	0.413000	0.402520	
834	0.311751	166	0.801205	1.882202	834	0.311751	0.393000	0.402350	
827	0.311971	173	0.791908	1.882202	827	0.311971	0.395000	0.402221	
846	0.333333	154	0.863636	1.882202	846	0.333333	0.415000	0.402441	
816	0.312500	184	0.728261	1.882202	816	0.312500	0.389000	0.402214	
803	0.332503	197	0.746193	1.882202	803	0.332503	0.414000	0.402410	
847	0.329398	153	0.843137	1.882202	847	0.329398	0.408000	0.402502	
836	0.302632	164	0.798780	1.882202	836	0.302632	0.384000	0.402203	
835	0.328144	165	0.787879	1.882202	835	0.328144	0.404000	0.402232	
829	0.322075	171	0.766082	1.882202	829	0.322075	0.398000	0.402166	
858	0.321678	142	0.774648	1.882202	858	0.321678	0.386000	0.401917	
854	0.299766	146	0.835616	1.882202	854	0.299766	0.378000	0.401555	
847	0.343566	153	0.777778	1.882202	847	0.343566	0.410000	0.401681	
805	0.303106	195	0.764103	1.882202	805	0.303106	0.393000	0.401553	
831	0.361011	169	0.875740	1.882202	831	0.361011	0.448000	0.402226	
845	0.293491	155	0.787097	1.882202	845	0.293491	0.370000	0.401766	
839	0.333731	161	0.795031	1.882202	839	0.333731	0.408000	0.401853	
830	0.320482	170	0.758824	1.882202	830	0.320482	0.395000	0.401758	
829	0.307600	171	0.754386	1.882202	829	0.307600	0.384000	0.401515	
831	0.298436	169	0.834320	1.882202	831	0.298436	0.389000	0.401346	
846	0.297872	154	0.779221	1.882202	846	0.297872	0.372000	0.400955	
837	0.330944	163	0.797546	1.882202	837	0.330944	0.407000	0.401034	
852	0.314554	148	0.756757	1.882202	852	0.314554	0.380000	0.400761	
828	0.317633	172	0.779070	1.882202	828	0.317633	0.397000	0.400713	
833	0.306122	167	0.826347	1.882202	833	0.306122	0.393000	0.400615	
825	0.307879	175	0.777143	1.882202	825	0.307879	0.390000	0.400482	
844	0.321090	156	0.794872	1.882202	844	0.321090	0.395000	0.400415	
824	0.309466	176	0.727273	1.882202	824	0.309466	0.383000	0.400202	
834	0.333333	166	0.746988	1.882202	834	0.333333	0.402000	0.400224	
834	0.352518	166	0.795181	1.882202	834	0.352518	0.426000	0.400531	
823	0.302552	177	0.807910	1.882202	823	0.302552	0.392000	0.400431	
826	0.283293	174	0.747126	1.882202	826	0.283293	0.364000	0.400007	
833	0.302521	167	0.808383	1.882202	833	0.302521	0.387000	0.399857	
828	0.334541	172	0.796512	1.882202	828	0.334541	0.414000	0.400018	
818	0.308068	182	0.774725	1.882202	818	0.308068	0.393000	0.399939	
826	0.317191	174	0.787356	1.882202	826	0.317191	0.399000	0.399929	
835	0.295808	165	0.775758	1.882202	835	0.295808	0.375000	0.399655	
874	0.296339	126	0.753968	1.882202	874	0.296339	0.354000	0.399159	
834	0.326139	166	0.777108	1.882202	834	0.326139	0.401000	0.399179	
833	0.303721	167	0.772455	1.882202	833	0.303721	0.382000	0.398996	
822	0.284672	178	0.780899	1.882202	822	0.284672	0.373000	0.398722	
809	0.291718	191	0.837696	1.882202	809	0.291718	0.396000	0.398694	
823	0.304982	177	0.830508	1.882202	823	0.304982	0.398000	0.398687	
853	0.300117	147	0.775510	1.882202	853	0.300117	0.370000	0.398394	
814	0.298526	186	0.833333	1.882202	814	0.298526	0.398000	0.398390	
818	0.322738	182	0.752747	1.882202	818	0.322738	0.401000	0.398416	
