Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-hawaiian-absenceofcousinmarriage.preference.bttrees
Data File Name:                  ./data/bantu-hawaiian-absenceofcousinmarriage.preference.btdata
Log File Name:                   ./output/bantu-hawaiian-absenceofcousinmarriage.preference-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            99190732
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-hawaiian-absenceofcousinmarriage.preference-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.727273,0.136364,0.136364,0.000000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.101827
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       66
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-52.667213	973	1.859364	5.186175	3.875286	20.833939	0.732055	0.137260	0.130685	0.000000	
12000	-50.962386	515	0.537865	1.077223	1.034078	11.512820	0.749127	0.141442	0.109431	0.000000	
13000	-51.970430	82	1.483925	0.136334	2.597765	12.479621	0.836081	0.156659	0.007260	0.000000	
14000	-51.807401	271	0.309357	0.851167	2.989265	13.047266	0.673460	0.126239	0.200301	0.000000	
15000	-50.663167	134	0.497858	0.364560	0.778172	6.507216	0.809075	0.146502	0.044423	0.000000	
16000	-49.011613	130	0.852485	0.853464	2.009656	12.884587	0.769339	0.144246	0.086414	0.000000	
17000	-52.056929	953	1.316673	8.276034	5.676532	41.331515	0.725408	0.136014	0.138578	0.000000	
18000	-56.063815	600	2.892416	18.334501	0.831018	0.914007	0.823888	0.021633	0.154479	0.000000	
19000	-50.491399	590	1.231659	1.792808	2.997532	17.929671	0.744538	0.139601	0.115861	0.000000	
20000	-51.261754	530	2.792699	12.639213	1.402580	10.178096	0.727365	0.136270	0.136364	0.000000	
21000	-52.420204	181	1.071013	11.109942	1.434307	8.904270	0.726943	0.134626	0.138431	0.000000	
22000	-52.229956	855	1.703461	9.664944	2.318286	12.292790	0.727093	0.136246	0.136661	0.000000	
23000	-49.706855	193	0.989862	1.224476	5.903107	28.755864	0.780654	0.146373	0.072973	0.000000	
24000	-52.437919	951	1.425700	3.464512	5.650968	22.551005	0.735380	0.137884	0.126736	0.000000	
25000	-50.529868	649	1.172804	0.878674	3.321938	24.289774	0.792133	0.148525	0.059343	0.000000	
26000	-49.297558	274	0.690547	1.758782	2.570677	18.267314	0.680857	0.127661	0.191481	0.000000	
27000	-51.858527	582	1.129874	1.510650	5.556898	25.041265	0.760040	0.142508	0.097452	0.000000	
28000	-51.082506	63	1.331697	4.986519	1.989239	13.481833	0.726745	0.136269	0.136985	0.000000	
29000	-51.805854	434	0.525947	3.877484	3.686261	24.421164	0.663951	0.124491	0.211558	0.000000	
30000	-52.429385	607	3.340768	21.676434	2.247563	16.024758	0.727270	0.136367	0.136363	0.000000	
31000	-55.872726	929	4.572626	32.942509	1.824822	3.344235	0.754404	0.104145	0.141451	0.000000	
32000	-51.057458	63	0.996988	4.085227	5.391957	30.480377	0.719366	0.134881	0.145752	0.000000	
33000	-50.662294	551	1.250976	1.724207	1.641181	8.553802	0.769542	0.142151	0.088307	0.000000	
34000	-49.900649	747	0.501788	0.267350	0.848554	7.927455	0.809654	0.150934	0.039412	0.000000	
35000	-50.326309	662	0.948824	0.204644	3.416259	28.417524	0.827819	0.155216	0.016965	0.000000	
36000	-50.288416	193	1.376116	4.728822	2.535269	15.765986	0.729274	0.136733	0.133993	0.000000	
37000	-50.441399	915	1.064306	2.083330	5.123441	29.344230	0.743670	0.139438	0.116891	0.000000	
38000	-50.406183	334	1.127685	0.101610	2.138141	11.822745	0.836597	0.156744	0.006659	0.000000	
39000	-55.332699	231	2.659503	33.450371	2.835774	8.754317	0.727662	0.135901	0.136437	0.000000	
40000	-51.957469	399	1.093407	1.981783	1.170623	9.258186	0.746611	0.140159	0.113230	0.000000	
41000	-49.895533	379	0.854578	3.679164	1.202305	7.217733	0.715684	0.131631	0.152685	0.000000	
42000	-51.752699	290	1.718907	4.618226	1.311698	9.295226	0.730281	0.136740	0.132979	0.000000	
43000	-50.636602	801	0.501939	1.298700	7.582443	34.811701	0.711286	0.133366	0.155348	0.000000	
44000	-50.805900	179	1.281645	5.484651	1.535956	13.344713	0.724804	0.136036	0.139160	0.000000	
45000	-52.099045	245	1.295858	12.380754	2.505420	18.339796	0.727107	0.136333	0.136560	0.000000	
46000	-52.599295	274	1.392449	6.243479	2.276310	7.985503	0.726218	0.132684	0.141098	0.000000	
