Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.permitted.bttrees
Data File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.permitted.btdata
Log File Name:                   ./output/bantu-iroquois-cross.cousinmarriage.permitted-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            396658965
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-iroquois-cross.cousinmarriage.permitted-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.348485,0.015152,0.500000,0.136364)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.101827
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       66
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-68.101834	267	0.939871	2.643682	2.550736	8.148756	0.236770	0.010140	0.593620	0.159470	
12000	-70.429845	500	10.202590	7.374077	0.863470	6.911943	0.348151	0.015232	0.499526	0.137091	
13000	-68.444521	643	2.061273	2.571383	3.045607	19.025410	0.329914	0.014344	0.515226	0.140516	
14000	-67.058321	499	1.332719	1.786045	5.844486	41.264263	0.365362	0.015885	0.486163	0.132590	
15000	-78.669030	249	3.645651	6.150740	1.315362	0.559991	0.398097	0.001267	0.588882	0.011754	
16000	-69.476735	206	6.036036	4.174497	2.016096	15.249686	0.347399	0.015105	0.500881	0.136614	
17000	-68.782849	438	1.168492	2.527739	2.430015	16.904570	0.285594	0.012417	0.551560	0.150428	
18000	-69.182304	861	3.346851	2.188281	1.029440	4.098542	0.364463	0.012656	0.511470	0.111411	
19000	-66.866436	327	0.854114	1.988346	3.574319	18.150519	0.291744	0.012684	0.546521	0.149051	
20000	-70.011311	874	2.944283	3.192399	3.909204	23.331707	0.334347	0.014537	0.511591	0.139525	
21000	-69.017001	857	0.040067	1.831626	3.866285	17.341038	0.036959	0.001607	0.755415	0.206019	
22000	-67.994410	331	0.879186	1.875660	11.503582	39.369598	0.310120	0.013483	0.531455	0.144942	
