Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.096996	-2.096996
1	0.950747	750	-2.059637	-4.156633
2	0.926679	750	-2.019622	-6.176255
3	0.902980	750	-2.020248	-8.196503
4	0.879648	750	-1.975903	-10.172406
5	0.856682	750	-1.951413	-12.123819
6	0.834079	750	-1.904768	-14.028587
7	0.811838	750	-1.894857	-15.923445
8	0.789957	750	-1.859138	-17.782582
9	0.768433	750	-1.814925	-19.597507
10	0.747266	750	-1.784703	-21.382210
11	0.726452	750	-1.763020	-23.145231
12	0.705989	750	-1.720900	-24.866130
13	0.685877	750	-1.702717	-26.568847
14	0.666112	750	-1.677990	-28.246837
15	0.646693	750	-1.653454	-29.900292
16	0.627618	750	-1.606223	-31.506514
17	0.608884	750	-1.576146	-33.082660
18	0.590490	750	-1.580460	-34.663120
19	0.572433	750	-1.559646	-36.222766
20	0.554712	750	-1.513021	-37.735786
21	0.537324	750	-1.491711	-39.227497
22	0.520268	750	-1.474202	-40.701699
23	0.503540	750	-1.435360	-42.137060
24	0.487139	750	-1.415502	-43.552562
25	0.471063	750	-1.388986	-44.941548
26	0.455310	750	-1.365465	-46.307014
27	0.439877	750	-1.327766	-47.634779
28	0.424762	750	-1.291843	-48.926622
29	0.409963	750	-1.279697	-50.206320
30	0.395478	750	-1.252748	-51.459067
31	0.381305	750	-1.227337	-52.686405
32	0.367440	750	-1.200995	-53.887399
33	0.353883	750	-1.175712	-55.063111
34	0.340630	750	-1.162969	-56.226080
35	0.327680	750	-1.130524	-57.356604
36	0.315030	750	-1.106747	-58.463350
37	0.302677	750	-1.081039	-59.544389
38	0.290619	750	-1.052189	-60.596578
39	0.278855	750	-1.035158	-61.631737
40	0.267381	750	-0.995670	-62.627407
41	0.256195	750	-0.976723	-63.604129
42	0.245294	750	-0.963375	-64.567504
43	0.234677	750	-0.935566	-65.503070
44	0.224340	750	-0.914438	-66.417508
45	0.214281	750	-0.898030	-67.315538
46	0.204498	750	-0.860009	-68.175547
47	0.194988	750	-0.838324	-69.013871
48	0.185749	750	-0.818448	-69.832319
49	0.176777	750	-0.801568	-70.633887
50	0.168070	750	-0.772421	-71.406308
51	0.159626	750	-0.762404	-72.168711
52	0.151441	750	-0.734433	-72.903144
53	0.143514	750	-0.718594	-73.621738
54	0.135841	750	-0.698563	-74.320302
55	0.128420	750	-0.671230	-74.991531
56	0.121247	750	-0.646613	-75.638144
57	0.114320	750	-0.629795	-76.267939
58	0.107637	750	-0.604848	-76.872787
59	0.101193	750	-0.589886	-77.462674
60	0.094986	750	-0.575901	-78.038574
61	0.089014	750	-0.556507	-78.595081
62	0.083273	750	-0.541358	-79.136439
63	0.077760	750	-0.510487	-79.646926
64	0.072472	750	-0.490640	-80.137567
65	0.067406	750	-0.477687	-80.615253
66	0.062558	750	-0.453455	-81.068708
67	0.057926	750	-0.447883	-81.516591
68	0.053506	750	-0.426413	-81.943004
69	0.049295	750	-0.411482	-82.354487
70	0.045289	750	-0.390631	-82.745118
71	0.041485	750	-0.366250	-83.111368
72	0.037880	750	-0.349674	-83.461042
73	0.034469	750	-0.344307	-83.805349
74	0.031250	750	-0.321066	-84.126415
75	0.028218	750	-0.295976	-84.422391
76	0.025370	750	-0.280580	-84.702971
77	0.022702	750	-0.275591	-84.978562
78	0.020209	750	-0.255139	-85.233701
79	0.017889	750	-0.237779	-85.471480
80	0.015736	750	-0.225922	-85.697402
81	0.013746	750	-0.207833	-85.905236
82	0.011916	750	-0.198217	-86.103453
83	0.010240	750	-0.171428	-86.274881
84	0.008714	750	-0.167683	-86.442565
85	0.007334	750	-0.149108	-86.591672
86	0.006093	750	-0.131327	-86.722999
87	0.004988	750	-0.121888	-86.844887
88	0.004013	750	-0.111261	-86.956147
89	0.003162	750	-0.094416	-87.050564
90	0.002430	750	-0.082521	-87.133085
91	0.001810	750	-0.070244	-87.203329
92	0.001296	750	-0.058815	-87.262144
93	0.000882	750	-0.046632	-87.308776
94	0.000559	750	-0.036401	-87.345177
95	0.000320	750	-0.027640	-87.372816
96	0.000156	750	-0.018086	-87.390902
97	0.000057	750	-0.012176	-87.403078
98	0.000010	750	-0.005235	-87.408313
99	0.000000	750	-0.001141	-87.409454
Log marginal likelihood:	-87.409454
