Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.879023	-1.879023
1	0.950747	750	-1.839916	-3.718939
2	0.926679	750	-1.853747	-5.572686
3	0.902980	750	-1.797970	-7.370655
4	0.879648	750	-1.784289	-9.154944
5	0.856682	750	-1.763304	-10.918247
6	0.834079	750	-1.776477	-12.694724
7	0.811838	750	-1.691532	-14.386256
8	0.789957	750	-1.672948	-16.059204
9	0.768433	750	-1.644285	-17.703488
10	0.747266	750	-1.618769	-19.322257
11	0.726452	750	-1.612046	-20.934304
12	0.705989	750	-1.585672	-22.519976
13	0.685877	750	-1.577261	-24.097237
14	0.666112	750	-1.559441	-25.656677
15	0.646693	750	-1.502404	-27.159081
16	0.627618	750	-1.485654	-28.644735
17	0.608884	750	-1.467442	-30.112177
18	0.590490	750	-1.418263	-31.530440
19	0.572433	750	-1.416645	-32.947085
20	0.554712	750	-1.371204	-34.318289
21	0.537324	750	-1.367951	-35.686240
22	0.520268	750	-1.332695	-37.018934
23	0.503540	750	-1.306720	-38.325654
24	0.487139	750	-1.285624	-39.611278
25	0.471063	750	-1.268404	-40.879682
26	0.455310	750	-1.246532	-42.126213
27	0.439877	750	-1.217859	-43.344072
28	0.424762	750	-1.189107	-44.533180
29	0.409963	750	-1.171231	-45.704411
30	0.395478	750	-1.152328	-46.856740
31	0.381305	750	-1.126454	-47.983193
32	0.367440	750	-1.108562	-49.091755
33	0.353883	750	-1.110100	-50.201855
34	0.340630	750	-1.050553	-51.252408
35	0.327680	750	-1.044723	-52.297131
36	0.315030	750	-1.014988	-53.312119
37	0.302677	750	-1.014870	-54.326989
38	0.290619	750	-0.965494	-55.292483
39	0.278855	750	-0.946245	-56.238728
40	0.267381	750	-0.931688	-57.170416
41	0.256195	750	-0.934025	-58.104442
42	0.245294	750	-0.880978	-58.985420
43	0.234677	750	-0.868279	-59.853699
44	0.224340	750	-0.846872	-60.700571
45	0.214281	750	-0.815630	-61.516201
46	0.204498	750	-0.798985	-62.315186
47	0.194988	750	-0.778481	-63.093667
48	0.185749	750	-0.770082	-63.863749
49	0.176777	750	-0.738118	-64.601867
50	0.168070	750	-0.729815	-65.331681
51	0.159626	750	-0.709412	-66.041093
52	0.151441	750	-0.682059	-66.723152
53	0.143514	750	-0.668935	-67.392086
54	0.135841	750	-0.645849	-68.037935
55	0.128420	750	-0.624638	-68.662573
56	0.121247	750	-0.606364	-69.268936
57	0.114320	750	-0.584079	-69.853015
58	0.107637	750	-0.564440	-70.417455
59	0.101193	750	-0.558210	-70.975664
60	0.094986	750	-0.531475	-71.507140
61	0.089014	750	-0.510703	-72.017843
62	0.083273	750	-0.497061	-72.514904
63	0.077760	750	-0.487267	-73.002170
64	0.072472	750	-0.458208	-73.460379
65	0.067406	750	-0.448888	-73.909267
66	0.062558	750	-0.438805	-74.348072
67	0.057926	750	-0.426961	-74.775033
68	0.053506	750	-0.401788	-75.176821
69	0.049295	750	-0.388638	-75.565459
70	0.045289	750	-0.367476	-75.932936
71	0.041485	750	-0.349899	-76.282835
72	0.037880	750	-0.333396	-76.616231
73	0.034469	750	-0.305636	-76.921867
74	0.031250	750	-0.306418	-77.228285
75	0.028218	750	-0.270146	-77.498431
76	0.025370	750	-0.272056	-77.770488
77	0.022702	750	-0.255302	-78.025789
78	0.020209	750	-0.235751	-78.261540
79	0.017889	750	-0.243724	-78.505264
80	0.015736	750	-0.219104	-78.724368
81	0.013746	750	-0.202932	-78.927300
82	0.011916	750	-0.200788	-79.128088
83	0.010240	750	-0.175437	-79.303525
84	0.008714	750	-0.156917	-79.460442
85	0.007334	750	-0.139031	-79.599473
86	0.006093	750	-0.121985	-79.721458
87	0.004988	750	-0.119707	-79.841165
88	0.004013	750	-0.103292	-79.944457
89	0.003162	750	-0.089921	-80.034378
90	0.002430	750	-0.075905	-80.110283
91	0.001810	750	-0.067604	-80.177887
92	0.001296	750	-0.055830	-80.233717
93	0.000882	750	-0.041895	-80.275612
94	0.000559	750	-0.035934	-80.311546
95	0.000320	750	-0.025194	-80.336739
96	0.000156	750	-0.016847	-80.353586
97	0.000057	750	-0.010617	-80.364203
98	0.000010	750	-0.005010	-80.369213
99	0.000000	750	-0.001066	-80.370279
Log marginal likelihood:	-80.370279
