Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.113467	-2.113467
1	0.950747	750	-2.057424	-4.170891
2	0.926679	750	-2.018933	-6.189823
3	0.902980	750	-1.974936	-8.164759
4	0.879648	750	-1.954422	-10.119181
5	0.856682	750	-1.958192	-12.077373
6	0.834079	750	-1.892855	-13.970228
7	0.811838	750	-1.871703	-15.841931
8	0.789957	750	-1.861233	-17.703163
9	0.768433	750	-1.809425	-19.512588
10	0.747266	750	-1.789616	-21.302204
11	0.726452	750	-1.764716	-23.066920
12	0.705989	750	-1.746015	-24.812935
13	0.685877	750	-1.699769	-26.512704
14	0.666112	750	-1.678821	-28.191525
15	0.646693	750	-1.665916	-29.857441
16	0.627618	750	-1.626896	-31.484337
17	0.608884	750	-1.601518	-33.085855
18	0.590490	750	-1.576335	-34.662190
19	0.572433	750	-1.535565	-36.197755
20	0.554712	750	-1.509712	-37.707467
21	0.537324	750	-1.485352	-39.192818
22	0.520268	750	-1.468540	-40.661359
23	0.503540	750	-1.421704	-42.083063
24	0.487139	750	-1.409691	-43.492754
25	0.471063	750	-1.380915	-44.873670
26	0.455310	750	-1.339019	-46.212689
27	0.439877	750	-1.332576	-47.545264
28	0.424762	750	-1.306574	-48.851838
29	0.409963	750	-1.280847	-50.132685
30	0.395478	750	-1.255079	-51.387764
31	0.381305	750	-1.225679	-52.613443
32	0.367440	750	-1.200425	-53.813867
33	0.353883	750	-1.165221	-54.979088
34	0.340630	750	-1.148195	-56.127283
35	0.327680	750	-1.123390	-57.250673
36	0.315030	750	-1.097894	-58.348567
37	0.302677	750	-1.073259	-59.421827
38	0.290619	750	-1.052000	-60.473827
39	0.278855	750	-1.028044	-61.501870
40	0.267381	750	-1.000911	-62.502781
41	0.256195	750	-0.991372	-63.494153
42	0.245294	750	-0.963531	-64.457685
43	0.234677	750	-0.938176	-65.395861
44	0.224340	750	-0.905105	-66.300965
45	0.214281	750	-0.892068	-67.193034
46	0.204498	750	-0.861112	-68.054146
47	0.194988	750	-0.848576	-68.902722
48	0.185749	750	-0.820446	-69.723168
49	0.176777	750	-0.797211	-70.520379
50	0.168070	750	-0.778112	-71.298491
51	0.159626	750	-0.755675	-72.054166
52	0.151441	750	-0.729519	-72.783685
53	0.143514	750	-0.723524	-73.507209
54	0.135841	750	-0.703985	-74.211194
55	0.128420	750	-0.680158	-74.891352
56	0.121247	750	-0.659484	-75.550836
57	0.114320	750	-0.640928	-76.191764
58	0.107637	750	-0.601977	-76.793741
59	0.101193	750	-0.587680	-77.381422
60	0.094986	750	-0.576991	-77.958413
61	0.089014	750	-0.550566	-78.508979
62	0.083273	750	-0.530714	-79.039693
63	0.077760	750	-0.527953	-79.567646
64	0.072472	750	-0.490019	-80.057665
65	0.067406	750	-0.471631	-80.529296
66	0.062558	750	-0.456428	-80.985724
67	0.057926	750	-0.434603	-81.420327
68	0.053506	750	-0.419217	-81.839544
69	0.049295	750	-0.392222	-82.231766
70	0.045289	750	-0.402188	-82.633954
71	0.041485	750	-0.373719	-83.007673
72	0.037880	750	-0.353608	-83.361281
73	0.034469	750	-0.339931	-83.701212
74	0.031250	750	-0.320440	-84.021652
75	0.028218	750	-0.311805	-84.333458
76	0.025370	750	-0.289605	-84.623062
77	0.022702	750	-0.278327	-84.901389
78	0.020209	750	-0.252288	-85.153677
79	0.017889	750	-0.236790	-85.390467
80	0.015736	750	-0.218727	-85.609194
81	0.013746	750	-0.212101	-85.821295
82	0.011916	750	-0.194425	-86.015720
83	0.010240	750	-0.180479	-86.196199
84	0.008714	750	-0.164804	-86.361004
85	0.007334	750	-0.147660	-86.508664
86	0.006093	750	-0.128589	-86.637252
87	0.004988	750	-0.128584	-86.765836
88	0.004013	750	-0.106348	-86.872184
89	0.003162	750	-0.091970	-86.964153
90	0.002430	750	-0.079317	-87.043471
91	0.001810	750	-0.072735	-87.116206
92	0.001296	750	-0.054835	-87.171041
93	0.000882	750	-0.045390	-87.216431
94	0.000559	750	-0.035917	-87.252348
95	0.000320	750	-0.027140	-87.279488
96	0.000156	750	-0.018176	-87.297665
97	0.000057	750	-0.011581	-87.309245
98	0.000010	750	-0.005132	-87.314377
99	0.000000	750	-0.001149	-87.315526
Log marginal likelihood:	-87.315526
