Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-iroquois-uni.localresidence.bttrees
Data File Name:                  ./data/bantu-iroquois-uni.localresidence.btdata
Log File Name:                   ./output/bantu-iroquois-uni.localresidence-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4190305680
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-iroquois-uni.localresidence-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.057971,0.304348,0.072464,0.565217)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-71.288793	853	1	0	'0 0 0 0 	1.728997	1.728997	1.728997	1.728997	0.027085	0.300877	0.038393	0.633644	
12000	-70.574275	185	1	0	'0 0 0 0 	1.348776	1.348776	1.348776	1.348776	0.037705	0.379680	0.036503	0.546112	
13000	-70.356527	342	1	0	'0 0 0 0 	1.596834	1.596834	1.596834	1.596834	0.039860	0.368279	0.040189	0.551671	
14000	-73.023766	240	1	0	'0 0 0 0 	0.786238	0.786238	0.786238	0.786238	0.049717	0.596471	0.018795	0.335017	
15000	-71.356536	357	1	0	'0 0 0 0 	2.023042	2.023042	2.023042	2.023042	0.037945	0.335691	0.044285	0.582079	
16000	-73.564071	473	1	0	'0 0 0 0 	2.095616	2.095616	2.095616	2.095616	0.036878	0.313111	0.047744	0.602267	
17000	-69.399810	737	1	0	'0 0 0 0 	1.116618	1.116618	1.116618	1.116618	0.031347	0.429411	0.025255	0.513987	
18000	-70.379474	469	1	0	'0 0 0 0 	0.963732	0.963732	0.963732	0.963732	0.027258	0.503626	0.016489	0.452627	
19000	-72.937880	975	1	0	'0 0 0 0 	1.753117	1.753117	1.753117	1.753117	0.038983	0.361751	0.040527	0.558738	
20000	-69.990488	442	1	0	'0 0 0 0 	1.704282	1.704282	1.704282	1.704282	0.037686	0.358404	0.039916	0.563993	
21000	-69.897230	953	1	0	'0 0 0 0 	1.239235	1.239235	1.239235	1.239235	0.038864	0.477094	0.025160	0.458881	
22000	-70.352127	346	1	0	'0 0 0 0 	1.176465	1.176465	1.176465	1.176465	0.039236	0.436807	0.029872	0.494085	
23000	-70.502991	79	1	0	'0 0 0 0 	1.614995	1.614995	1.614995	1.614995	0.030711	0.361411	0.032887	0.574991	
24000	-70.918067	29	1	0	'0 0 0 0 	1.117600	1.117600	1.117600	1.117600	0.029844	0.400672	0.027187	0.542297	
