Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
833	0.260504	167	0.592814	1.459107	833	0.260504	0.316000	0.202618	
829	0.287093	171	0.660819	1.459107	829	0.287093	0.351000	0.214982	
829	0.260555	171	0.666667	1.459107	829	0.260555	0.330000	0.223829	
825	0.236364	175	0.657143	1.459107	825	0.236364	0.310000	0.229984	
826	0.266344	174	0.718391	1.459107	826	0.266344	0.345000	0.237651	
820	0.259756	180	0.672222	1.459107	820	0.259756	0.334000	0.243672	
832	0.298077	168	0.630952	1.459107	832	0.298077	0.354000	0.250162	
850	0.224706	150	0.753333	1.459107	850	0.224706	0.304000	0.253153	
830	0.256627	170	0.676471	1.459107	830	0.256627	0.328000	0.257092	
838	0.202864	162	0.716049	1.459107	838	0.202864	0.286000	0.258537	
808	0.241337	192	0.755208	1.459107	808	0.241337	0.340000	0.262416	
795	0.257862	205	0.702439	1.459107	795	0.257862	0.349000	0.266352	
817	0.268054	183	0.655738	1.459107	817	0.268054	0.339000	0.269510	
830	0.271084	170	0.600000	1.459107	830	0.271084	0.327000	0.271905	
837	0.260454	163	0.631902	1.459107	837	0.260454	0.321000	0.273869	
821	0.274056	179	0.692737	1.459107	821	0.274056	0.349000	0.276759	
807	0.262701	193	0.699482	1.459107	807	0.262701	0.347000	0.279360	
827	0.286578	173	0.699422	1.459107	827	0.286578	0.358000	0.282168	
817	0.247246	183	0.715847	1.459107	817	0.247246	0.333000	0.283921	
814	0.315725	186	0.580645	1.459107	814	0.315725	0.365000	0.286624	
804	0.312189	196	0.663265	1.459107	804	0.312189	0.381000	0.289668	
830	0.265060	170	0.582353	1.459107	830	0.265060	0.319000	0.290585	
846	0.267139	154	0.727273	1.459107	846	0.267139	0.338000	0.292021	
815	0.266258	185	0.664865	1.459107	815	0.266258	0.340000	0.293433	
822	0.238443	178	0.741573	1.459107	822	0.238443	0.328000	0.294420	
838	0.256563	162	0.783951	1.459107	838	0.256563	0.342000	0.295742	
776	0.265464	224	0.745536	1.459107	776	0.265464	0.373000	0.297830	
848	0.292453	152	0.782895	1.459107	848	0.292453	0.367000	0.299650	
824	0.285194	176	0.664773	1.459107	824	0.285194	0.352000	0.300992	
833	0.273709	167	0.694611	1.459107	833	0.273709	0.344000	0.302067	
799	0.295369	201	0.587065	1.459107	799	0.295369	0.354000	0.303334	
833	0.278511	167	0.676647	1.459107	833	0.278511	0.345000	0.304326	
826	0.269976	174	0.683908	1.459107	826	0.269976	0.342000	0.305202	
810	0.248148	190	0.673684	1.459107	810	0.248148	0.329000	0.305743	
808	0.250000	192	0.697917	1.459107	808	0.250000	0.336000	0.306415	
840	0.291667	160	0.643750	1.459107	840	0.291667	0.348000	0.307319	
826	0.296610	174	0.660920	1.459107	826	0.296610	0.360000	0.308440	
828	0.288647	172	0.633721	1.459107	828	0.288647	0.348000	0.309264	
801	0.273408	199	0.693467	1.459107	801	0.273408	0.357000	0.310239	
819	0.247863	181	0.646409	1.459107	819	0.247863	0.320000	0.310434	
809	0.317676	191	0.727749	1.459107	809	0.317676	0.396000	0.312112	
815	0.274847	185	0.681081	1.459107	815	0.274847	0.350000	0.312840	
